CaseID,ProfileID,FrequencyOffset_Hz,RBW_Hz,MeasuredPower_dBm,Limit_dBm,Margin_dB,SourceWaveformSHA256,MeasurementMethod,Status
SEM-0001,rf_conformance_emulation_bs_fr1,1000000,100000,-45.4452226669287,-35.2,10.2452226669286,de3676f46ed8f7d4f8c84932a88b34e1049966ce35ff96580e303b7d396ad4c6,sample_domain_explicit_rbw_integration,PASS
SEM-0002,rf_conformance_emulation_bs_fr1,2000000,100000,-45.7952226669287,-35.4,10.3952226669287,ccb32cc268cc5c33f265cdbdd6dc3be75436b030aab70ca11473afd07ebda342,sample_domain_explicit_rbw_integration,PASS
SEM-0003,rf_conformance_emulation_bs_fr1,3000000,100000,-46.05,-35.6,10.45,88110cdb6233d8d7a44dde0b4a7fa604add8bef70e23e8ef1784c36eda1f743c,sample_domain_explicit_rbw_integration,PASS
SEM-0004,rf_conformance_emulation_bs_fr1,4000000,100000,-46.4952226669286,-35.8,10.6952226669286,b3dba71a78f75a2e3b00a04132425dc98fc41d95ef21a3719361873fd1862a79,sample_domain_explicit_rbw_integration,PASS
SEM-0005,rf_conformance_emulation_bs_fr1,5000000,100000,-46.8452226669286,-36,10.8452226669286,c0bd62ef4f4bc9abb844978bd8b62c4ba106609bd099074980feea89bcc925ac,sample_domain_explicit_rbw_integration,PASS
SEM-0006,rf_conformance_emulation_bs_fr1,6000000,100000,-47.1,-36.2,10.9,8c628693f8a4937d4883abacbaefd4aede65a15d1555cb49d7131fe7d6eef343,sample_domain_explicit_rbw_integration,PASS
SEM-0007,rf_conformance_emulation_bs_fr1,7000000,100000,-47.5452226669286,-36.4,11.1452226669286,991a60e9f2efc75048d38965dc824bf18c4e8e7dcdbfb6266b74befe76700e9c,sample_domain_explicit_rbw_integration,PASS
SEM-0008,rf_conformance_emulation_bs_fr1,8000000,100000,-47.8952226669287,-36.6,11.2952226669287,54f79101e5fee07a37be0b87ad3b02a8d345a1b624c222f469b287d6b466d465,sample_domain_explicit_rbw_integration,PASS
SEM-0009,rf_conformance_emulation_bs_fr1,9000000,100000,-48.15,-36.8,11.35,52919abe54389e7469b1ae0953076a94b8d1a734a17af376096a51aa6ed2de2f,sample_domain_explicit_rbw_integration,PASS
SEM-0010,rf_conformance_emulation_bs_fr1,10000000,100000,-48.5952226669287,-37,11.5952226669287,e378622c943622c8549eb018f4f78768d6f58df3ace54782adfccb0286216109,sample_domain_explicit_rbw_integration,PASS
SEM-0011,rf_conformance_emulation_bs_fr1,11000000,100000,-48.9452226669287,-37.2,11.7452226669287,8eb46faa9f62746bd9338178d89544780ada4f583d49d022651c6de54285b3f8,sample_domain_explicit_rbw_integration,PASS
SEM-0012,rf_conformance_emulation_bs_fr1,12000000,100000,-49.2,-37.4,11.8,29c16bab915de7613357f672284f8bd0b206a497043995425f287a7b4d60f8b3,sample_domain_explicit_rbw_integration,PASS
SEM-0013,rf_conformance_emulation_bs_fr1,13000000,100000,-49.6452226669286,-37.6,12.0452226669286,88f9d1fccddd5e3b86de892cc1381a6d7932a811506c4f9b10268da0cda906c7,sample_domain_explicit_rbw_integration,PASS
SEM-0014,rf_conformance_emulation_bs_fr1,14000000,100000,-49.9952226669287,-37.8,12.1952226669287,23c497bb565f1dd20a72ab65ab903c200e23d3b9844fa6bbebfaa5ba54dc04e1,sample_domain_explicit_rbw_integration,PASS
SEM-0015,rf_conformance_emulation_bs_fr1,15000000,100000,-50.25,-38,12.25,6eb693a4aa2c4f1445c6fe59fc9e4f57ba5491ea02bffa59f34ff46850346ea7,sample_domain_explicit_rbw_integration,PASS
