CaseID,Channel,Mu,MRB,Pathloss_dB,P0_dBm,Alpha,DeltaTF_dB,TPC_dB,RequestedPower_dBm,AppliedPower_dBm,MeasuredPower_dBm,PCMAX_dBm,Status
PC-00001,PUSCH,0,1,60,-80,0.8,2,1,-29,-29,-29,23,PASS
PC-00002,PUSCH,0,1,90,-80,0.8,2,1,-5,-5,-5.00000000000001,23,PASS
PC-00003,PUSCH,0,1,120,-80,0.8,2,1,19,19,19,23,PASS
PC-00004,PUSCH,0,10,60,-80,0.8,2,1,-19,-19,-19,23,PASS
PC-00005,PUSCH,0,10,90,-80,0.8,2,1,5,5,5,23,PASS
PC-00006,PUSCH,0,10,120,-80,0.8,2,1,29,23,23,23,PASS
PC-00007,PUSCH,0,50,60,-80,0.8,2,1,-12.0102999566398,-12.0102999566398,-12.0102999566398,23,PASS
PC-00008,PUSCH,0,50,90,-80,0.8,2,1,11.9897000433602,11.9897000433602,11.9897000433602,23,PASS
PC-00009,PUSCH,0,50,120,-80,0.8,2,1,35.9897000433602,23,23,23,PASS
PC-00010,PUSCH,0,100,60,-80,0.8,2,1,-9,-9,-9.00000000000001,23,PASS
PC-00011,PUSCH,0,100,90,-80,0.8,2,1,15,15,15,23,PASS
PC-00012,PUSCH,0,100,120,-80,0.8,2,1,39,23,23,23,PASS
PC-00013,PUSCH,1,1,60,-80,0.8,2,1,-25.9897000433602,-25.9897000433602,-25.9897000433602,23,PASS
PC-00014,PUSCH,1,1,90,-80,0.8,2,1,-1.98970004336019,-1.98970004336019,-1.98970004336019,23,PASS
PC-00015,PUSCH,1,1,120,-80,0.8,2,1,22.0102999566398,22.0102999566398,22.0102999566398,23,PASS
PC-00016,PUSCH,1,10,60,-80,0.8,2,1,-15.9897000433602,-15.9897000433602,-15.9897000433602,23,PASS
PC-00017,PUSCH,1,10,90,-80,0.8,2,1,8.01029995663981,8.01029995663981,8.01029995663981,23,PASS
PC-00018,PUSCH,1,10,120,-80,0.8,2,1,32.0102999566398,23,23,23,PASS
PC-00019,PUSCH,1,50,60,-80,0.8,2,1,-9,-9,-9.00000000000001,23,PASS
PC-00020,PUSCH,1,50,90,-80,0.8,2,1,15,15,15,23,PASS
PC-00021,PUSCH,1,50,120,-80,0.8,2,1,39,23,23,23,PASS
PC-00022,PUSCH,1,100,60,-80,0.8,2,1,-5.98970004336019,-5.98970004336019,-5.98970004336018,23,PASS
PC-00023,PUSCH,1,100,90,-80,0.8,2,1,18.0102999566398,18.0102999566398,18.0102999566398,23,PASS
PC-00024,PUSCH,1,100,120,-80,0.8,2,1,42.0102999566398,23,23,23,PASS
PC-00025,PUSCH,2,1,60,-80,0.8,2,1,-22.9794000867204,-22.9794000867204,-22.9794000867204,23,PASS
PC-00026,PUSCH,2,1,90,-80,0.8,2,1,1.02059991327963,1.02059991327963,1.02059991327963,23,PASS
PC-00027,PUSCH,2,1,120,-80,0.8,2,1,25.0205999132796,23,23,23,PASS
PC-00028,PUSCH,2,10,60,-80,0.8,2,1,-12.9794000867204,-12.9794000867204,-12.9794000867204,23,PASS
PC-00029,PUSCH,2,10,90,-80,0.8,2,1,11.0205999132796,11.0205999132796,11.0205999132796,23,PASS
