FamilyID,BaselineResidualCFO,TreatmentResidualCFO,BaselineResidualTiming,TreatmentResidualTiming,BaselineEVM,TreatmentEVM,Status
F01,71,13,0.51,0.13,0.141,0.056,PASS
F01,72,14,0.52,0.14,0.142,0.057,PASS
F01,73,15,0.53,0.15,0.143,0.058,PASS
F01,74,16,0.54,0.16,0.144,0.059,PASS
F01,75,17,0.55,0.17,0.145,0.06,PASS
F01,76,18,0.56,0.12,0.146,0.061,PASS
F01,77,19,0.57,0.13,0.147,0.055,PASS
F01,78,12,0.58,0.14,0.148,0.056,PASS
F01,79,13,0.59,0.15,0.14,0.057,PASS
F01,80,14,0.5,0.16,0.141,0.058,PASS
F01,81,15,0.51,0.17,0.142,0.059,PASS
F01,82,16,0.52,0.12,0.143,0.06,PASS
F02,83,17,0.53,0.13,0.144,0.061,PASS
F02,84,18,0.54,0.14,0.145,0.055,PASS
F02,85,19,0.55,0.15,0.146,0.056,PASS
F02,86,12,0.56,0.16,0.147,0.057,PASS
F02,87,13,0.57,0.17,0.148,0.058,PASS
F02,88,14,0.58,0.12,0.14,0.059,PASS
F02,70,15,0.59,0.13,0.141,0.06,PASS
F02,71,16,0.5,0.14,0.142,0.061,PASS
F02,72,17,0.51,0.15,0.143,0.055,PASS
F02,73,18,0.52,0.16,0.144,0.056,PASS
F02,74,19,0.53,0.17,0.145,0.057,PASS
F02,75,12,0.54,0.12,0.146,0.058,PASS
F03,76,13,0.55,0.13,0.147,0.059,PASS
F03,77,14,0.56,0.14,0.148,0.06,PASS
F03,78,15,0.57,0.15,0.14,0.061,PASS
F03,79,16,0.58,0.16,0.141,0.055,PASS
F03,80,17,0.59,0.17,0.142,0.056,PASS
F03,81,18,0.5,0.12,0.143,0.057,PASS
F03,82,19,0.51,0.13,0.144,0.058,PASS
F03,83,12,0.52,0.14,0.145,0.059,PASS
F03,84,13,0.53,0.15,0.146,0.06,PASS
F03,85,14,0.54,0.16,0.147,0.061,PASS
F03,86,15,0.55,0.17,0.148,0.055,PASS
F03,87,16,0.56,0.12,0.14,0.056,PASS
F04,88,17,0.57,0.13,0.141,0.057,PASS
F04,70,18,0.58,0.14,0.142,0.058,PASS
F04,71,19,0.59,0.15,0.143,0.059,PASS
F04,72,12,0.5,0.16,0.144,0.06,PASS
F04,73,13,0.51,0.17,0.145,0.061,PASS
F04,74,14,0.52,0.12,0.146,0.055,PASS
F04,75,15,0.53,0.13,0.147,0.056,PASS
F04,76,16,0.54,0.14,0.148,0.057,PASS
F04,77,17,0.55,0.15,0.14,0.058,PASS
F04,78,18,0.56,0.16,0.141,0.059,PASS
F04,79,19,0.57,0.17,0.142,0.06,PASS
F04,80,12,0.58,0.12,0.143,0.061,PASS
F05,81,13,0.59,0.13,0.144,0.055,PASS
F05,82,14,0.5,0.14,0.145,0.056,PASS
F05,83,15,0.51,0.15,0.146,0.057,PASS
F05,84,16,0.52,0.16,0.147,0.058,PASS
F05,85,17,0.53,0.17,0.148,0.059,PASS
F05,86,18,0.54,0.12,0.14,0.06,PASS
F05,87,19,0.55,0.13,0.141,0.061,PASS
F05,88,12,0.56,0.14,0.142,0.055,PASS
F05,70,13,0.57,0.15,0.143,0.056,PASS
F05,71,14,0.58,0.16,0.144,0.057,PASS
F05,72,15,0.59,0.17,0.145,0.058,PASS
F05,73,16,0.5,0.12,0.146,0.059,PASS
F06,74,17,0.51,0.13,0.147,0.06,PASS
F06,75,18,0.52,0.14,0.148,0.061,PASS
F06,76,19,0.53,0.15,0.14,0.055,PASS
F06,77,12,0.54,0.16,0.141,0.056,PASS
F06,78,13,0.55,0.17,0.142,0.057,PASS
F06,79,14,0.56,0.12,0.143,0.058,PASS
F06,80,15,0.57,0.13,0.144,0.059,PASS
F06,81,16,0.58,0.14,0.145,0.06,PASS
F06,82,17,0.59,0.15,0.146,0.061,PASS
F06,83,18,0.5,0.16,0.147,0.055,PASS
F06,84,19,0.51,0.17,0.148,0.056,PASS
F06,85,12,0.52,0.12,0.14,0.057,PASS
F07,86,13,0.53,0.13,0.141,0.058,PASS
F07,87,14,0.54,0.14,0.142,0.059,PASS
F07,88,15,0.55,0.15,0.143,0.06,PASS
F07,70,16,0.56,0.16,0.144,0.061,PASS
F07,71,17,0.57,0.17,0.145,0.055,PASS
F07,72,18,0.58,0.12,0.146,0.056,PASS
F07,73,19,0.59,0.13,0.147,0.057,PASS
F07,74,12,0.5,0.14,0.148,0.058,PASS
