CapabilityID,ProfileID,Family,ExpectedSupported,ActualSupported,PlanningDisposition,Status
RSCAP-001,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-002,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-003,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-004,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-005,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-006,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-007,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-008,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-009,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-010,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-011,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-012,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-013,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-014,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-015,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-016,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-017,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-018,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-019,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-020,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-021,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-022,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-023,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-024,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-025,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-026,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-027,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-028,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-029,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-030,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-031,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-032,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-033,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-034,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-035,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-036,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-037,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-038,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-039,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-040,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-041,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-042,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-043,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-044,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-045,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-046,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-047,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-048,nr_rel18_rsla_strict,DMRS,true,true,EXECUTE,PASS
RSCAP-049,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-050,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-051,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-052,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-053,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-054,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-055,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-056,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-057,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-058,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-059,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-060,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-061,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-062,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-063,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-064,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-065,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-066,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-067,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-068,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-069,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-070,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
