CaseID,ReportProfileID,ReportQuantity,Transport,TriggerType,Part1Bits,Part2Bits,ConfigurationEpoch,Status
CSIRPT-001,CSI-P01,CRI-RI-CQI,PUCCH,periodic,9,0,1,PASS
CSIRPT-002,CSI-P01,CRI-RI-CQI,PUCCH,semiPersistent,9,0,1,PASS
CSIRPT-003,CSI-P01,CRI-RI-CQI,PUCCH,aperiodic,9,0,1,PASS
CSIRPT-004,CSI-P01,CRI-RI-CQI,PUSCH,periodic,0,0,1,PASS
CSIRPT-005,CSI-P01,CRI-RI-CQI,PUSCH,semiPersistent,9,0,1,PASS
CSIRPT-006,CSI-P01,CRI-RI-CQI,PUSCH,aperiodic,9,0,1,PASS
CSIRPT-007,CSI-P02,CRI-RI-PMI-CQI,PUCCH,periodic,13,3,1,PASS
CSIRPT-008,CSI-P02,CRI-RI-PMI-CQI,PUCCH,semiPersistent,13,3,1,PASS
CSIRPT-009,CSI-P02,CRI-RI-PMI-CQI,PUCCH,aperiodic,13,3,1,PASS
CSIRPT-010,CSI-P02,CRI-RI-PMI-CQI,PUSCH,periodic,0,0,1,PASS
CSIRPT-011,CSI-P02,CRI-RI-PMI-CQI,PUSCH,semiPersistent,13,3,1,PASS
CSIRPT-012,CSI-P02,CRI-RI-PMI-CQI,PUSCH,aperiodic,13,3,1,PASS
CSIRPT-013,CSI-P03,CRI-RI-LI-PMI-CQI,PUCCH,periodic,18,13,1,PASS
CSIRPT-014,CSI-P03,CRI-RI-LI-PMI-CQI,PUCCH,semiPersistent,18,13,1,PASS
CSIRPT-015,CSI-P03,CRI-RI-LI-PMI-CQI,PUCCH,aperiodic,18,13,1,PASS
CSIRPT-016,CSI-P03,CRI-RI-LI-PMI-CQI,PUSCH,periodic,0,0,1,PASS
CSIRPT-017,CSI-P03,CRI-RI-LI-PMI-CQI,PUSCH,semiPersistent,18,13,1,PASS
CSIRPT-018,CSI-P03,CRI-RI-LI-PMI-CQI,PUSCH,aperiodic,18,13,1,PASS
CSIRPT-019,CSI-P04,SSBRI-RSRP,PUCCH,periodic,10,0,1,PASS
CSIRPT-020,CSI-P04,SSBRI-RSRP,PUCCH,semiPersistent,10,0,1,PASS
CSIRPT-021,CSI-P04,SSBRI-RSRP,PUCCH,aperiodic,10,0,1,PASS
CSIRPT-022,CSI-P04,SSBRI-RSRP,PUSCH,periodic,0,0,1,PASS
CSIRPT-023,CSI-P04,SSBRI-RSRP,PUSCH,semiPersistent,10,0,1,PASS
CSIRPT-024,CSI-P04,SSBRI-RSRP,PUSCH,aperiodic,10,0,1,PASS
CSIRPT-025,CSI-P05,CRI-RSRP,PUCCH,periodic,11,0,1,PASS
CSIRPT-026,CSI-P05,CRI-RSRP,PUCCH,semiPersistent,11,0,1,PASS
CSIRPT-027,CSI-P05,CRI-RSRP,PUCCH,aperiodic,11,0,1,PASS
CSIRPT-028,CSI-P05,CRI-RSRP,PUSCH,periodic,0,0,1,PASS
CSIRPT-029,CSI-P05,CRI-RSRP,PUSCH,semiPersistent,11,0,1,PASS
CSIRPT-030,CSI-P05,CRI-RSRP,PUSCH,aperiodic,11,0,1,PASS
CSIRPT-031,CSI-P06,twoPartTypeI,PUCCH,periodic,11,28,1,PASS
CSIRPT-032,CSI-P06,twoPartTypeI,PUCCH,semiPersistent,11,28,1,PASS
CSIRPT-033,CSI-P06,twoPartTypeI,PUCCH,aperiodic,11,28,1,PASS
CSIRPT-034,CSI-P06,twoPartTypeI,PUSCH,periodic,0,0,1,PASS
CSIRPT-035,CSI-P06,twoPartTypeI,PUSCH,semiPersistent,11,28,1,PASS
CSIRPT-036,CSI-P06,twoPartTypeI,PUSCH,aperiodic,11,28,1,PASS
CSIRPT-037,CSI-P07,twoPartTypeII-bounded,PUCCH,periodic,10,44,1,PASS
CSIRPT-038,CSI-P07,twoPartTypeII-bounded,PUCCH,semiPersistent,10,44,1,PASS
CSIRPT-039,CSI-P07,twoPartTypeII-bounded,PUCCH,aperiodic,10,44,1,PASS
CSIRPT-040,CSI-P07,twoPartTypeII-bounded,PUSCH,periodic,0,0,1,PASS
CSIRPT-041,CSI-P07,twoPartTypeII-bounded,PUSCH,semiPersistent,10,44,1,PASS
CSIRPT-042,CSI-P07,twoPartTypeII-bounded,PUSCH,aperiodic,10,44,1,PASS
CSIRPT-043,CSI-P08,aperiodicPUSCHCSI,PUCCH,periodic,9,22,1,PASS
CSIRPT-044,CSI-P08,aperiodicPUSCHCSI,PUCCH,semiPersistent,9,22,1,PASS
CSIRPT-045,CSI-P08,aperiodicPUSCHCSI,PUCCH,aperiodic,9,22,1,PASS
CSIRPT-046,CSI-P08,aperiodicPUSCHCSI,PUSCH,periodic,0,0,1,PASS
CSIRPT-047,CSI-P08,aperiodicPUSCHCSI,PUSCH,semiPersistent,9,22,1,PASS
CSIRPT-048,CSI-P08,aperiodicPUSCHCSI,PUSCH,aperiodic,9,22,1,PASS
