CaseID,Transport,InformationBits,EncodedBits,DecodedBits,CRCStatus,SemanticStatus,Status
CSIRPT-001,PUCCH,9,2048,9,true,true,PASS
CSIRPT-002,PUCCH,9,2048,9,true,true,PASS
CSIRPT-003,PUCCH,9,2048,9,true,true,PASS
CSIRPT-004,PUSCH,0,0,0,EXPECTED_REJECTION,EXPECTED_REJECTION,PASS
CSIRPT-005,PUSCH,9,2048,9,true,true,PASS
CSIRPT-006,PUSCH,9,2048,9,true,true,PASS
CSIRPT-007,PUCCH,16,2048,16,true,true,PASS
CSIRPT-008,PUCCH,16,2048,16,true,true,PASS
CSIRPT-009,PUCCH,16,2048,16,true,true,PASS
CSIRPT-010,PUSCH,0,0,0,EXPECTED_REJECTION,EXPECTED_REJECTION,PASS
CSIRPT-011,PUSCH,16,2048,16,true,true,PASS
CSIRPT-012,PUSCH,16,2048,16,true,true,PASS
CSIRPT-013,PUCCH,31,2048,31,true,true,PASS
CSIRPT-014,PUCCH,31,2048,31,true,true,PASS
CSIRPT-015,PUCCH,31,2048,31,true,true,PASS
CSIRPT-016,PUSCH,0,0,0,EXPECTED_REJECTION,EXPECTED_REJECTION,PASS
CSIRPT-017,PUSCH,31,2048,31,true,true,PASS
CSIRPT-018,PUSCH,31,2048,31,true,true,PASS
CSIRPT-019,PUCCH,10,2048,10,true,true,PASS
CSIRPT-020,PUCCH,10,2048,10,true,true,PASS
CSIRPT-021,PUCCH,10,2048,10,true,true,PASS
CSIRPT-022,PUSCH,0,0,0,EXPECTED_REJECTION,EXPECTED_REJECTION,PASS
CSIRPT-023,PUSCH,10,2048,10,true,true,PASS
CSIRPT-024,PUSCH,10,2048,10,true,true,PASS
CSIRPT-025,PUCCH,11,2048,11,true,true,PASS
CSIRPT-026,PUCCH,11,2048,11,true,true,PASS
CSIRPT-027,PUCCH,11,2048,11,true,true,PASS
CSIRPT-028,PUSCH,0,0,0,EXPECTED_REJECTION,EXPECTED_REJECTION,PASS
CSIRPT-029,PUSCH,11,2048,11,true,true,PASS
CSIRPT-030,PUSCH,11,2048,11,true,true,PASS
CSIRPT-031,PUCCH,39,2048,39,true,true,PASS
CSIRPT-032,PUCCH,39,2048,39,true,true,PASS
CSIRPT-033,PUCCH,39,2048,39,true,true,PASS
CSIRPT-034,PUSCH,0,0,0,EXPECTED_REJECTION,EXPECTED_REJECTION,PASS
CSIRPT-035,PUSCH,39,2048,39,true,true,PASS
CSIRPT-036,PUSCH,39,2048,39,true,true,PASS
CSIRPT-037,PUCCH,54,2048,54,true,true,PASS
CSIRPT-038,PUCCH,54,2048,54,true,true,PASS
CSIRPT-039,PUCCH,54,2048,54,true,true,PASS
CSIRPT-040,PUSCH,0,0,0,EXPECTED_REJECTION,EXPECTED_REJECTION,PASS
CSIRPT-041,PUSCH,54,2048,54,true,true,PASS
CSIRPT-042,PUSCH,54,2048,54,true,true,PASS
CSIRPT-043,PUCCH,31,2048,31,true,true,PASS
CSIRPT-044,PUCCH,31,2048,31,true,true,PASS
CSIRPT-045,PUCCH,31,2048,31,true,true,PASS
CSIRPT-046,PUSCH,0,0,0,EXPECTED_REJECTION,EXPECTED_REJECTION,PASS
CSIRPT-047,PUSCH,31,2048,31,true,true,PASS
CSIRPT-048,PUSCH,31,2048,31,true,true,PASS
