UEID,Direction,MCSTable,EventIndex,Outcome,MarginBeforeDb,MarginAfterDb,TargetBLER,MuAckDb,MuNackDb,ResetReason,Status
1,DL,qam64,1,ACK,0,-0.01,0.01,0.01,0.99,,PASS
1,DL,qam64,2,ACK,-0.01,-0.02,0.01,0.01,0.99,,PASS
1,DL,qam64,3,ACK,-0.02,-0.03,0.01,0.01,0.99,,PASS
1,DL,qam64,4,ACK,-0.03,-0.04,0.01,0.01,0.99,,PASS
1,DL,qam64,5,ACK,-0.04,-0.05,0.01,0.01,0.99,,PASS
1,DL,qam64,6,ACK,-0.05,-0.06,0.01,0.01,0.99,,PASS
1,DL,qam64,7,ACK,-0.06,-0.07,0.01,0.01,0.99,,PASS
1,DL,qam64,8,ACK,-0.07,-0.08,0.01,0.01,0.99,,PASS
1,DL,qam64,9,ACK,-0.08,-0.09,0.01,0.01,0.99,,PASS
1,DL,qam64,10,ACK,-0.09,-0.1,0.01,0.01,0.99,,PASS
1,DL,qam64,11,ACK,-0.1,-0.11,0.01,0.01,0.99,,PASS
1,DL,qam64,12,ACK,-0.11,-0.12,0.01,0.01,0.99,,PASS
1,DL,qam64,13,ACK,-0.12,-0.13,0.01,0.01,0.99,,PASS
1,DL,qam64,14,ACK,-0.13,-0.14,0.01,0.01,0.99,,PASS
1,DL,qam64,15,ACK,-0.14,-0.15,0.01,0.01,0.99,,PASS
1,DL,qam64,16,ACK,-0.15,-0.16,0.01,0.01,0.99,,PASS
1,DL,qam64,17,ACK,-0.16,-0.17,0.01,0.01,0.99,,PASS
1,DL,qam64,18,ACK,-0.17,-0.18,0.01,0.01,0.99,,PASS
1,DL,qam64,19,ACK,-0.18,-0.19,0.01,0.01,0.99,,PASS
1,DL,qam64,20,ACK,-0.19,-0.2,0.01,0.01,0.99,,PASS
1,DL,qam64,21,ACK,-0.2,-0.21,0.01,0.01,0.99,,PASS
1,DL,qam64,22,ACK,-0.21,-0.22,0.01,0.01,0.99,,PASS
1,DL,qam64,23,ACK,-0.22,-0.23,0.01,0.01,0.99,,PASS
1,DL,qam64,24,ACK,-0.23,-0.24,0.01,0.01,0.99,,PASS
1,DL,qam64,25,ACK,-0.24,-0.25,0.01,0.01,0.99,,PASS
1,DL,qam64,26,ACK,-0.25,-0.26,0.01,0.01,0.99,,PASS
1,DL,qam64,27,ACK,-0.26,-0.27,0.01,0.01,0.99,,PASS
1,DL,qam64,28,ACK,-0.27,-0.28,0.01,0.01,0.99,,PASS
