FamilyID,Factor,Baseline,Treatment,NMSEEffect,EVMEffect,Status
F01,OFDM-1,1,4.00000000000001e-06,-0.999996,-0.999996,PASS
F02,OFDM-2,0,8.99999999999934e-06,8.99999999999934e-06,8.99999999999934e-06,PASS
F03,OFDM-3,0,12,12,12,PASS
F04,OFDM-4,2.38514682289381,2.09785326881812,-0.287293554075693,-0.287293554075693,PASS
F05,OFDM-5,0,4.00000000000001e-06,4.00000000000001e-06,4.00000000000001e-06,PASS
F06,OFDM-6,0,1,1,1,PASS
F07,OFDM-7,0,0,0,0,PASS
F08,OFDM-8,0,0.698321555595706,0.698321555595706,0.698321555595706,PASS
F09,OFDM-9,0,2.49999999999989e-05,2.49999999999989e-05,2.49999999999989e-05,PASS
F10,OFDM-10,0,9.99999999999773e-07,9.99999999999773e-07,9.99999999999773e-07,PASS
