FamilyID,PairID,Arm,Trials,Errors,Incomplete,Status
F01,F01-BASELINE,BASELINE,6,0,0,PASS
F01,F01-TREATMENT,TREATMENT,6,0,0,PASS
F02,F02-BASELINE,BASELINE,6,0,0,PASS
F02,F02-TREATMENT,TREATMENT,6,0,0,PASS
F03,F03-BASELINE,BASELINE,6,0,0,PASS
F03,F03-TREATMENT,TREATMENT,6,0,0,PASS
F04,F04-BASELINE,BASELINE,6,0,0,PASS
F04,F04-TREATMENT,TREATMENT,6,0,0,PASS
F05,F05-BASELINE,BASELINE,6,0,0,PASS
F05,F05-TREATMENT,TREATMENT,6,0,0,PASS
F06,F06-BASELINE,BASELINE,6,0,0,PASS
F06,F06-TREATMENT,TREATMENT,6,0,0,PASS
F07,F07-BASELINE,BASELINE,6,0,0,PASS
F07,F07-TREATMENT,TREATMENT,6,0,0,PASS
F08,F08-BASELINE,BASELINE,6,0,0,PASS
F08,F08-TREATMENT,TREATMENT,6,0,0,PASS
F09,F09-BASELINE,BASELINE,6,0,0,PASS
F09,F09-TREATMENT,TREATMENT,6,0,0,PASS
F10,F10-BASELINE,BASELINE,6,0,0,PASS
F10,F10-TREATMENT,TREATMENT,6,0,0,PASS
F11,F11-BASELINE,BASELINE,6,0,0,PASS
F11,F11-TREATMENT,TREATMENT,6,0,0,PASS
F12,F12-BASELINE,BASELINE,6,0,0,PASS
F12,F12-TREATMENT,TREATMENT,6,0,0,PASS
F13,F13-BASELINE,BASELINE,6,0,0,PASS
F13,F13-TREATMENT,TREATMENT,6,0,0,PASS
F14,F14-BASELINE,BASELINE,6,0,0,PASS
F14,F14-TREATMENT,TREATMENT,6,0,0,PASS
F15,F15-BASELINE,BASELINE,6,0,0,PASS
F15,F15-TREATMENT,TREATMENT,6,0,0,PASS
F16,F16-BASELINE,BASELINE,6,0,0,PASS
F16,F16-TREATMENT,TREATMENT,6,0,0,PASS
F17,F17-BASELINE,BASELINE,6,0,0,PASS
F17,F17-TREATMENT,TREATMENT,6,0,0,PASS
F18,F18-BASELINE,BASELINE,6,0,0,PASS
F18,F18-TREATMENT,TREATMENT,6,0,0,PASS
F19,F19-BASELINE,BASELINE,6,0,0,PASS
F19,F19-TREATMENT,TREATMENT,6,0,0,PASS
F20,F20-BASELINE,BASELINE,6,0,0,PASS
F20,F20-TREATMENT,TREATMENT,6,0,0,PASS
F21,F21-BASELINE,BASELINE,6,0,0,PASS
F21,F21-TREATMENT,TREATMENT,6,0,0,PASS
F22,F22-BASELINE,BASELINE,6,0,0,PASS
F22,F22-TREATMENT,TREATMENT,6,0,0,PASS
F23,F23-BASELINE,BASELINE,6,0,0,PASS
F23,F23-TREATMENT,TREATMENT,6,0,0,PASS
F24,F24-BASELINE,BASELINE,6,0,0,PASS
F24,F24-TREATMENT,TREATMENT,6,0,0,PASS
F25,F25-BASELINE,BASELINE,6,0,0,PASS
F25,F25-TREATMENT,TREATMENT,6,0,0,PASS
F26,F26-BASELINE,BASELINE,6,0,0,PASS
F26,F26-TREATMENT,TREATMENT,6,0,0,PASS
F27,F27-BASELINE,BASELINE,6,0,0,PASS
F27,F27-TREATMENT,TREATMENT,6,0,0,PASS
F28,F28-BASELINE,BASELINE,6,0,0,PASS
F28,F28-TREATMENT,TREATMENT,6,0,0,PASS
F29,F29-BASELINE,BASELINE,6,0,0,PASS
F29,F29-TREATMENT,TREATMENT,6,0,0,PASS
F30,F30-BASELINE,BASELINE,6,0,0,PASS
F30,F30-TREATMENT,TREATMENT,6,0,0,PASS
F31,F31-BASELINE,BASELINE,6,0,0,PASS
F31,F31-TREATMENT,TREATMENT,6,0,0,PASS
F32,F32-BASELINE,BASELINE,6,0,0,PASS
F32,F32-TREATMENT,TREATMENT,6,0,0,PASS
F33,F33-BASELINE,BASELINE,6,0,0,PASS
F33,F33-TREATMENT,TREATMENT,6,0,0,PASS
F34,F34-BASELINE,BASELINE,6,0,0,PASS
F34,F34-TREATMENT,TREATMENT,6,0,0,PASS
F35,F35-BASELINE,BASELINE,6,0,0,PASS
F35,F35-TREATMENT,TREATMENT,6,0,0,PASS
F36,F36-BASELINE,BASELINE,6,0,0,PASS
F36,F36-TREATMENT,TREATMENT,6,0,0,PASS
F37,F37-BASELINE,BASELINE,6,0,0,PASS
F37,F37-TREATMENT,TREATMENT,6,0,0,PASS
F38,F38-BASELINE,BASELINE,6,0,0,PASS
F38,F38-TREATMENT,TREATMENT,6,0,0,PASS
F39,F39-BASELINE,BASELINE,6,0,0,PASS
F39,F39-TREATMENT,TREATMENT,6,0,0,PASS
F40,F40-BASELINE,BASELINE,6,0,0,PASS
F40,F40-TREATMENT,TREATMENT,6,0,0,PASS
F41,F41-BASELINE,BASELINE,6,0,0,PASS
F41,F41-TREATMENT,TREATMENT,6,0,0,PASS
F42,F42-BASELINE,BASELINE,6,0,0,PASS
F42,F42-TREATMENT,TREATMENT,6,0,0,PASS
F43,F43-BASELINE,BASELINE,6,0,0,PASS
F43,F43-TREATMENT,TREATMENT,6,0,0,PASS
F44,F44-BASELINE,BASELINE,6,0,0,PASS
F44,F44-TREATMENT,TREATMENT,6,0,0,PASS
F45,F45-BASELINE,BASELINE,6,0,0,PASS
F45,F45-TREATMENT,TREATMENT,6,0,0,PASS
F46,F46-BASELINE,BASELINE,6,0,0,PASS
F46,F46-TREATMENT,TREATMENT,6,0,0,PASS
F47,F47-BASELINE,BASELINE,6,0,0,PASS
F47,F47-TREATMENT,TREATMENT,6,0,0,PASS
F48,F48-BASELINE,BASELINE,6,0,0,PASS
F48,F48-TREATMENT,TREATMENT,6,0,0,PASS
F49,F49-BASELINE,BASELINE,6,0,0,PASS
F49,F49-TREATMENT,TREATMENT,6,0,0,PASS
F50,F50-BASELINE,BASELINE,6,0,0,PASS
F50,F50-TREATMENT,TREATMENT,6,0,0,PASS
F51,F51-BASELINE,BASELINE,6,0,0,PASS
F51,F51-TREATMENT,TREATMENT,6,0,0,PASS
F52,F52-BASELINE,BASELINE,6,0,0,PASS
F52,F52-TREATMENT,TREATMENT,6,0,0,PASS
F53,F53-BASELINE,BASELINE,6,0,0,PASS
F53,F53-TREATMENT,TREATMENT,6,0,0,PASS
F54,F54-BASELINE,BASELINE,6,0,0,PASS
F54,F54-TREATMENT,TREATMENT,6,0,0,PASS
F55,F55-BASELINE,BASELINE,6,0,0,PASS
F55,F55-TREATMENT,TREATMENT,6,0,0,PASS
F56,F56-BASELINE,BASELINE,6,0,0,PASS
F56,F56-TREATMENT,TREATMENT,6,0,0,PASS
F57,F57-BASELINE,BASELINE,6,0,0,PASS
F57,F57-TREATMENT,TREATMENT,6,0,0,PASS
F58,F58-BASELINE,BASELINE,6,0,0,PASS
F58,F58-TREATMENT,TREATMENT,6,0,0,PASS
F59,F59-BASELINE,BASELINE,6,0,0,PASS
F59,F59-TREATMENT,TREATMENT,6,0,0,PASS
F60,F60-BASELINE,BASELINE,6,0,0,PASS
F60,F60-TREATMENT,TREATMENT,6,0,0,PASS
F61,F61-BASELINE,BASELINE,6,0,0,PASS
F61,F61-TREATMENT,TREATMENT,6,0,0,PASS
F62,F62-BASELINE,BASELINE,6,0,0,PASS
F62,F62-TREATMENT,TREATMENT,6,0,0,PASS
F63,F63-BASELINE,BASELINE,6,0,0,PASS
F63,F63-TREATMENT,TREATMENT,6,0,0,PASS
F64,F64-BASELINE,BASELINE,6,0,0,PASS
F64,F64-TREATMENT,TREATMENT,6,0,0,PASS
