CaseID,ComponentID,SCS_kHz,SampleRate_Hz,StartSample,EndSample,FrequencyOffset_Hz,Power_dBm,Status
MN-0001,MN-1,15,1920000,0,127,-192000,-0,PASS
MN-0001,MN-2,15,1920000,0,127,192000,-3,PASS
MN-0002,MN-1,15,1920000,0,134,-192000,-0,PASS
MN-0002,MN-2,15,1920000,7,141,192000,-3,PASS
MN-0003,MN-1,15,3840000,0,255,-384000,-0,PASS
MN-0003,MN-2,30,3840000,0,255,384000,-3,PASS
MN-0004,MN-1,15,3840000,0,255,-384000,-0,PASS
MN-0004,MN-2,30,3840000,7,262,384000,-3,PASS
MN-0005,MN-1,15,7680000,0,511,-768000,-0,PASS
MN-0005,MN-2,60,7680000,0,511,768000,-3,PASS
MN-0006,MN-1,15,7680000,0,511,-768000,-0,PASS
MN-0006,MN-2,60,7680000,7,518,768000,-3,PASS
MN-0007,MN-1,15,15360000,0,1023,-1536000,-0,PASS
MN-0007,MN-2,120,15360000,0,1023,1536000,-3,PASS
MN-0008,MN-1,15,15360000,0,1023,-1536000,-0,PASS
MN-0008,MN-2,120,15360000,7,1030,1536000,-3,PASS
MN-0009,MN-1,15,30720000,0,2047,-3072000,-0,PASS
MN-0009,MN-2,240,30720000,0,2047,3072000,-3,PASS
MN-0010,MN-1,15,30720000,0,2047,-3072000,-0,PASS
MN-0010,MN-2,240,30720000,7,2054,3072000,-3,PASS
MN-0011,MN-1,30,3840000,0,255,-384000,-0,PASS
MN-0011,MN-2,15,3840000,0,255,384000,-3,PASS
MN-0012,MN-1,30,3840000,0,262,-384000,-0,PASS
MN-0012,MN-2,15,3840000,7,269,384000,-3,PASS
MN-0013,MN-1,30,3840000,0,127,-384000,-0,PASS
MN-0013,MN-2,30,3840000,0,127,384000,-3,PASS
MN-0014,MN-1,30,3840000,0,134,-384000,-0,PASS
MN-0014,MN-2,30,3840000,7,141,384000,-3,PASS
MN-0015,MN-1,30,7680000,0,255,-768000,-0,PASS
MN-0015,MN-2,60,7680000,0,255,768000,-3,PASS
MN-0016,MN-1,30,7680000,0,255,-768000,-0,PASS
MN-0016,MN-2,60,7680000,7,262,768000,-3,PASS
MN-0017,MN-1,30,15360000,0,511,-1536000,-0,PASS
MN-0017,MN-2,120,15360000,0,511,1536000,-3,PASS
MN-0018,MN-1,30,15360000,0,511,-1536000,-0,PASS
MN-0018,MN-2,120,15360000,7,518,1536000,-3,PASS
MN-0019,MN-1,30,30720000,0,1023,-3072000,-0,PASS
MN-0019,MN-2,240,30720000,0,1023,3072000,-3,PASS
MN-0020,MN-1,30,30720000,0,1023,-3072000,-0,PASS
MN-0020,MN-2,240,30720000,7,1030,3072000,-3,PASS
