CaseID,Stage,ReferenceDomain,Energy,AveragePower,ExpectedPower,Error_dB,Status
POWER-1,grid,occupied_re,36,1,1,0,PASS
POWER-1,ifft,useful_samples,36,0.5625,0.5625,9.64327466553287e-16,PASS
POWER-2,grid,occupied_re,48,1,1,0,PASS
POWER-2,ifft,useful_samples,48,0.375,0.375,9.64327466553287e-16,PASS
POWER-3,grid,occupied_re,24,1,1,0,PASS
POWER-3,ifft,useful_samples,24,0.09375,0.09375,-4.82163733276644e-16,PASS
POWER-4,grid,occupied_re,36,1,1,0,PASS
POWER-4,ifft,useful_samples,36,0.5625,0.5625,-9.64327466553287e-16,PASS
POWER-5,grid,occupied_re,48,1,1,0,PASS
POWER-5,ifft,useful_samples,48,0.375,0.375,1.92865493310657e-15,PASS
POWER-6,grid,occupied_re,24,1,1,0,PASS
POWER-6,ifft,useful_samples,24,0.09375,0.09375,9.64327466553287e-16,PASS
POWER-7,grid,occupied_re,36,1,1,0,PASS
POWER-7,ifft,useful_samples,36,0.5625,0.5625,0,PASS
POWER-8,grid,occupied_re,48,1,1,0,PASS
POWER-8,ifft,useful_samples,48,0.375,0.375,9.64327466553287e-16,PASS
POWER-9,grid,occupied_re,24,1,1,0,PASS
POWER-9,ifft,useful_samples,24,0.09375,0.09375,9.64327466553287e-16,PASS
POWER-10,grid,occupied_re,36,1,1,0,PASS
POWER-10,ifft,useful_samples,36,0.5625,0.5625,0,PASS
POWER-11,grid,occupied_re,48,1,1,0,PASS
POWER-11,ifft,useful_samples,48,0.375,0.375,9.64327466553287e-16,PASS
POWER-12,grid,occupied_re,24,1,1,0,PASS
POWER-12,ifft,useful_samples,24,0.09375,0.09375,9.64327466553287e-16,PASS
POWER-13,grid,occupied_re,36,1,1,0,PASS
POWER-13,ifft,useful_samples,36,0.5625,0.5625,0,PASS
POWER-14,grid,occupied_re,48,1,1,0,PASS
POWER-14,ifft,useful_samples,48,0.375,0.375,9.64327466553287e-16,PASS
POWER-15,grid,occupied_re,24,1,1,0,PASS
POWER-15,ifft,useful_samples,24,0.09375,0.09375,0,PASS
POWER-16,grid,occupied_re,36,1,1,0,PASS
POWER-16,ifft,useful_samples,36,0.5625,0.5625,9.64327466553287e-16,PASS
POWER-17,grid,occupied_re,48,1,1,0,PASS
POWER-17,ifft,useful_samples,48,0.375,0.375,9.64327466553287e-16,PASS
POWER-18,grid,occupied_re,24,1,1,0,PASS
POWER-18,ifft,useful_samples,24,0.09375,0.09375,9.64327466553287e-16,PASS
POWER-19,grid,occupied_re,36,1,1,0,PASS
POWER-19,ifft,useful_samples,36,0.5625,0.5625,9.64327466553287e-16,PASS
POWER-20,grid,occupied_re,48,1,1,0,PASS
POWER-20,ifft,useful_samples,48,0.375,0.375,9.64327466553287e-16,PASS
