ProfileID,Feature,ExpectedOutcome,ActualOutcome,Status
nr_rel19_cp_ofdm_strict,dl_cp_ofdm,EXECUTE,EXECUTE,PASS
nr_rel19_cp_ofdm_strict,ul_cp_ofdm,EXECUTE,EXECUTE,PASS
nr_rel19_cp_ofdm_strict,normal_cp,EXECUTE,EXECUTE,PASS
nr_rel19_cp_ofdm_strict,extended_cp_60khz,EXECUTE,EXECUTE,PASS
nr_rel19_cp_ofdm_strict,windowing_zero,EXECUTE,EXECUTE,PASS
nr_rel19_cp_ofdm_strict,explicit_wola,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,single_layer_ul_dfts_ofdm,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,pi2_bpsk,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,qpsk_dfts,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,16qam_dfts,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,64qam_dfts,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,256qam_dfts,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,rank2_dfts_ofdm,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,dl_dfts_ofdm,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,noncontiguous_dft_mapping,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,flexible_dft_size,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,tone_reservation,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,frequency_domain_truncation,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,fdss,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,filtered_ofdm,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,multi_numerology_sync,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,multi_numerology_async,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,two_component_carrier,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,four_component_carrier,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,otfs,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,afdm,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,ufmc,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,fbmc,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,pruned_dft,REJECT,REJECT,PASS
nr_rel19_cp_ofdm_strict,enhanced_dmrs_data_mux,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,dl_cp_ofdm,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,ul_cp_ofdm,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,normal_cp,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,extended_cp_60khz,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,windowing_zero,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,explicit_wola,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,single_layer_ul_dfts_ofdm,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,pi2_bpsk,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,qpsk_dfts,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,16qam_dfts,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,64qam_dfts,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,256qam_dfts,EXECUTE,EXECUTE,PASS
nr_rel19_ul_dfts_ofdm_strict,rank2_dfts_ofdm,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,dl_dfts_ofdm,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,noncontiguous_dft_mapping,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,flexible_dft_size,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,tone_reservation,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,frequency_domain_truncation,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,fdss,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,filtered_ofdm,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,multi_numerology_sync,REJECT,REJECT,PASS
