Profile,Frequency_Hz,PSD_dB_per_Hz,AnalysisWindow,RBW_Hz,Status
CP-OFDM,-1920000,-71.233394699484,rectangular,7500,PASS
CP-OFDM,-1912500,-62.6122222725758,rectangular,7500,PASS
CP-OFDM,-1905000,-59.6261128824327,rectangular,7500,PASS
CP-OFDM,-1897500,-61.9021648455749,rectangular,7500,PASS
CP-OFDM,-1890000,-67.7295047611829,rectangular,7500,PASS
CP-OFDM,-1882500,-65.243361459346,rectangular,7500,PASS
CP-OFDM,-1875000,-72.9765206498179,rectangular,7500,PASS
CP-OFDM,-1867500,-73.4811688634941,rectangular,7500,PASS
CP-OFDM,-1860000,-70.2706676877,rectangular,7500,PASS
CP-OFDM,-1852500,-69.5924580933833,rectangular,7500,PASS
CP-OFDM,-1845000,-87.5992838070317,rectangular,7500,PASS
CP-OFDM,-1837500,-66.9334197459148,rectangular,7500,PASS
CP-OFDM,-1830000,-67.0395500365455,rectangular,7500,PASS
CP-OFDM,-1822500,-69.4021532358992,rectangular,7500,PASS
CP-OFDM,-1815000,-63.0708849319807,rectangular,7500,PASS
CP-OFDM,-1807500,-65.3982389583664,rectangular,7500,PASS
CP-OFDM,-1800000,-71.3005055888374,rectangular,7500,PASS
CP-OFDM,-1792500,-65.3947695984125,rectangular,7500,PASS
CP-OFDM,-1785000,-72.8036262094842,rectangular,7500,PASS
CP-OFDM,-1777500,-69.01916561753,rectangular,7500,PASS
CP-OFDM,-1770000,-76.2319587730187,rectangular,7500,PASS
CP-OFDM,-1762500,-71.6918803259853,rectangular,7500,PASS
CP-OFDM,-1755000,-70.3511057549297,rectangular,7500,PASS
CP-OFDM,-1747500,-65.3608635337897,rectangular,7500,PASS
CP-OFDM,-1740000,-64.700267636569,rectangular,7500,PASS
CP-OFDM,-1732500,-68.8173311147738,rectangular,7500,PASS
CP-OFDM,-1725000,-65.3983332861241,rectangular,7500,PASS
CP-OFDM,-1717500,-63.8969313512115,rectangular,7500,PASS
CP-OFDM,-1710000,-72.4920804682832,rectangular,7500,PASS
CP-OFDM,-1702500,-65.3668986244083,rectangular,7500,PASS
CP-OFDM,-1695000,-66.2127732829168,rectangular,7500,PASS
CP-OFDM,-1687500,-76.8476691176864,rectangular,7500,PASS
CP-OFDM,-1680000,-72.3150693172559,rectangular,7500,PASS
CP-OFDM,-1672500,-70.1718832787739,rectangular,7500,PASS
CP-OFDM,-1665000,-67.9310735567798,rectangular,7500,PASS
CP-OFDM,-1657500,-65.0036728577767,rectangular,7500,PASS
CP-OFDM,-1650000,-67.028708373565,rectangular,7500,PASS
CP-OFDM,-1642500,-69.0309202111196,rectangular,7500,PASS
CP-OFDM,-1635000,-66.7640915421988,rectangular,7500,PASS
CP-OFDM,-1627500,-64.8675399449693,rectangular,7500,PASS
CP-OFDM,-1620000,-67.3791379201263,rectangular,7500,PASS
CP-OFDM,-1612500,-70.0689750679354,rectangular,7500,PASS
CP-OFDM,-1605000,-60.1736706291256,rectangular,7500,PASS
CP-OFDM,-1597500,-59.9888811357394,rectangular,7500,PASS
CP-OFDM,-1590000,-63.5361771177193,rectangular,7500,PASS
CP-OFDM,-1582500,-65.3427150672058,rectangular,7500,PASS
CP-OFDM,-1575000,-64.8792040415267,rectangular,7500,PASS
CP-OFDM,-1567500,-66.7180608633986,rectangular,7500,PASS
CP-OFDM,-1560000,-73.7028933600037,rectangular,7500,PASS
CP-OFDM,-1552500,-78.6808674712481,rectangular,7500,PASS
CP-OFDM,-1545000,-69.5493771976467,rectangular,7500,PASS
CP-OFDM,-1537500,-65.8870649122908,rectangular,7500,PASS
CP-OFDM,-1530000,-62.0810974616307,rectangular,7500,PASS
CP-OFDM,-1522500,-61.1842939551677,rectangular,7500,PASS
CP-OFDM,-1515000,-67.0631849990571,rectangular,7500,PASS
CP-OFDM,-1507500,-71.5456685001463,rectangular,7500,PASS
CP-OFDM,-1500000,-64.7723773090411,rectangular,7500,PASS
CP-OFDM,-1492500,-63.5432271966122,rectangular,7500,PASS
CP-OFDM,-1485000,-65.2113024072565,rectangular,7500,PASS
CP-OFDM,-1477500,-70.9330150748638,rectangular,7500,PASS
CP-OFDM,-1470000,-68.8566783473835,rectangular,7500,PASS
CP-OFDM,-1462500,-65.956311525812,rectangular,7500,PASS
CP-OFDM,-1455000,-68.8025534089552,rectangular,7500,PASS
CP-OFDM,-1447500,-80.5485422752029,rectangular,7500,PASS
CP-OFDM,-1440000,-70.3549694647057,rectangular,7500,PASS
CP-OFDM,-1432500,-68.6267079059038,rectangular,7500,PASS
CP-OFDM,-1425000,-71.7562393527763,rectangular,7500,PASS
CP-OFDM,-1417500,-65.2112109697909,rectangular,7500,PASS
CP-OFDM,-1410000,-64.3448475621338,rectangular,7500,PASS
CP-OFDM,-1402500,-70.2159334324147,rectangular,7500,PASS
CP-OFDM,-1395000,-64.3386282248944,rectangular,7500,PASS
CP-OFDM,-1387500,-62.4005009017527,rectangular,7500,PASS
CP-OFDM,-1380000,-67.0357636691614,rectangular,7500,PASS
CP-OFDM,-1372500,-66.0602657620827,rectangular,7500,PASS
CP-OFDM,-1365000,-62.8207352239135,rectangular,7500,PASS
CP-OFDM,-1357500,-63.426053647532,rectangular,7500,PASS
CP-OFDM,-1350000,-59.5423605457263,rectangular,7500,PASS
CP-OFDM,-1342500,-61.7262022866596,rectangular,7500,PASS
CP-OFDM,-1335000,-65.5993059767862,rectangular,7500,PASS
CP-OFDM,-1327500,-69.6735954905108,rectangular,7500,PASS
CP-OFDM,-1320000,-67.5442133392908,rectangular,7500,PASS
CP-OFDM,-1312500,-62.558557685822,rectangular,7500,PASS
CP-OFDM,-1305000,-67.4318012583407,rectangular,7500,PASS
CP-OFDM,-1297500,-71.4900193003726,rectangular,7500,PASS
CP-OFDM,-1290000,-67.1278220179855,rectangular,7500,PASS
CP-OFDM,-1282500,-70.759839276169,rectangular,7500,PASS
CP-OFDM,-1275000,-65.0751184580983,rectangular,7500,PASS
CP-OFDM,-1267500,-67.1243554990342,rectangular,7500,PASS
CP-OFDM,-1260000,-76.0102912797664,rectangular,7500,PASS
CP-OFDM,-1252500,-73.0203276280736,rectangular,7500,PASS
CP-OFDM,-1245000,-62.9612899046617,rectangular,7500,PASS
CP-OFDM,-1237500,-64.622159979313,rectangular,7500,PASS
CP-OFDM,-1230000,-77.1788076774354,rectangular,7500,PASS
CP-OFDM,-1222500,-64.6639899971813,rectangular,7500,PASS
CP-OFDM,-1215000,-67.0511898248517,rectangular,7500,PASS
CP-OFDM,-1207500,-66.892860395267,rectangular,7500,PASS
CP-OFDM,-1200000,-70.9971923304209,rectangular,7500,PASS
CP-OFDM,-1192500,-68.7684553024148,rectangular,7500,PASS
CP-OFDM,-1185000,-63.1357318652898,rectangular,7500,PASS
CP-OFDM,-1177500,-65.2932127371596,rectangular,7500,PASS
CP-OFDM,-1170000,-63.7663916267697,rectangular,7500,PASS
CP-OFDM,-1162500,-61.657355029989,rectangular,7500,PASS
CP-OFDM,-1155000,-70.4761269436429,rectangular,7500,PASS
CP-OFDM,-1147500,-63.1283835040057,rectangular,7500,PASS
CP-OFDM,-1140000,-58.6097358666301,rectangular,7500,PASS
CP-OFDM,-1132500,-59.9221009447494,rectangular,7500,PASS
CP-OFDM,-1125000,-65.7415617643742,rectangular,7500,PASS
CP-OFDM,-1117500,-94.5997326481589,rectangular,7500,PASS
CP-OFDM,-1110000,-70.7615290337266,rectangular,7500,PASS
CP-OFDM,-1102500,-68.1221058069313,rectangular,7500,PASS
CP-OFDM,-1095000,-70.2055614043961,rectangular,7500,PASS
CP-OFDM,-1087500,-74.0526265386541,rectangular,7500,PASS
CP-OFDM,-1080000,-65.6569886584425,rectangular,7500,PASS
CP-OFDM,-1072500,-66.2047527465218,rectangular,7500,PASS
CP-OFDM,-1065000,-68.1098029750211,rectangular,7500,PASS
CP-OFDM,-1057500,-69.863336220367,rectangular,7500,PASS
CP-OFDM,-1050000,-77.5183201123345,rectangular,7500,PASS
CP-OFDM,-1042500,-76.9971866503501,rectangular,7500,PASS
CP-OFDM,-1035000,-71.4699904317346,rectangular,7500,PASS
CP-OFDM,-1027500,-66.3295618640399,rectangular,7500,PASS
CP-OFDM,-1020000,-71.5494844189456,rectangular,7500,PASS
CP-OFDM,-1012500,-70.1981383693535,rectangular,7500,PASS
CP-OFDM,-1005000,-72.5970516406053,rectangular,7500,PASS
CP-OFDM,-997500,-65.7921084575793,rectangular,7500,PASS
CP-OFDM,-990000,-64.4967010493858,rectangular,7500,PASS
CP-OFDM,-982500,-66.8734034211736,rectangular,7500,PASS
CP-OFDM,-975000,-68.3290599777209,rectangular,7500,PASS
CP-OFDM,-967500,-71.8515958694102,rectangular,7500,PASS
CP-OFDM,-960000,-69.6726532441461,rectangular,7500,PASS
CP-OFDM,-952500,-74.9215766098041,rectangular,7500,PASS
CP-OFDM,-945000,-71.148891188419,rectangular,7500,PASS
CP-OFDM,-937500,-67.1094860218524,rectangular,7500,PASS
CP-OFDM,-930000,-64.2943260283766,rectangular,7500,PASS
CP-OFDM,-922500,-65.5799693201003,rectangular,7500,PASS
CP-OFDM,-915000,-70.461696058877,rectangular,7500,PASS
CP-OFDM,-907500,-65.7378748858283,rectangular,7500,PASS
CP-OFDM,-900000,-66.8523051989555,rectangular,7500,PASS
CP-OFDM,-892500,-75.6534978186723,rectangular,7500,PASS
CP-OFDM,-885000,-69.604791642047,rectangular,7500,PASS
CP-OFDM,-877500,-68.5558535604389,rectangular,7500,PASS
CP-OFDM,-870000,-69.4083199181914,rectangular,7500,PASS
CP-OFDM,-862500,-72.6744815464525,rectangular,7500,PASS
CP-OFDM,-855000,-74.1145790228671,rectangular,7500,PASS
CP-OFDM,-847500,-65.6567047957793,rectangular,7500,PASS
CP-OFDM,-840000,-65.0963140149903,rectangular,7500,PASS
CP-OFDM,-832500,-78.8121620648985,rectangular,7500,PASS
CP-OFDM,-825000,-67.0992617170005,rectangular,7500,PASS
CP-OFDM,-817500,-65.7245924203953,rectangular,7500,PASS
CP-OFDM,-810000,-78.0725310285013,rectangular,7500,PASS
CP-OFDM,-802500,-67.9069727727308,rectangular,7500,PASS
CP-OFDM,-795000,-71.400980421389,rectangular,7500,PASS
CP-OFDM,-787500,-65.9956773060507,rectangular,7500,PASS
CP-OFDM,-780000,-63.2843423136743,rectangular,7500,PASS
CP-OFDM,-772500,-67.8985307709889,rectangular,7500,PASS
CP-OFDM,-765000,-68.5930962743491,rectangular,7500,PASS
CP-OFDM,-757500,-75.5417699236231,rectangular,7500,PASS
CP-OFDM,-750000,-61.2234423218024,rectangular,7500,PASS
CP-OFDM,-742500,-58.9903625985957,rectangular,7500,PASS
CP-OFDM,-735000,-63.5931342493768,rectangular,7500,PASS
CP-OFDM,-727500,-61.5025077558759,rectangular,7500,PASS
CP-OFDM,-720000,-59.2514406768243,rectangular,7500,PASS
CP-OFDM,-712500,-61.7682892023297,rectangular,7500,PASS
CP-OFDM,-705000,-66.9658887285462,rectangular,7500,PASS
CP-OFDM,-697500,-72.5660260776245,rectangular,7500,PASS
CP-OFDM,-690000,-71.3345282476182,rectangular,7500,PASS
