CaseID,Slot,Symbol,CPStartSample,UsefulStartSample,EndSample,CPLength,UsefulLength,Status
TIMING-1,0,0,0,10,137,10,128,PASS
TIMING-1,0,1,138,147,274,9,128,PASS
TIMING-1,0,2,275,284,411,9,128,PASS
TIMING-1,0,3,412,421,548,9,128,PASS
TIMING-1,0,4,549,558,685,9,128,PASS
TIMING-1,0,5,686,695,822,9,128,PASS
TIMING-1,0,6,823,832,959,9,128,PASS
TIMING-1,0,7,960,970,1097,10,128,PASS
TIMING-1,0,8,1098,1107,1234,9,128,PASS
TIMING-1,0,9,1235,1244,1371,9,128,PASS
TIMING-1,0,10,1372,1381,1508,9,128,PASS
TIMING-1,0,11,1509,1518,1645,9,128,PASS
TIMING-1,0,12,1646,1655,1782,9,128,PASS
TIMING-1,0,13,1783,1792,1919,9,128,PASS
TIMING-2,0,0,0,40,551,40,512,PASS
TIMING-2,0,1,552,588,1099,36,512,PASS
TIMING-2,0,2,1100,1136,1647,36,512,PASS
TIMING-2,0,3,1648,1684,2195,36,512,PASS
TIMING-2,0,4,2196,2232,2743,36,512,PASS
TIMING-2,0,5,2744,2780,3291,36,512,PASS
TIMING-2,0,6,3292,3328,3839,36,512,PASS
TIMING-2,0,7,3840,3880,4391,40,512,PASS
TIMING-2,0,8,4392,4428,4939,36,512,PASS
TIMING-2,0,9,4940,4976,5487,36,512,PASS
TIMING-2,0,10,5488,5524,6035,36,512,PASS
TIMING-2,0,11,6036,6072,6583,36,512,PASS
TIMING-2,0,12,6584,6620,7131,36,512,PASS
TIMING-2,0,13,7132,7168,7679,36,512,PASS
TIMING-3,0,0,0,80,1103,80,1024,PASS
TIMING-3,0,1,1104,1176,2199,72,1024,PASS
TIMING-3,0,2,2200,2272,3295,72,1024,PASS
TIMING-3,0,3,3296,3368,4391,72,1024,PASS
TIMING-3,0,4,4392,4464,5487,72,1024,PASS
TIMING-3,0,5,5488,5560,6583,72,1024,PASS
TIMING-3,0,6,6584,6656,7679,72,1024,PASS
TIMING-3,0,7,7680,7760,8783,80,1024,PASS
TIMING-3,0,8,8784,8856,9879,72,1024,PASS
TIMING-3,0,9,9880,9952,10975,72,1024,PASS
TIMING-3,0,10,10976,11048,12071,72,1024,PASS
TIMING-3,0,11,12072,12144,13167,72,1024,PASS
TIMING-3,0,12,13168,13240,14263,72,1024,PASS
TIMING-3,0,13,14264,14336,15359,72,1024,PASS
TIMING-4,0,0,0,160,2207,160,2048,PASS
TIMING-4,0,1,2208,2352,4399,144,2048,PASS
TIMING-4,0,2,4400,4544,6591,144,2048,PASS
TIMING-4,0,3,6592,6736,8783,144,2048,PASS
TIMING-4,0,4,8784,8928,10975,144,2048,PASS
TIMING-4,0,5,10976,11120,13167,144,2048,PASS
TIMING-4,0,6,13168,13312,15359,144,2048,PASS
TIMING-4,0,7,15360,15520,17567,160,2048,PASS
TIMING-4,0,8,17568,17712,19759,144,2048,PASS
TIMING-4,0,9,19760,19904,21951,144,2048,PASS
TIMING-4,0,10,21952,22096,24143,144,2048,PASS
TIMING-4,0,11,24144,24288,26335,144,2048,PASS
TIMING-4,0,12,26336,26480,28527,144,2048,PASS
TIMING-4,0,13,28528,28672,30719,144,2048,PASS
TIMING-5,0,0,0,320,4415,320,4096,PASS
TIMING-5,0,1,4416,4704,8799,288,4096,PASS
TIMING-5,0,2,8800,9088,13183,288,4096,PASS
TIMING-5,0,3,13184,13472,17567,288,4096,PASS
TIMING-5,0,4,17568,17856,21951,288,4096,PASS
TIMING-5,0,5,21952,22240,26335,288,4096,PASS
TIMING-5,0,6,26336,26624,30719,288,4096,PASS
TIMING-5,0,7,30720,31040,35135,320,4096,PASS
TIMING-5,0,8,35136,35424,39519,288,4096,PASS
TIMING-5,0,9,39520,39808,43903,288,4096,PASS
TIMING-5,0,10,43904,44192,48287,288,4096,PASS
TIMING-5,0,11,48288,48576,52671,288,4096,PASS
TIMING-5,0,12,52672,52960,57055,288,4096,PASS
TIMING-5,0,13,57056,57344,61439,288,4096,PASS
