VectorID,WindowType,OverlapSamples,SumSquaresError,ChunkNMSE,OOB_dB,EVM_pct,Status
WOLA-001,sqrt_raised_cosine_complementary,0,0,0,-3.05256196457377,0,PASS
WOLA-002,sqrt_raised_cosine_complementary,0,0,0,-1.43793826461886,0,PASS
WOLA-003,sqrt_raised_cosine_complementary,0,0,0,-1.99625609214846,0,PASS
WOLA-004,sqrt_raised_cosine_complementary,2,0,0,-2.50006989727584,0,PASS
WOLA-005,sqrt_raised_cosine_complementary,2,0,0,-2.3558787386027,0,PASS
WOLA-006,sqrt_raised_cosine_complementary,2,0,0,-2.19923248779963,0,PASS
WOLA-007,sqrt_raised_cosine_complementary,4,0,0,-1.58669840348333,0,PASS
WOLA-008,sqrt_raised_cosine_complementary,4,0,0,-2.35016515052537,0,PASS
WOLA-009,sqrt_raised_cosine_complementary,4,0,0,-1.56559473616761,0,PASS
WOLA-010,sqrt_raised_cosine_complementary,8,2.22044604925031e-16,0,-2.25456443439343,0,PASS
WOLA-011,sqrt_raised_cosine_complementary,8,2.22044604925031e-16,0,-2.60394059258645,0,PASS
WOLA-012,sqrt_raised_cosine_complementary,8,2.22044604925031e-16,0,-1.18703481520977,0,PASS
WOLA-013,sqrt_raised_cosine_complementary,16,0,0,-1.76605401789303,0,PASS
WOLA-014,sqrt_raised_cosine_complementary,16,0,0,-3.41721648968427,0,PASS
WOLA-015,sqrt_raised_cosine_complementary,16,0,0,-1.55480994707292,0,PASS
WOLA-016,sqrt_raised_cosine_complementary,32,2.22044604925031e-16,0,-1.92744137885697,0,PASS
WOLA-017,sqrt_raised_cosine_complementary,32,2.22044604925031e-16,0,-2.7775301830465,0,PASS
WOLA-018,sqrt_raised_cosine_complementary,32,2.22044604925031e-16,0,-1.4919511884848,0,PASS
