TestID,FrequencyRange,CurrentDerivedRangeToken,ChannelBandwidth_MHz,SCS_kHz,ExpectedNRB,CurrentLookupNRB,ExpectedValid,CurrentLookupMatches,Status,Reason
GRID-FR1-015-0003,FR1,FR1,3,15,15,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR1-015-0005,FR1,FR1,5,15,25,25,TRUE,TRUE,PASS,
GRID-FR1-015-0010,FR1,FR1,10,15,52,52,TRUE,TRUE,PASS,
GRID-FR1-015-0015,FR1,FR1,15,15,79,79,TRUE,TRUE,PASS,
GRID-FR1-015-0020,FR1,FR1,20,15,106,106,TRUE,TRUE,PASS,
GRID-FR1-015-0025,FR1,FR1,25,15,133,133,TRUE,TRUE,PASS,
GRID-FR1-015-0030,FR1,FR1,30,15,160,160,TRUE,TRUE,PASS,
GRID-FR1-015-0035,FR1,FR1,35,15,188,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR1-015-0040,FR1,FR1,40,15,216,216,TRUE,TRUE,PASS,
GRID-FR1-015-0045,FR1,FR1,45,15,242,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR1-015-0050,FR1,FR1,50,15,270,270,TRUE,TRUE,PASS,
GRID-FR1-015-0060,FR1,FR1,60,15,,,FALSE,TRUE,PASS,
GRID-FR1-015-0070,FR1,FR1,70,15,,,FALSE,TRUE,PASS,
GRID-FR1-015-0080,FR1,FR1,80,15,,,FALSE,TRUE,PASS,
GRID-FR1-015-0090,FR1,FR1,90,15,,,FALSE,TRUE,PASS,
GRID-FR1-015-0100,FR1,FR1,100,15,,,FALSE,TRUE,PASS,
GRID-FR1-030-0003,FR1,FR1,3,30,,,FALSE,TRUE,PASS,
GRID-FR1-030-0005,FR1,FR1,5,30,11,11,TRUE,TRUE,PASS,
GRID-FR1-030-0010,FR1,FR1,10,30,24,24,TRUE,TRUE,PASS,
GRID-FR1-030-0015,FR1,FR1,15,30,38,38,TRUE,TRUE,PASS,
GRID-FR1-030-0020,FR1,FR1,20,30,51,51,TRUE,TRUE,PASS,
GRID-FR1-030-0025,FR1,FR1,25,30,65,65,TRUE,TRUE,PASS,
GRID-FR1-030-0030,FR1,FR1,30,30,78,78,TRUE,TRUE,PASS,
GRID-FR1-030-0035,FR1,FR1,35,30,92,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR1-030-0040,FR1,FR1,40,30,106,106,TRUE,TRUE,PASS,
GRID-FR1-030-0045,FR1,FR1,45,30,119,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR1-030-0050,FR1,FR1,50,30,133,133,TRUE,TRUE,PASS,
GRID-FR1-030-0060,FR1,FR1,60,30,162,162,TRUE,TRUE,PASS,
GRID-FR1-030-0070,FR1,FR1,70,30,189,189,TRUE,TRUE,PASS,
GRID-FR1-030-0080,FR1,FR1,80,30,217,217,TRUE,TRUE,PASS,
GRID-FR1-030-0090,FR1,FR1,90,30,245,245,TRUE,TRUE,PASS,
GRID-FR1-030-0100,FR1,FR1,100,30,273,273,TRUE,TRUE,PASS,
GRID-FR1-060-0003,FR1,FR1,3,60,,,FALSE,TRUE,PASS,
GRID-FR1-060-0005,FR1,FR1,5,60,,,FALSE,TRUE,PASS,
GRID-FR1-060-0010,FR1,FR1,10,60,11,11,TRUE,TRUE,PASS,
GRID-FR1-060-0015,FR1,FR1,15,60,18,18,TRUE,TRUE,PASS,
GRID-FR1-060-0020,FR1,FR1,20,60,24,24,TRUE,TRUE,PASS,
GRID-FR1-060-0025,FR1,FR1,25,60,31,31,TRUE,TRUE,PASS,
GRID-FR1-060-0030,FR1,FR1,30,60,38,38,TRUE,TRUE,PASS,
GRID-FR1-060-0035,FR1,FR1,35,60,44,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR1-060-0040,FR1,FR1,40,60,51,51,TRUE,TRUE,PASS,
GRID-FR1-060-0045,FR1,FR1,45,60,58,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR1-060-0050,FR1,FR1,50,60,65,65,TRUE,TRUE,PASS,
GRID-FR1-060-0060,FR1,FR1,60,60,79,79,TRUE,TRUE,PASS,
GRID-FR1-060-0070,FR1,FR1,70,60,93,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR1-060-0080,FR1,FR1,80,60,107,107,TRUE,TRUE,PASS,
GRID-FR1-060-0090,FR1,FR1,90,60,121,121,TRUE,TRUE,PASS,
GRID-FR1-060-0100,FR1,FR1,100,60,135,135,TRUE,TRUE,PASS,
GRID-FR21-060-0050,FR2-1,FR2,50,60,66,66,TRUE,TRUE,PASS,
GRID-FR21-060-0100,FR2-1,FR2,100,60,132,132,TRUE,TRUE,PASS,
GRID-FR21-060-0200,FR2-1,FR2,200,60,264,264,TRUE,TRUE,PASS,
GRID-FR21-060-0400,FR2-1,FR2,400,60,,,FALSE,TRUE,PASS,
GRID-FR21-120-0050,FR2-1,FR2,50,120,32,32,TRUE,TRUE,PASS,
GRID-FR21-120-0100,FR2-1,FR2,100,120,66,66,TRUE,TRUE,PASS,
GRID-FR21-120-0200,FR2-1,FR2,200,120,132,132,TRUE,TRUE,PASS,
GRID-FR21-120-0400,FR2-1,FR2,400,120,264,264,TRUE,TRUE,PASS,
GRID-FR22-120-0100,FR2-2,FR3,100,120,66,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR22-120-0400,FR2-2,FR3,400,120,264,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR22-120-0800,FR2-2,FR3,800,120,,,FALSE,TRUE,PASS,
GRID-FR22-120-1600,FR2-2,FR3,1600,120,,,FALSE,TRUE,PASS,
GRID-FR22-120-2000,FR2-2,FR3,2000,120,,,FALSE,TRUE,PASS,
GRID-FR22-480-0100,FR2-2,FR3,100,480,,,FALSE,TRUE,PASS,
GRID-FR22-480-0400,FR2-2,FR3,400,480,66,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR22-480-0800,FR2-2,FR3,800,480,124,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR22-480-1600,FR2-2,FR3,1600,480,248,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
GRID-FR22-480-2000,FR2-2,FR3,2000,480,,,FALSE,TRUE,PASS,
GRID-FR22-960-0100,FR2-2,FR3,100,960,,,FALSE,TRUE,PASS,
GRID-FR22-960-0400,FR2-2,FR3,400,960,33,,TRUE,FALSE,FAIL,missing_or_wrong_NRB
