FrequencyRangeToken,Bandwidth_MHz,SCS_kHz,CurrentNRB,ExpectedFR2_1NRB,Status,Reason
FR2,50,60,66,66,PASS,
FR2,50,120,32,32,PASS,
FR2,100,60,132,132,PASS,
FR2,100,120,66,66,PASS,
FR2,100,240,32,,FAIL,240_kHz_is_not_a_carrier_transmission_bandwidth_row_in_TS_38_104_Table_5_3_2_2_or_5_3_2_3
FR2,200,60,264,264,PASS,
FR2,200,120,132,132,PASS,
FR2,200,240,66,,FAIL,240_kHz_is_not_a_carrier_transmission_bandwidth_row_in_TS_38_104_Table_5_3_2_2_or_5_3_2_3
FR2,400,120,264,264,PASS,
FR2,400,240,132,,FAIL,240_kHz_is_not_a_carrier_transmission_bandwidth_row_in_TS_38_104_Table_5_3_2_2_or_5_3_2_3
