RequiredArtifact,ArtifactType,PresentInExistingRuns,FoundPaths,Status,Reason
frame_slot_symbol_map.png,PNG,FALSE,,FAIL,required_frame_specific_image_not_generated
resource_grid_occupancy.png,PNG,FALSE,,FAIL,required_frame_specific_image_not_generated
numerology_timing_matrix.png,PNG,FALSE,,FAIL,required_frame_specific_image_not_generated
carrier_guardband_map.png,PNG,FALSE,,FAIL,required_frame_specific_image_not_generated
k0_k1_k2_timeline.png,PNG,FALSE,,FAIL,required_frame_specific_image_not_generated
bwp_switch_timeline.png,PNG,FALSE,,FAIL,required_frame_specific_image_not_generated
component_carrier_resource_map.png,PNG,FALSE,,FAIL,required_frame_specific_image_not_generated
frame_numerology_matrix.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
carrier_grid_matrix.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
slot_symbol_ownership.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
resource_grid_occupancy.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
allocation_legality.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
ofdm_roundtrip.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
timing_matrix.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
bwp_switch_trace.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
component_carrier_trace.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
frame_fix_test_summary.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
frame_image_audit.csv,CSV,FALSE,,FAIL,required_frame_specific_csv_not_generated
