VariableIndex,VariableName,MATLABClass,ExampleValue,SourceArtifact
1,ArtifactID,string,ART-00001,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
2,FileName,string,waveform_profile_resolution.csv,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
3,RequiredForPreset,double,1,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
4,Present,double,1,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
5,SchemaValid,double,1,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
6,HashValid,double,1,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
7,SemanticValid,double,1,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
8,WebGUIPublished,double,1,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
9,Status,string,PASS,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
10,FailureCode,string,,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
11,Details,string,rows=180 required=5 header=1 pk=1 finite=1 placeholder=0,results/lls/lls_webgui_full_stack_sinr_geometry_qualification/phase18_actual_20260729_01/reports/csv/full_stack_artifact_audit.csv
