1_1
    37    43

    DCIPayloadLength    DCIFormat    CRCOK    ContextParseOK
    ________________    _________    _____    ______________

           37             "0_1"      false        false     
           43             "1_1"      false        false     
           37             "0_1"      false        false     
           43             "1_1"      false        false     
           37             "0_1"      false        false     
           43             "1_1"      false        false     
           37             "0_1"      false        false     
           43             "1_1"      false        false     
           37             "0_1"      false        false     
           43             "1_1"      false        false     
           37             "0_1"      false        false     
           43             "1_1"      false        false     
           37             "0_1"      false        false     
           43             "1_1"      true         true      
           37             "0_1"      false        false     
           43             "1_1"      false        false     

