ObligationID,UEIndex,RNTI,ComponentCarrier,ActiveULBWP,CSIReportConfigID,CSIConfigurationEpoch,PUCCHConfigurationEpoch,ReportSlot,ReportPeriodSlots,ReportOffsetSlots,ReportSubcarrierSpacing_kHz,PUCCHResourceID,StartSymbol,NumSymbols,ULResourceAvailable,ResourceBlocker,ReceiverContextDigest,EvidenceClass
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_2,1,1,0,0,csi-report-0,0,1,2,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,d9795b5780253d8c4220e2d58e784e6a23c8bb38294be06f06cfb2ff42ff0af7,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_7,1,1,0,0,csi-report-0,0,1,7,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,0ebbd1f3dd5fa09169bf746abf188772b39c725957f555fcc26e2ac60737c71a,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_12,1,1,0,0,csi-report-0,0,1,12,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,df479855fa59962d2dd0aa401ab04ef59095d6ba74404ad25d81dbd34160ed76,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_17,1,1,0,0,csi-report-0,0,1,17,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,c732f4b85c44cfd5207c2af613cd19efe997a47b74c1c7cf7a5d3f9cff0fa0a2,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_22,1,1,0,0,csi-report-0,0,1,22,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,25ad1aa3c147046f3ae68309ad9667d86b0500bff90a89232acce4f571696b88,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_27,1,1,0,0,csi-report-0,0,1,27,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,44e1aee8e9f5e803e2bfddead659c1ae09da2b90af889b5675986047807115a4,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_32,1,1,0,0,csi-report-0,0,1,32,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,80d672dc45205c11b93fd34c292a5b25827de827dee548c59e3fb4d449924ea2,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_37,1,1,0,0,csi-report-0,0,1,37,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,3c82dd8d321b6c8211a6ed158ea2fbf9b70efe81e388bbb8b1e18ee4ed545bdf,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_42,1,1,0,0,csi-report-0,0,1,42,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,e4b55c7496b1271799d5f7e80e93c2a6a57273d84a8f2efc93c2c8305395c8fb,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_47,1,1,0,0,csi-report-0,0,1,47,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,f65e97c1bbecb39e0b223e77fec85c0afaf05537cf2e872592e98936d105fb75,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_52,1,1,0,0,csi-report-0,0,1,52,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,47d954dce14121a5fbda7cf809d906a7fb00928d2bdd71bd5728e79a4f15841e,configured_report_obligation_not_RF_execution
periodic_csi_f4ff4948204ce036cbe2db46bc7de68a29b8b8cc2caa29ea5a37654d44c48f18_slot_57,1,1,0,0,csi-report-0,0,1,57,5,1,15,10,12,2,0,configured_CSI_symbols_not_UL_on_nominal_report_slot,3bd9650ea887b838f5563ba59c7f30c0653ef0eee12b167e31fc351a26a612c6,configured_report_obligation_not_RF_execution
