SegmentIndex,StartSample,EndSampleExclusive,ExecutionStartSample,ExecutionEndSampleExclusive,NumTransmitAntennas,NumReceiveAntennas,PathGainElementCount,PathGainDimensions,PathGainsSHA256,PathFiltersSHA256,SampleTimeCount,SampleTimesSHA256,NormalizePathGains,NormalizeChannelOutputs,ChannelRealizationId,ChannelModelApplied,ChannelFadingObjectClass,RuntimeChannelLinkKey,RuntimeChannelStateKey,RuntimeChannelSeed,RuntimeChannelStartSample,RuntimeChannelEndSample,RuntimeChannelCanonicalInputSamples,RuntimeChannelObjectClockExact,RuntimeChannelInputWaveformSHA256,RuntimeChannelOutputWaveformSHA256,RuntimeChannelReciprocityExact,RuntimeChannelReciprocityDirection,RuntimeChannelReciprocitySource,RuntimeChannelReciprocityApproximationMode,RuntimeChannelTransmitAndReceiveSwapped,RuntimeChannelResetCount,RuntimeChannelPathDelays_sJSON,RuntimeChannelAngleEvidenceAvailable,RuntimeChannelAnglesAoD_degJSON,RuntimeChannelAnglesAoA_degJSON,RuntimeChannelAnglesZoD_degJSON,RuntimeChannelAnglesZoA_degJSON,RuntimeChannelAngleCoordinateFrame,RuntimeChannelAngleEvidenceSource,ChannelObservationID,ObservationStartSample,ObservationEndSampleExclusive,CoefficientMATFile,Source
1,68943,69020,68572,69020,2,2,7084,"[77,23,2,2]","bd9b8be270e68e48121e14a1f686ccef04750ac2159f2962d3b517c1f7c65e8a","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",77,"43a9f4e7ee726dae62b702741d7580e7e5ece4d06fae30ab733e745a7321f7d2",1,0,"ch_876da73fdcdb2143","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,68572,69020,448,1,"e65f715ae90948c658380547cc74917f1da70ac89eaf62048f00c5e77de92b42","e65f715ae90948c658380547cc74917f1da70ac89eaf62048f00c5e77de92b42",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
2,69020,69021,69020,69021,2,2,92,"[1,23,2,2]","8cc138056f62c653b048123b00cedb1b85ad57352a966ae8e87ea2b62df887de","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",1,"0399bac20ca207c5f54da4694ba94858e39cfb60e3ae251f2bc2c44ddd4e3d84",1,0,"ch_b74e1516a50f1e7d","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,69020,69021,1,1,"eebcfca44991605f0a44493f5652ed452276c5fb9478b3209372589cc9ae0b1c","0b4bb1d95edeb2aea6cb8005a046dded7092312cfbab4bbb49fdb734e767c897",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
3,69021,69120,69021,69120,2,2,9108,"[99,23,2,2]","da70e4759df8e9153d0eaedfa1d25242b6b9de6cd9d7bed67e36846ec5a55d84","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",99,"8a335cc198e16cd039b453f5b420e68a20e6d7b3659b32841046330ce71130da",1,0,"ch_dd67fd37b8eec578","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,69021,69120,99,1,"ddc5446c3c24034689724d6993364cc4befb4de168974d70f406736f3b8531a6","cb3f8de8dfe6b1cfe385422ef9b1e2cf5253557364af77427a6b9428baf90b7d",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
4,69120,69672,69120,69672,2,2,50784,"[552,23,2,2]","d6e9474dd51f7ba03bea5d3ced2fbda3e9f114604e6a16f28bf83e9dae4d8f3e","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",552,"d369521f845b76349fc06f92a8dae8891e86c93f16abd8176532063067db073f",1,0,"ch_8df5d67d88f65c27","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,69120,69672,552,1,"b27bd6575fc1689dbe1e12d31252d09fc181ea802fe3cdb61b5ce7050d8ff94e","6a2b4befafc621e16a763ed09b4f4365eda6514f9e503ec2b80f86b48c5137e3",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
5,69672,70220,69672,70220,2,2,50416,"[548,23,2,2]","da7943970bc70f4722b87fd5f3485abbbf844f89c0d0ff310c2e2a194b6e04f1","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"802dc5ec35f81c2f945d88fd8e0774d65d2f8a646905f5b501820e2f3396e893",1,0,"ch_abf2be8f1f7c8c53","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,69672,70220,548,1,"1140e4eb1e521be583e68634a4e62904193f0d8414a94ed47491a297dab881c6","2bcd0c89541459ec405f5a1fc0d95fee43edbb0846b9b652bd452de856bca44b",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
6,70220,70768,70220,70768,2,2,50416,"[548,23,2,2]","b7acbff1bbbf1035f5643c4c7745af57c6f3f8d0e56ef18370ac5a985d3f1258","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"fe5f451b8350eaa260bde2fea6af8fe81ff965252f2f482232df4c99d2f0b6b1",1,0,"ch_bcf72f3e87cb221e","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,70220,70768,548,1,"f85342c44d653a0e8193c39d8b7652ba0a7b203ae7830531f60fbd6d109da8c8","bfc71c186e0d2b31f37271e90d6918d49577d2d5071bc748b695c21573ee4885",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
7,70768,71316,70768,71316,2,2,50416,"[548,23,2,2]","ef54f13254d296ce487d9edb59417a079ea2d0bb1d19d8a050b4b7774358a48c","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"b18b867732abf7c6f730c9ea355486817a365a5d1fcc6fa837e4c5817068c573",1,0,"ch_1434d143c87867d4","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,70768,71316,548,1,"c899a73e689d0afb0eab8d6c49523a0d4e815e8a6b7c85571a2aafbaf89e5704","647aa93a62ce176e8b3bed7d393fb77974d0fdb4ea47699b644f0e640e40fab6",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
8,71316,71864,71316,71864,2,2,50416,"[548,23,2,2]","ccb86d594d95e4bae6cd3eca00de016eafd47066e6754cdf30e460952dc8150c","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"dd889deba781a751683153dae411ca70003488b9b12e9e43ff8965fb604b968b",1,0,"ch_c7d0c03e0cc9a506","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,71316,71864,548,1,"0dfa544809522b8cb20a4806eba48299cdc2b0c98902f68b33c1a7c7448016f9","8886e2c8d7c853a68f63fac8be9ed0e1b9d9d3b4405de55e856407ffeed4dfae",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
9,71864,72412,71864,72412,2,2,50416,"[548,23,2,2]","fe70e405dd0a8204443c16a44b2a9b8d98fe2e0cf9760918faec9256d4fd7fef","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"ff8a03d31d90b92c8abb3d62ae9bf8721ef8e1306d7fa57bfa2fc411675f509a",1,0,"ch_a4a36278f581f00d","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,71864,72412,548,1,"678cc2b6165db9d015e7e3d13f9190828d80c56cbfb2d929bd2276e51285f290","5c76a0ac132944f8ea54b488dd3dcc8bf5296a924b1ac47c9ceabae3d6efac59",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
10,72412,72960,72412,72960,2,2,50416,"[548,23,2,2]","8c01bc9c61130682d3cb59cbf694b3b0bed310da5b5ae1daf482adc66736cfb6","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"ce8eb1f84444bdfaa614cf830f0d25f3988857f4f2b124cc05b7595e853a881e",1,0,"ch_09a0b61b8696e0d5","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,72412,72960,548,1,"194160945e8a94d12e0479c533c98e39ec7eb786b4ae423170e8d11294aca03a","f23bd7839e353e79f98401d6c66bf45f519409431708db687bd914d59d7b4a60",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43",68943,76792,"channel/mat/channel_observation_7d1831f9d5fb3c847bed9a512037e0834a575cd2ac8cb1e68e145944a2cf5c43.mat","same_executed_NR_channel_path_gains_and_filters"
