SegmentIndex,StartSample,EndSampleExclusive,ExecutionStartSample,ExecutionEndSampleExclusive,NumTransmitAntennas,NumReceiveAntennas,PathGainElementCount,PathGainDimensions,PathGainsSHA256,PathFiltersSHA256,SampleTimeCount,SampleTimesSHA256,NormalizePathGains,NormalizeChannelOutputs,ChannelRealizationId,ChannelModelApplied,ChannelFadingObjectClass,RuntimeChannelLinkKey,RuntimeChannelStateKey,RuntimeChannelSeed,RuntimeChannelStartSample,RuntimeChannelEndSample,RuntimeChannelCanonicalInputSamples,RuntimeChannelObjectClockExact,RuntimeChannelInputWaveformSHA256,RuntimeChannelOutputWaveformSHA256,RuntimeChannelReciprocityExact,RuntimeChannelReciprocityDirection,RuntimeChannelReciprocitySource,RuntimeChannelReciprocityApproximationMode,RuntimeChannelTransmitAndReceiveSwapped,RuntimeChannelResetCount,RuntimeChannelPathDelays_sJSON,RuntimeChannelAngleEvidenceAvailable,RuntimeChannelAnglesAoD_degJSON,RuntimeChannelAnglesAoA_degJSON,RuntimeChannelAnglesZoD_degJSON,RuntimeChannelAnglesZoA_degJSON,RuntimeChannelAngleCoordinateFrame,RuntimeChannelAngleEvidenceSource,ChannelObservationID,ObservationStartSample,ObservationEndSampleExclusive,CoefficientMATFile,Source
1,30543,30720,30172,30720,2,2,16284,"[177,23,2,2]","0d3823d26ba595a41df990af9ab129d2da63c09f49ed702e7361ab90f07fcd7b","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",177,"a5833f7d876afe3957b1a09961a7c4060ded3e2bc7189ce761b0d705730ba6f1",1,0,"ch_c63dafa10ac88d8b","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,30172,30720,548,1,"2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e","2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
2,30720,31272,30720,31272,2,2,50784,"[552,23,2,2]","301ca95e4a31ca000d563a8a579ce37b9fd94f4dd2f5a77fad7d2ea7d45bdfdf","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",552,"88a2648124a25a7b14e7e296a780c3f91cd589b7cf89629867f55fdf5b8652d0",1,0,"ch_f8bf1f74ed6708c5","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,30720,31272,552,1,"852591cf6ec32223e8443b225e792c0052f4ed840864c2f13fb1192a8bc5fff9","852591cf6ec32223e8443b225e792c0052f4ed840864c2f13fb1192a8bc5fff9",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
3,31272,31820,31272,31820,2,2,50416,"[548,23,2,2]","27210e9c0d9c448b72164ac5c89f042d939b9fea8a7fbfc3aa95fb2e655fe22b","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"84d503016592c42ac17137824344f841f49e407017daae84571433ddaee5f94a",1,0,"ch_5ef4b389a205d244","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,31272,31820,548,1,"2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e","2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
4,31820,32368,31820,32368,2,2,50416,"[548,23,2,2]","61250b566d29aedcb50b36ca144e9234674b9065de7c0ca554a14c9be8041b6b","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"f015b28b5e553346d0b8183d37f21552d5bdbd6eaad384c66650e1b62b7511c3",1,0,"ch_33e31e2e9751bd9f","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,31820,32368,548,1,"2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e","2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
5,32368,32916,32368,32916,2,2,50416,"[548,23,2,2]","04732d93a75a83b30b43a6549120d4046a46d11106ca90ce126207ec9b3ae290","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"373e7ed8cdc7c36d4d48c91014e0c0f688d007ab7710a1ec40b727a81127f564",1,0,"ch_86d3f57e8af938dc","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,32368,32916,548,1,"2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e","2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
6,32916,33464,32916,33464,2,2,50416,"[548,23,2,2]","b4a020c8732dc6cb40a1d72650b774c528dd6c2d33d8d23dda99bde61e658834","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"312d1d54876442c4f51156e2b7082f2bcc923fccc4e5561d466ff4b9b72af19f",1,0,"ch_88c233b41dff6a3a","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,32916,33464,548,1,"2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e","2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
7,33464,34012,33464,34012,2,2,50416,"[548,23,2,2]","e79497ba33911c603a84c438ae4fa625ba00741cc2f73f9832826231581f4d72","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"1a56ab24cff5d90b31443c574a862d26f105228376a50e5728d37489f5a71e57",1,0,"ch_8ef986ed8d7f577e","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,33464,34012,548,1,"2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e","2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
8,34012,34560,34012,34560,2,2,50416,"[548,23,2,2]","983fb2f8ddb37c6fd146d3f676e686ce875b34fb3e4f64ef7539ad3ba553e58a","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"c77158bb0fc39e7b279b976f662d0b634dfdad6478eab39ecaafeb002af0b8cb",1,0,"ch_d5f6a6aa85924c0a","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,34012,34560,548,1,"2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e","2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
9,34560,35112,34560,35112,2,2,50784,"[552,23,2,2]","e4c218b37784a3fe35c16154ad3244706bed230e520527614964771d30c7f6cc","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",552,"66564f07c430be822e6735de3b54dc42ed1b193054f2e7019ff0998623c3eda4",1,0,"ch_9e3a554c9e0c82ed","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,34560,35112,552,1,"852591cf6ec32223e8443b225e792c0052f4ed840864c2f13fb1192a8bc5fff9","852591cf6ec32223e8443b225e792c0052f4ed840864c2f13fb1192a8bc5fff9",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
10,35112,35660,35112,35660,2,2,50416,"[548,23,2,2]","d4da0941dc8d7f6782d27ff9bf8cd59565894aa2e630fb8eaad911ea81169cab","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"f05ad97fd4bc8abc0912e978327addf1f31b0ae3d61849733a950b1f8b8a272e",1,0,"ch_c071f0812803ed34","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,35112,35660,548,1,"2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e","2c997e7f6d20b3977343611fe779978a5af693f566c128e914fe31d952aac80e",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377",30543,38392,"channel/mat/channel_observation_8d9b5ca2ca14d9b611f3f8846183a56133644298757ccfad5861b88cfe88f377.mat","same_executed_NR_channel_path_gains_and_filters"
