SegmentIndex,StartSample,EndSampleExclusive,ExecutionStartSample,ExecutionEndSampleExclusive,NumTransmitAntennas,NumReceiveAntennas,PathGainElementCount,PathGainDimensions,PathGainsSHA256,PathFiltersSHA256,SampleTimeCount,SampleTimesSHA256,NormalizePathGains,NormalizeChannelOutputs,ChannelRealizationId,ChannelModelApplied,ChannelFadingObjectClass,RuntimeChannelLinkKey,RuntimeChannelStateKey,RuntimeChannelSeed,RuntimeChannelStartSample,RuntimeChannelEndSample,RuntimeChannelCanonicalInputSamples,RuntimeChannelObjectClockExact,RuntimeChannelInputWaveformSHA256,RuntimeChannelOutputWaveformSHA256,RuntimeChannelReciprocityExact,RuntimeChannelReciprocityDirection,RuntimeChannelReciprocitySource,RuntimeChannelReciprocityApproximationMode,RuntimeChannelTransmitAndReceiveSwapped,RuntimeChannelResetCount,RuntimeChannelPathDelays_sJSON,RuntimeChannelAngleEvidenceAvailable,RuntimeChannelAnglesAoD_degJSON,RuntimeChannelAnglesAoA_degJSON,RuntimeChannelAnglesZoD_degJSON,RuntimeChannelAnglesZoA_degJSON,RuntimeChannelAngleCoordinateFrame,RuntimeChannelAngleEvidenceSource,ChannelObservationID,ObservationStartSample,ObservationEndSampleExclusive,CoefficientMATFile,Source
1,68943,69026,68572,69026,2,2,7636,"[83,23,2,2]","deddd4da485627c9bb48164b248ed06e3f21230c768a284ef10d2a86f4217326","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",83,"4f47337fd10e59e186d32d7b23f7446c437e6d625c4ffd90194116da947487e9",1,0,"ch_343a33831b7bc81d","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,68572,69026,454,1,"fd6fc4f8956017f66befae8c79ac4d7053f74a9461d224f1ccc536d97ca1a714","fd6fc4f8956017f66befae8c79ac4d7053f74a9461d224f1ccc536d97ca1a714",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
2,69026,69027,69026,69027,2,2,92,"[1,23,2,2]","03b955d64b79b34c4bdd68008e7dd3bc40bcd8f8c755c7fae0e286b583a72165","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",1,"10b38b7a89c95a91115b26681d9b4f0ccdba5c58a52b50650047dca501672105",1,0,"ch_ecb0f7b468063d5f","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,69026,69027,1,1,"8b9d7ecfa043f4a4c3d953f2339565e668ec8a6a80beb81774b067bd544e88d3","dd26c3395390c5637d2e13da0f88dcce756a979435b26b29cd0a54409ba110ef",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
3,69027,69120,69027,69120,2,2,8556,"[93,23,2,2]","0df40e03b2d8b8911e45d52b06cffd40562bd8d8166d18f1b3642d5113d1ac1a","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",93,"fdc499d58dee1d582ea130bc01f59f1338036efa146af95ccf1768a99ef90332",1,0,"ch_e7ba1c1d61ed7b4e","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,69027,69120,93,1,"8010e3b7285b61c60bb854994f4f42007f0fdb1652c584e4c6e1e91115a3eade","622728273ae5819544dd3aac3248a797455294724b18555b40cdde82a21a207d",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
4,69120,69672,69120,69672,2,2,50784,"[552,23,2,2]","04cb767f33354b2a5cfd47d593434662319d063c249517bc4f538e0f629690b8","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",552,"d369521f845b76349fc06f92a8dae8891e86c93f16abd8176532063067db073f",1,0,"ch_8df5d67d88f65c27","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,69120,69672,552,1,"64a5b0d3432188ebac16ac419139619fd12e70a48608ca50f6b06eef1213b3ec","84786f97649b531e22aa12e9c982697a8ba00b9139e7d755e6ce10c623b46ed3",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
5,69672,70220,69672,70220,2,2,50416,"[548,23,2,2]","82b5cc87a1e1592179dc4755130644d63642f15c697224c719d536227dd6e95d","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"802dc5ec35f81c2f945d88fd8e0774d65d2f8a646905f5b501820e2f3396e893",1,0,"ch_abf2be8f1f7c8c53","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,69672,70220,548,1,"e60df4ea67cebcdfada90305ddcc81e0ef38e80aec5bd3c9b2621ab886535d66","067d452a48a387be9470bd5d8494a126fd6b0c93b3054b080cfb840afb0ecc6d",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
6,70220,70768,70220,70768,2,2,50416,"[548,23,2,2]","87e636923f689e39a49a742b97924d234fea7caca7e631b276eb8e22ea822a5d","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"fe5f451b8350eaa260bde2fea6af8fe81ff965252f2f482232df4c99d2f0b6b1",1,0,"ch_bcf72f3e87cb221e","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,70220,70768,548,1,"ce71228fc238d481871a02e7b89fa0ed91c4b0079804407c95aa14b3d02cffdf","435a1ba05e1d1ab62903c0acddf3d58c5cc636b2abf266da6f2e574ca7859337",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
7,70768,71316,70768,71316,2,2,50416,"[548,23,2,2]","1582e4f8099d8e838225a012486ffff7156952b6fb687d0f0cc42212008493cf","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"b18b867732abf7c6f730c9ea355486817a365a5d1fcc6fa837e4c5817068c573",1,0,"ch_1434d143c87867d4","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,70768,71316,548,1,"8a502a2bbb7b570029c92d486a7dc48bc46b76356823a9684b3da09de9c352ef","0ddfc7002d22db9ccb80d888192d7b234c2d1d83faa0511f89e2ee0f4516cb32",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
8,71316,71864,71316,71864,2,2,50416,"[548,23,2,2]","0ace7a9c1783c449f3a2dff3fcd29365c24fb9a758c06c069e4f31497e28ff54","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"dd889deba781a751683153dae411ca70003488b9b12e9e43ff8965fb604b968b",1,0,"ch_c7d0c03e0cc9a506","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,71316,71864,548,1,"a74408099adaaa5484a500e25350301a51069c937536dd79ac34f661b75773b9","0838d86a144f8cb01cb83969ea30f4b82dea23f9e10e950b60ce826b11450836",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
9,71864,72412,71864,72412,2,2,50416,"[548,23,2,2]","759e8f78b0c1d068f99118df4172d8c1fabad9e48f8bcefab4f52a947aaf993d","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"ff8a03d31d90b92c8abb3d62ae9bf8721ef8e1306d7fa57bfa2fc411675f509a",1,0,"ch_a4a36278f581f00d","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,71864,72412,548,1,"6d88d60ab05ffe4576ff5fc24111fba3a4ab8536072781dd86bf21adeed3e962","32dd7b0d0972949a9b654dda9c0e82ba93246f29e3cdaafa52fb141717c0f96b",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
10,72412,72960,72412,72960,2,2,50416,"[548,23,2,2]","0db566f8d15ac8b4ede709c93bbeef000f10b26a918c1155f724e1f272946f27","c5481007cf869c8723df4ea2bb71caa7c97c33144d00a5676faa48978b92828a",548,"ce8eb1f84444bdfaa614cf830f0d25f3988857f4f2b124cc05b7595e853a881e",1,0,"ch_09a0b61b8696e0d5","CDL-A","nrCDLChannel","dir=UL;tx=UE1;rx=gNB1;carrier=nrb=25:scs=15:fc=2350000000","tdd_reciprocal;endpoint_a=UE1;endpoint_b=gNB1;carrier=nrb=25:scs=15:fc=2350000000",1303210360,72412,72960,548,1,"a51ecf1f24a434c72cc98bdaa7c2e85c2c363fcd5f57d174e6879c9c753763e1","f905e1dca9b6d259307cbbee150fc5e4ceea891ad5b396d5dd45a85274d4747d",1,"UL","matlab_nr_channel_swapTransmitAndReceive_shared_fading_timeline","none_dynamic_exact",1,1,"[0,3.8190000000000006E-8,4.0250000000000006E-8,5.8680000000000007E-8,4.6100000000000009E-8,5.375E-8,6.708E-8,5.75E-8,7.6180000000000011E-8,1.5375E-7,1.8978000000000002E-7,2.2242000000000003E-7,2.1718000000000004E-7,2.4942E-7,2.5119E-7,3.0582E-7,4.0810000000000006E-7,4.4579000000000008E-7,4.5695E-7,4.7966E-7,5.0066E-7,5.3043E-7,9.6586E-7]",1,"[51.3,-152.7,-152.7,-152.7,76.6,76.6,76.6,-1.8,-41.9,94.2,51.9,-115.9,26.6,76.6,-7,-23,-47.2,110.4,144.5,155.3,102,-151.8,55.2]","[-178.1,-4.2,-4.2,-4.2,90.2,90.2,90.2,121.5,-81.7,158.4,-83,134.8,-153,-172,-129.9,-136,165.4,148.4,132.7,-118.6,-154.1,126.5,-56.2]","[125.4,91.3,91.3,91.3,94,94,94,47.1,56,30.1,58.8,26,49.2,143.1,117.4,122.7,123.2,32.6,27.2,15.2,146,150.7,156.1]","[50.2,93.2,93.2,93.2,122,122,122,150.2,55.2,26.4,126.4,171.6,151.4,157.2,47.2,40.4,43.3,161.8,10.8,16.7,171.7,22.7,144.9]","3gpp_tr38901_global_coordinate_system","info_on_same_executed_runtime_channel_object","chobs_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f",68943,76792,"channel/mat/channel_observation_f07d6512f3714dba9c815800d1efafacc8d11d39f95e3b9116c791c7cf705c4f.mat","same_executed_NR_channel_path_gains_and_filters"
