DLCase,ULTotalDAIRaw,CodebookLength,NoDLEventLength,ReceivedULAssignmentDigest,CodebookDigest
1,0,1,1,4d10d1e17adb4c3e8183ce6da0d58defbc1eba6b03a152ce6975af68c4c96853,c3f53d716bde97171cbff1a3530d51fd9501fd4024dad88ecc367cc922823983
1,1,2,2,a1c8a85bc6e4c553f94a4404a4801914ca33b9066fcaeeec7a0162abcf20a654,cc3043014373dea01de5392c0b95f1108e4320620fcbbcbf62ea24d32d84bddd
1,2,3,3,e500d63c09818bbb05e8acf00ccc614bd1d3282902efcb2e088bf9cabe46b41d,7d6f8e0b8001633ff3a7da071c3de8874d854873dd5b875b32b6f6878250632a
1,3,4,0,402fb49f280217e4c0da328ef8212524090ffe9d50767a39ac2118602add5bf6,56c9429fcb9c2d0ae1ceb9f1aff2481b461a24d28c37e02db0c850cd8f66c308
2,0,5,1,de11745d28a29d49230a91e2256bb77831cd59e2e4d1f4695ef774f818c598ea,b84ff0911b484b49ba22b44b43a9e9a8daa2616446f519caa46bcca5d1488fef
2,1,2,2,ef2eeef38e1089bc3dd301dd7df66c8eee6884b8a0efca92d9d21dc2bea1b74e,6e6cc75fc3892b509c048235dfe8383da8d25a89b6619ec08ca66885109b8bd5
2,2,3,3,9fafedc052be2dd3838aa4a49c597b5aed0720f045235a35e39415c8100a3d95,e0ecd4683983ec3d6d67234547307ceb1d1f7da8a05c82fc40bc575a01551404
2,3,4,0,1c24d12ad884b27a61580254693ad2d553c634b7e8403927ed336ffa339e96b7,649daee3608ed223500d9d763ab5bc5075a8c250fb13cfeacba7ba107ffc6d4b
3,0,5,1,2950c7e20df4738b672387601ec613c67d0b8d92466968e3625bce2e8f54cee5,a8ad4ebdab2dcaddfd18c21ae483ec6aac5ea06b0a1edc3e34b15952992f3ce2
3,1,6,2,a699b0f2aa94a80962c782d6e60039c58345e9d835aac8f7c87776b252580622,97a50475387a61256ce452526d9fd8eefa8087fb2d9090fe9e5a0a7ccaa849e1
3,2,3,3,9c960751c788c531606779b6f07f956083b897600502fd2925d56aa13e76b3ca,b401981fb126d16f8a413c07655a3e7d1071004428343541e87b83a852ba9109
3,3,4,0,178a22671bcbff03f01d1f276928a7fffc0e0bbb5c59220941f72843f74ba286,e55ce02ca126c4844127ef6eb032195b5b9d8e739d6c0ab00d2c4ac409a51e38
4,0,5,1,fec44853471d9988e35f51630f319f40631f8a382cbec3f22c66cfb31dafdcde,7231d3854028e74f26dc66945be35c3cf390ad2c933581b36a60f8e2fb9ead8a
4,1,6,2,f6b431e87970c4e2074c28f51caddd56c8b4c5387eb5f87bcc6316db5e9b864f,dbd394af1d7bde74b6ffa1841228204ddbec40d82573b5d51131c8129975d01b
4,2,7,3,8494b728232e5a6f2574675e535440677edcfe5b8c8af1fe6912045d92d9ceae,15dc2bbde330777750d39e32d561f77d2565b68e83de55c82a1d3e7531844172
4,3,4,0,b423b92a2e6a6df1fe3476ec977073bdd550553c3e7547bf08c849d5f3e35f49,344988bf5a84f4e85a799389794319e859f4ed3028b69e479c03caf781684666
