Direction,AbsoluteSlot,TBID,StartSample,StopSampleExclusive,TBSBits,CodedBits,Qm,Layers,TargetCodeRate,CRCPass,TBExact,BitErrors,BER,CodedBER,EVMRMS,ReferenceErrorSINRdB,ConfiguredReferenceSNRdB,ExpectedDataREPowerPerPort,MeasuredTXDataREPower,InjectedSampleNoiseVariance,ExpectedGridNoiseVariance,MeasuredDMRSNoiseVariance,Source,StandardNR
"DL",0,"DL_0",0,61632,573504,760320,10,2,0.75,1,1,0,0,0.029346853956229,0.0379933403972931,28.4058504267019,30,0.5,0.499194736341938,1.220703125e-07,0.0005,0.000532249276680179,"actual_coded_research_waveform",0
"DL",1,"DL_1",61632,123008,573504,760320,10,2,0.75,1,1,0,0,0.0290588173400673,0.037805761545138,28.4488401849568,30,0.5,0.501381113184656,1.220703125e-07,0.0005,0.000504200854921174,"actual_coded_research_waveform",0
"DL",2,"DL_2",123008,184384,573504,760320,10,2,0.75,1,1,0,0,0.028856271043771,0.0377874623222468,28.4530454569499,30,0.5,0.499378406499032,1.220703125e-07,0.0005,0.000506013454296294,"actual_coded_research_waveform",0
"UL",4,"UL_4",245760,307392,573504,760320,10,2,0.75,1,1,0,0,0.0287431607744108,0.0377761994142254,28.4556347538303,30,0.5,0.499159329117199,1.220703125e-07,0.0005,0.000507205150057546,"actual_coded_research_waveform",0
"UL",5,"UL_5",307392,368768,573504,760320,10,2,0.75,1,1,0,0,0.028995686026936,0.0378296160634976,28.4433613276479,30,0.5,0.499834303445032,1.220703125e-07,0.0005,0.000512035257158057,"actual_coded_research_waveform",0
"UL",6,"UL_6",368768,430144,573504,760320,10,2,0.75,1,1,0,0,0.0292995054713805,0.0379671941534751,28.4118299369453,30,0.5,0.498890573624835,1.220703125e-07,0.0005,0.000531709706961857,"actual_coded_research_waveform",0
"UL",7,"UL_7",430144,491520,573504,760320,10,2,0.75,1,1,0,0,0.0290995896464646,0.0377560982293815,28.4602578536887,30,0.5,0.500996416387754,1.220703125e-07,0.0005,0.00051210188889497,"actual_coded_research_waveform",0
"DL",8,"DL_8",491520,553152,573504,760320,10,2,0.75,1,1,0,0,0.029040404040404,0.0377383181962215,28.4643491604623,30,0.5,0.500331624529779,1.220703125e-07,0.0005,0.000526218252253565,"actual_coded_research_waveform",0
"DL",9,"DL_9",553152,614528,573504,760320,10,2,0.75,1,1,0,0,0.0291771885521886,0.0380034849941509,28.4035315180159,30,0.5,0.498624980869325,1.220703125e-07,0.0005,0.000491012057505952,"actual_coded_research_waveform",0
"DL",10,"DL_10",614528,675904,573504,760320,10,2,0.75,1,1,0,0,0.0291443076599327,0.0378337583623082,28.4424102849373,30,0.5,0.498635780458569,1.220703125e-07,0.0005,0.000520723638829817,"actual_coded_research_waveform",0
"UL",12,"UL_12",737280,798912,573504,760320,10,2,0.75,1,1,0,0,0.0285748106060606,0.0376082719404312,28.4943324296519,30,0.5,0.500331393110011,1.220703125e-07,0.0005,0.000512914521536151,"actual_coded_research_waveform",0
"UL",13,"UL_13",798912,860288,573504,760320,10,2,0.75,1,1,0,0,0.0288260206228956,0.0376354320748044,28.4880618733827,30,0.5,0.5002268685141,1.220703125e-07,0.0005,0.000514859659666887,"actual_coded_research_waveform",0
"UL",14,"UL_14",860288,921664,573504,760320,10,2,0.75,1,1,0,0,0.028749736952862,0.0375742691278834,28.5021891658866,30,0.5,0.501032672151647,1.220703125e-07,0.0005,0.000512587259928012,"actual_coded_research_waveform",0
"UL",15,"UL_15",921664,983040,573504,760320,10,2,0.75,1,1,0,0,0.0289943707912458,0.0378469854432649,28.4393741370134,30,0.5,0.498688775585795,1.220703125e-07,0.0005,0.000518932683340286,"actual_coded_research_waveform",0
"DL",16,"DL_16",983040,1044672,573504,760320,10,2,0.75,1,1,0,0,0.0287681502525253,0.0376472569840418,28.485333228624,30,0.5,0.49981679268247,1.220703125e-07,0.0005,0.000520283541312833,"actual_coded_research_waveform",0
"DL",17,"DL_17",1044672,1106048,573504,760320,10,2,0.75,1,1,0,0,0.0288312815656566,0.0377187289523299,28.4688590113188,30,0.5,0.498608550065685,1.220703125e-07,0.0005,0.000518748824088933,"actual_coded_research_waveform",0
"DL",18,"DL_18",1106048,1167424,573504,760320,10,2,0.75,1,1,0,0,0.0292810921717172,0.0378975712965184,28.4277724266637,30,0.5,0.500029621730526,1.220703125e-07,0.0005,0.000510911666320357,"actual_coded_research_waveform",0
"UL",20,"UL_20",1228800,1290432,573504,760320,10,2,0.75,1,1,0,0,0.0285971696127946,0.0376097675159124,28.4939870230534,30,0.5,0.501157330267509,1.220703125e-07,0.0005,0.000512476282866125,"actual_coded_research_waveform",0
"UL",21,"UL_21",1290432,1351808,573504,760320,10,2,0.75,1,1,0,0,0.029135101010101,0.0378426632432998,28.4403661392907,30,0.5,0.500054075086175,1.220703125e-07,0.0005,0.000513547226210484,"actual_coded_research_waveform",0
"UL",22,"UL_22",1351808,1413184,573504,760320,10,2,0.75,1,1,0,0,0.0292916140572391,0.0378835582814686,28.4309847172242,30,0.5,0.499945230654565,1.220703125e-07,0.0005,0.000521786676316486,"actual_coded_research_waveform",0
"UL",23,"UL_23",1413184,1474560,573504,760320,10,2,0.75,1,1,0,0,0.0288089225589226,0.0376191089136474,28.4918299165258,30,0.5,0.500992482251671,1.220703125e-07,0.0005,0.000512811320906694,"actual_coded_research_waveform",0
"DL",24,"DL_24",1474560,1536192,573504,760320,10,2,0.75,1,1,0,0,0.0288404882154882,0.0376961510406381,28.474059821957,30,0.5,0.501007447396768,1.220703125e-07,0.0005,0.00051728335627431,"actual_coded_research_waveform",0
"DL",25,"DL_25",1536192,1597568,573504,760320,10,2,0.75,1,1,0,0,0.0289417613636364,0.0377442927419939,28.462974161779,30,0.5,0.499244645872236,1.220703125e-07,0.0005,0.00052212215548563,"actual_coded_research_waveform",0
"DL",26,"DL_26",1597568,1658944,573504,760320,10,2,0.75,1,1,0,0,0.0289233480639731,0.0378149968712534,28.4467186240127,30,0.5,0.499897943881656,1.220703125e-07,0.0005,0.000515271407147504,"actual_coded_research_waveform",0
"UL",28,"UL_28",1720320,1781952,573504,760320,10,2,0.75,1,1,0,0,0.0288286510942761,0.0377864569315009,28.453276560832,30,0.5,0.501118914585764,1.220703125e-07,0.0005,0.000512432078701014,"actual_coded_research_waveform",0
"UL",29,"UL_29",1781952,1843328,573504,760320,10,2,0.75,1,1,0,0,0.0287997159090909,0.0377652640689381,28.4581494841149,30,0.5,0.498281168231706,1.220703125e-07,0.0005,0.000509446479802381,"actual_coded_research_waveform",0
"UL",30,"UL_30",1843328,1904704,573504,760320,10,2,0.75,1,1,0,0,0.0287089646464646,0.0376883538481822,28.475856624987,30,0.5,0.501221124983979,1.220703125e-07,0.0005,0.000492213853314346,"actual_coded_research_waveform",0
"UL",31,"UL_31",1904704,1966080,573504,760320,10,2,0.75,1,1,0,0,0.0293429082491583,0.0379059148728046,28.4258603409071,30,0.5,0.500149342891303,1.220703125e-07,0.0005,0.00050726812920246,"actual_coded_research_waveform",0
"DL",32,"DL_32",1966080,2027712,573504,760320,10,2,0.75,1,1,0,0,0.0292955597643098,0.0380003714220135,28.4042431699045,30,0.5,0.498971956243791,1.220703125e-07,0.0005,0.000503393673882647,"actual_coded_research_waveform",0
"DL",33,"DL_33",2027712,2089088,573504,760320,10,2,0.75,1,1,0,0,0.0290482954545455,0.0378681147275059,28.4345263157625,30,0.5,0.499340453656827,1.220703125e-07,0.0005,0.000502371916254849,"actual_coded_research_waveform",0
"DL",34,"DL_34",2089088,2150464,573504,760320,10,2,0.75,1,1,0,0,0.0291890256734007,0.0379905284555792,28.4064933056649,30,0.5,0.497369220059862,1.220703125e-07,0.0005,0.000510894699203614,"actual_coded_research_waveform",0
"UL",36,"UL_36",2211840,2273472,573504,760320,10,2,0.75,1,1,0,0,0.0291495686026936,0.0378657887216341,28.4350598530393,30,0.5,0.500210283430616,1.220703125e-07,0.0005,0.000524643460434917,"actual_coded_research_waveform",0
"UL",37,"UL_37",2273472,2334848,573504,760320,10,2,0.75,1,1,0,0,0.0287102798821549,0.0376898249581899,28.4755175905509,30,0.5,0.499698768600003,1.220703125e-07,0.0005,0.000501741605370959,"actual_coded_research_waveform",0
"UL",38,"UL_38",2334848,2396224,573504,760320,10,2,0.75,1,1,0,0,0.0289496527777778,0.0377743725365666,28.4560548183598,30,0.5,0.498711763282904,1.220703125e-07,0.0005,0.000509111704736425,"actual_coded_research_waveform",0
"UL",39,"UL_39",2396224,2457600,573504,760320,10,2,0.75,1,1,0,0,0.0293376473063973,0.0379453926036275,28.4168189873574,30,0.5,0.500172639148103,1.220703125e-07,0.0005,0.000514051713945106,"actual_coded_research_waveform",0
"DL",40,"DL_40",2457600,2519232,573504,760320,10,2,0.75,1,1,0,0,0.0290127840909091,0.0379114648086156,28.4245887029201,30,0.5,0.499852971306441,1.220703125e-07,0.0005,0.000512156952150085,"actual_coded_research_waveform",0
"DL",41,"DL_41",2519232,2580608,573504,760320,10,2,0.75,1,1,0,0,0.0292100694444444,0.0379174885561726,28.4232087127112,30,0.5,0.499788482330662,1.220703125e-07,0.0005,0.000504158200288483,"actual_coded_research_waveform",0
"DL",42,"DL_42",2580608,2641984,573504,760320,10,2,0.75,1,1,0,0,0.0290075231481481,0.0379000349517902,28.4272077904208,30,0.5,0.499493730684187,1.220703125e-07,0.0005,0.000500596493206891,"actual_coded_research_waveform",0
"UL",44,"UL_44",2703360,2764992,573504,760320,10,2,0.75,1,1,0,0,0.0294428661616162,0.0379419999282429,28.4175956223953,30,0.5,0.49883148444368,1.220703125e-07,0.0005,0.000497755077182262,"actual_coded_research_waveform",0
