relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-element-layout.png,.png,37330,0a2b87db6571dc5164087e88f6c5f99be524978ce26cef8fc4e5f7bf916f53ee,True,PNG,1280,720,RGBA,23,255,23.441625500039343,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-radiation-pattern.png,.png,58535,c146e1b96395281d0e707e5eb6c6c03983207e088e790117ac7bf7f5c134a869,True,PNG,1180,760,RGBA,23,255,54.892607771262107,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.png,.png,31337,b4ed390167cae1aa789004820c767e50d326d7a671afcbf5063d0afb70c3d46f,True,PNG,1280,720,RGBA,23,255,52.635669723109864,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-hit-rate-top-k-hit-rate.png,.png,39381,adfdc51a45b29043637c7fda00c34006cb09bc5930b46f5c34baae8170868bb5,True,PNG,1280,720,RGBA,23,255,25.974805144766705,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.png,.png,41837,897f9cc9da9627912a2a8f3a6c3743d8cc0fbd0ff6204db34ca0231c518094b0,True,PNG,1280,720,RGBA,23,255,24.922522382525262,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.png,.png,42130,44c88c14dfe39c719b8ef1beb3f665508f0317aedc04882edbbb4128004c1cc5,True,PNG,1280,720,RGBA,23,255,25.113741642571267,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png,.png,37511,482e975e16d2ec45be7d0203357af9378e62cf1833559c70b7fc4a22d02dfd2d,True,PNG,1180,760,RGBA,23,255,51.969542595052346,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__combiner-summary.png,.png,33437,92393f7456fba71b2d2c40a467b25cf72cdc1344e9e2535faa430c9364d60611,True,PNG,1280,720,RGBA,23,255,49.659267846124379,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__condition-number-distribution.png,.png,27792,1cc2a9cfed9838afb7bcc626466d75801907b0b63ccfc19f4e6c7207492b4ba4,True,PNG,1280,720,RGBA,23,255,51.913608581962521,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__mu-grouping-analytics.png,.png,33650,0b179db839f4603c4743d118b329c4379d4dab3a3db8eb485ee435ffc0808c1e,True,PNG,1280,720,RGBA,23,255,60.905252818984835,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__per-layer-sinr.png,.png,34520,3af89edbb6de53b5c71224808e986108679c20f4aaa431f2cd2bf261a4605428,True,PNG,1280,720,RGBA,23,255,44.863930699561728,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png,.png,34699,813554fba5128e26df6161f7681cdbdc5abadb095c7ba84b56f1f334c19ed8a8,True,PNG,1280,720,RGBA,23,255,56.384840724027541,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__rank-distribution.png,.png,28117,c86fb7959a86e58a337b38db1b72d5f6d29950f868be2b8daf78f0bce4847d2a,True,PNG,1280,720,RGBA,23,255,60.606141767383072,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__selected-vs-best-beam-gap.png,.png,32184,af33ec6659a30578209ed945f8b1470b6afe38a07a3f33eaaeca2a60869ced33,True,PNG,1280,720,RGBA,23,255,52.624056482047976,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-impulse-response.png,.png,37323,34e7ede978c16717c04d89b225ff332d80f5933907286ca3a8a7ba423c9a713d,True,PNG,1280,720,RGBA,23,255,52.264574705341346,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-magnitude-heatmap.png,.png,48504,b3fd20ab1d4a0f6394d1cb46f4181f9903e1b73a3c18733fc8163f7c9c3a148d,True,PNG,1180,760,RGBA,23,255,50.125547758103238,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-phase-heatmap.png,.png,50751,16cf99181d0d30b2f9ee64b1a5cc56cc1a17a8fd07d23bfe4fe531f4c2da6d9e,True,PNG,1180,760,RGBA,23,255,40.240449627002249,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimated-hhat-f.png,.png,55121,51ce3360604fc9e4a6f6704b09c4f34088b40b8edc3e95ddabcf9d9fef957f20,True,PNG,1280,720,RGBA,23,255,25.280363614497471,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimated-hhat-tau.png,.png,62234,c183cf4bbe29d6357c74a10b4fb68d37cd536f570be6279bb6af02053d879169,True,PNG,1280,720,RGBA,23,255,26.196622879450398,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimator-bias-variance-summaries.png,.png,38106,ba7cda7a3501863552cd1fbb02aec181990d3698cadeefab8bb98e5f083033a2,True,PNG,1280,720,RGBA,23,255,50.551143953371103,False,
analytics/image/contract__channel-estimation-propagation-analytics__nmse-vs-snr-sinr.png,.png,43177,ce17bbb62ae49c1e78f8e11d04e594bb4083753be0445c493d35d948f343c327,True,PNG,1280,720,RGBA,23,255,23.950881720566304,False,
analytics/image/contract__channel-estimation-propagation-analytics__noise-variance-trend.png,.png,45085,f27c967e89626bcce2d16a0b8702d30ba4e3a95ff9abfb11b84bedd01d181143,True,PNG,1280,720,RGBA,23,255,24.842204090086803,False,
analytics/image/contract__channel-estimation-propagation-analytics__tap-power-profile.png,.png,36370,10f00623a67b2200fe9f297a9deff926f5dcbc75ddf7f2851c3856fb41734bb9,True,PNG,1280,720,RGBA,23,255,51.821593154824932,False,
analytics/image/contract__channel-estimation-propagation-analytics__true-h-f-if-available.png,.png,55762,1b1f8fc86ca6f6578ad636241f500bbc365393a8e7fa259358f950114715a538,True,PNG,1280,720,RGBA,23,255,25.701599223676837,False,
analytics/image/contract__channel-estimation-propagation-analytics__true-h-tau-if-available.png,.png,69782,0471f4ce83abe61d816fd140eac7bf5c71a184baabc80f57739b869b6a6843d7,True,PNG,1280,720,RGBA,23,255,27.554838983931869,False,
