relative_path,artifact_role,canonical_source,row_count,column_count,all_zero_finite_column_count,all_missing_column_count,mixed_finite_missing_column_count,semantic_check_count,required_semantic_failure_count,mirror_hash_verified,audit_disposition
air_interface/csv/csi_feedback_reports.csv,canonical_or_derived_artifact,air_interface/csv/csi_feedback_reports.csv,10,91,6,0,29,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/csi_rs_trials.csv,canonical_or_derived_artifact,air_interface/csv/csi_rs_trials.csv,5,176,12,2,1,7,0,False,PASS_CONTROL_RUNTIME_SEMANTICS
air_interface/csv/distance_vs_sinr.csv,canonical_or_derived_artifact,air_interface/csv/distance_vs_sinr.csv,0,16,0,0,0,1,0,False,PASS_POLICY_DISABLED_NO_OBSERVATIONS
air_interface/csv/dl_constellation_samples.csv,canonical_or_derived_artifact,air_interface/csv/dl_constellation_samples.csv,40020,75,1,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/dl_measured_sinr_bler_curve.csv,canonical_or_derived_artifact,air_interface/csv/dl_measured_sinr_bler_curve.csv,4,19,4,3,2,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/dl_measured_sinr_throughput_curve.csv,canonical_or_derived_artifact,air_interface/csv/dl_measured_sinr_throughput_curve.csv,4,18,0,0,2,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/dl_pdsch_receiver_evidence_audit.csv,canonical_or_derived_artifact,air_interface/csv/dl_pdsch_receiver_evidence_audit.csv,12,47,5,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/dl_pdsch_trials.csv,primary_runtime_truth,air_interface/csv/dl_pdsch_trials.csv,12,1087,125,270,36,15,0,False,PASS_PRIMARY_RUNTIME_SEMANTICS
air_interface/csv/downstream_channel_references.csv,canonical_or_derived_artifact,air_interface/csv/downstream_channel_references.csv,17,17,0,1,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/fer_summary.csv,canonical_or_derived_artifact,air_interface/csv/fer_summary.csv,4,14,4,0,3,3,0,False,PASS_DERIVED_LINK_SEMANTICS
