kind,section_slug,section_title,domain,record_kind,name,route,mysql_view_name,logical_path,required_columns,mandatory_context_columns,lineage,formula,metric_unit,valid_sample_count_required,missing_sample_count_required,default_status,smoke_visible_default,placeholder_flag_default,fallback_flag_default,reference_smoke_runtime_status,reference_smoke_match_count,reference_smoke_implemented_count,reference_smoke_partial_count,reference_smoke_unavailable_count,reference_smoke_blocked_count,reference_smoke_output_examples,reference_smoke_artifact_examples,canonical_gap_classification
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,TX power timeline per cell,/reports/power-energy-thermal-compute-runtime/charts/tx-power-timeline-per-cell,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,TX power timeline per UE,/reports/power-energy-thermal-compute-runtime/charts/tx-power-timeline-per-ue,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,power vs throughput,/reports/power-energy-thermal-compute-runtime/charts/power-vs-throughput,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,power vs BLER,/reports/power-energy-thermal-compute-runtime/charts/power-vs-bler,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,energy per bit over time,/reports/power-energy-thermal-compute-runtime/charts/energy-per-bit-over-time,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,joules/GB over time,/reports/power-energy-thermal-compute-runtime/charts/joules-gb-over-time,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,CPU cycles and memory usage time series,/reports/power-energy-thermal-compute-runtime/charts/cpu-cycles-and-memory-usage-time-series,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,latency breakdown stacked chart,/reports/power-energy-thermal-compute-runtime/charts/latency-breakdown-stacked-chart,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,PAPR distribution,/reports/power-energy-thermal-compute-runtime/charts/papr-distribution,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
reports,power-energy-thermal-compute-runtime,Power / Energy / Thermal / Compute / Runtime,power_energy,chart,sleep-state timeline,/reports/power-energy-thermal-compute-runtime/charts/sleep-state-timeline,,,,,required,render only from real DB/artifact rows,source_defined,false,false,unavailable_until_source_table_has_real_rows,false,,,runtime_evidence_present_noncanonical,15,15,0,0,0,table_latency;latency_cdf_plot;live_power_runtime_table;live_rf_power_table;live_bb_power_table,reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv;reports/csv/output_coverage_registry.csv,canonical_live_table_or_view_missing_but_runtime_evidence_present
