route,page,kind,section_slug,artifact
/reports,reports,reports,,browser_route
/reports/run-trial-scenario-overview,reports,reports,run-trial-scenario-overview,browser_route
/reports/scenario-geometry-topology-layout,reports,reports,scenario-geometry-topology-layout,browser_route
/reports/mobility-access-cell-selection-reselection-handover,reports,reports,mobility-access-cell-selection-reselection-handover,browser_route
/reports/air-interface-frame-slot-symbol-grid,reports,reports,air-interface-frame-slot-symbol-grid,browser_route
/reports/scheduler-mac-queue-qos-power-control-uci-flow,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,browser_route
/reports/harq-ack-nack-retransmission,reports,reports,harq-ack-nack-retransmission,browser_route
/reports/dl-control-phy-pdcch,reports,reports,dl-control-phy-pdcch,browser_route
/reports/ssb-pbch-pss-sss,reports,reports,ssb-pbch-pss-sss,browser_route
/reports/csi-rs,reports,reports,csi-rs,browser_route
/reports/pdsch-dl-data-chain,reports,reports,pdsch-dl-data-chain,browser_route
/reports/pusch-ul-data-chain,reports,reports,pusch-ul-data-chain,browser_route
/reports/pucch-f0-f1-f2-f3-f4,reports,reports,pucch-f0-f1-f2-f3-f4,browser_route
/reports/prach-random-access,reports,reports,prach-random-access,browser_route
/reports/srs-ul-sounding-massive-mimo-inputs,reports,reports,srs-ul-sounding-massive-mimo-inputs,browser_route
/reports/channel-interference-impairments,reports,reports,channel-interference-impairments,browser_route
/reports/measurements-csi-link-adaptation-inputs,reports,reports,measurements-csi-link-adaptation-inputs,browser_route
/reports/beamforming-precoding-mimo-massive-mimo,reports,reports,beamforming-precoding-mimo-massive-mimo,browser_route
/reports/ue-side-state-ue-power-ue-control,reports,reports,ue-side-state-ue-power-ue-control,browser_route
/reports/gnb-side-state-thread-coordinator-phy-mac-api,reports,reports,gnb-side-state-thread-coordinator-phy-mac-api,browser_route
/reports/power-energy-thermal-compute-runtime,reports,reports,power-energy-thermal-compute-runtime,browser_route
/reports/persistence-export-consistency-browser-health,reports,reports,persistence-export-consistency-browser-health,browser_route
/reports/generic-investigator-views,reports,reports,generic-investigator-views,browser_route
/reports/run-trial-scenario-overview/tables/live_run_overview,reports,reports,run-trial-scenario-overview,live_run_overview_v
/reports/run-trial-scenario-overview/tables/live_trial_overview,reports,reports,run-trial-scenario-overview,live_trial_overview_v
/reports/run-trial-scenario-overview/tables/live_scenario_overview,reports,reports,run-trial-scenario-overview,live_scenario_overview_v
/reports/run-trial-scenario-overview/tables/live_case_status,reports,reports,run-trial-scenario-overview,live_case_status_v
/reports/run-trial-scenario-overview/tables/live_required_vs_optional_case_status,reports,reports,run-trial-scenario-overview,live_required_vs_optional_case_status_v
/reports/run-trial-scenario-overview/tables/live_truth_policy_status,reports,reports,run-trial-scenario-overview,live_truth_policy_status_v
/reports/scenario-geometry-topology-layout/tables/live_site_table,reports,reports,scenario-geometry-topology-layout,live_site_table_v
/reports/scenario-geometry-topology-layout/tables/live_sector_table,reports,reports,scenario-geometry-topology-layout,live_sector_table_v
/reports/scenario-geometry-topology-layout/tables/live_trp_table,reports,reports,scenario-geometry-topology-layout,live_trp_table_v
