ScenarioID,ConfigHash,RunTag,RunnerProfile,Category,ParameterName,BrowserSubmittedValue,BrowserSubmittedValueSource,BrowserSubmittedValueRole,RuntimeOverlayValue,RuntimeOverlayValueSource,RuntimeOverlayValueRole,ResolvedMATLABValue,ResolvedMATLABValueSource,ResolvedMATLABValueRole,RuntimeConsumer,DBSnapshotValue,DBSnapshotValueSource,DBSnapshotValueRole,ExportedCSVValue,ExportedCSVValueSource,ExportedCSVValueRole,BrowserDisplayedValue,BrowserDisplayedValueSource,BrowserDisplayedValueRole,ConsistencyStatus,ConsistencyNotes,ResolvedMATLABPath,RuntimeEvidenceArtifact,RuntimeEvidenceField,RuntimeEvidenceValue,RuntimeEvidenceValueSource,RuntimeEvidenceValueRole,DerivedValue,DerivedValueSource,DerivedValueRole,DBSnapshotSource,BrowserPayloadField,BrowserExposed,YAMLExposed,RuntimeDerived,Definition
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,topology,deployment_topology.layout_type,hexagonal_macro,browser_or_yaml_deployment_topology.layout_type,submitted,hexagonal_macro,browser_runtime_overlay,submitted,hex_grid,@deployment_layout_type,resolved,buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.geometry.deployment,hex_grid,sim_runs.config_json,db_snapshot,hex_grid,reports/csv/config_roundtrip_verification.csv,resolved,hex_grid,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,semantic_alias_resolved_by_runtime_normalizer,@deployment_layout_type,reports/csv/deployment_layout_reference.csv,LayoutType,hex_grid,reports/csv/deployment_layout_reference.csv:LayoutType,runtime_state_derived,0,buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.wrapAround,derived,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,Layout type is resolved into runtime deployment geometry before the coupled-truth runner instantiates sites.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,topology,deployment_topology.inter_site_distance,600,browser_or_yaml_deployment_topology.inter_site_distance,submitted,600,browser_runtime_overlay,submitted,600,scenario.layout.interSiteDistance_m,resolved,buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.interSiteDistance_m,600,sim_runs.config_json,db_snapshot,600,reports/csv/config_roundtrip_verification.csv,resolved,600,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.layout.interSiteDistance_m,reports/csv/deployment_layout_reference.csv,InterSiteDistance_m,600,reports/csv/deployment_layout_reference.csv:InterSiteDistance_m,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,Inter-site distance drives runtime geometry and the deployment layout reference artifact.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,topology,deployment_topology.num_sites,5,browser_or_yaml_deployment_topology.num_sites,submitted,5,browser_runtime_overlay,submitted,5,scenario.layout.nSites,resolved,buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.nSites,5,sim_runs.config_json,db_snapshot,5,reports/csv/config_roundtrip_verification.csv,resolved,5,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.layout.nSites,reports/csv/deployment_layout_reference.csv,NumSites,5,reports/csv/deployment_layout_reference.csv:NumSites,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,Requested site count is resolved into the active runtime layout.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,topology,deployment_topology.num_cells,5,browser_or_yaml_deployment_topology.num_cells,submitted,5,browser_runtime_overlay,submitted,5,@deployment_num_cells,resolved,buildInternalConfig.localApplyDeploymentTopology -> runtime cell layout sizing,5,sim_runs.config_json,db_snapshot,5,reports/csv/config_roundtrip_verification.csv,resolved,5,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,@deployment_num_cells,reports/csv/deployment_layout_reference.csv,NumCells,5,reports/csv/deployment_layout_reference.csv:NumCells,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,Requested cell count controls runtime layout sizing and deployment exports.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,topology,deployment_topology.num_ues,50,browser_or_yaml_users.n_users_or_deployment_topology.num_ues,submitted,50,browser_runtime_overlay,submitted,50,scenario.ue.nUE,resolved,buildInternalConfig -> cfg.scenario.ue.nUE,50,sim_runs.config_json,db_snapshot,50,reports/csv/config_roundtrip_verification.csv,resolved,50,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.ue.nUE,reports/csv/deployment_layout_reference.csv,NumUEs,50,reports/csv/deployment_layout_reference.csv:NumUEs,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,Requested UE count becomes the active runtime UE population.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,topology,deployment_topology.num_trps,5,browser_or_yaml_deployment_topology.num_trps,submitted,5,browser_runtime_overlay,submitted,5,@deployment_num_trps,resolved,buildInternalConfig -> runtime TRP count / beam-management topology,5,sim_runs.config_json,db_snapshot,5,reports/csv/config_roundtrip_verification.csv,resolved,5,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,@deployment_num_trps,reports/csv/deployment_layout_reference.csv,NumTRPs,5,reports/csv/deployment_layout_reference.csv:NumTRPs,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,Requested TRP count remains visible in deployment reference and grant/runtime behavior.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,radio_timing,frequency.center_frequency_hz,4000000000,yaml_frequency.center_frequency_hz,submitted,4000000000,browser_runtime_overlay,submitted,4000000000,channel.fc_Hz,resolved,buildInternalConfig -> cfg.channel.fc_Hz,4000000000,sim_runs.config_json,db_snapshot,4000000000,reports/csv/config_roundtrip_verification.csv,resolved,4000000000,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,channel.fc_Hz,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,"Carrier center frequency is YAML-owned and drives Doppler, pathloss, and waveform interpretation."
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,radio_timing,frequency.bandwidth_hz,100000000,yaml_frequency.bandwidth_hz,submitted,100000000,browser_runtime_overlay,submitted,100000000,channel.bandwidth_Hz,resolved,buildInternalConfig -> cfg.channel.bandwidth_Hz,100000000,sim_runs.config_json,db_snapshot,100000000,reports/csv/config_roundtrip_verification.csv,resolved,100000000,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,channel.bandwidth_Hz,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Channel bandwidth is YAML-owned and resolves into the runtime carrier bandwidth.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,radio_timing,frequency.n_size_grid,273,yaml_frequency.n_size_grid,submitted,273,browser_runtime_overlay,submitted,273,phy.numerology.configuredGridNumRBs,resolved,buildInternalConfig -> cfg.phy.numerology.configuredGridNumRBs,273,sim_runs.config_json,db_snapshot,273,reports/csv/config_roundtrip_verification.csv,resolved,273,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,phy.numerology.configuredGridNumRBs,reports/csv/runtime_operating_mode.csv,ConfiguredGridNumRBs,273,reports/csv/runtime_operating_mode.csv:ConfiguredGridNumRBs,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Configured NRB count is YAML-owned and exported into runtime numerology artifacts.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,radio_timing,frame.scs_khz,30,yaml_frame.scs_khz,submitted,30,browser_runtime_overlay,submitted,30,phy.carrier.SubcarrierSpacing_kHz,resolved,buildInternalConfig -> cfg.phy.carrier.SubcarrierSpacing_kHz,30,sim_runs.config_json,db_snapshot,30,reports/csv/config_roundtrip_verification.csv,resolved,30,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,phy.carrier.SubcarrierSpacing_kHz,reports/csv/runtime_operating_mode.csv,SCS_kHz,30,reports/csv/runtime_operating_mode.csv:SCS_kHz,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Subcarrier spacing is YAML-owned and drives the active numerology chain.
