TraceSource,Direction,Frame,Slot,SNR_dB,InjectedCFO_Hz,EstimatedCFO_PreCorrection_Hz,ResidualCFO_PostCorrection_Hz,EstimatedCFO_Hz,TrueCFO_Hz,CFOError_Hz,InjectedTimingOffset_samples,EstimatedTimingOffset_PreCorrection_samples,ResidualTimingError_PostCorrection_samples,TrueTimingOffset_samples,TimingError_samples,InjectedDoppler_Hz,EstimatedDopplerHz,DopplerError_Hz,PhaseTrackingError_deg,ComputeLatency_ms,AirInterfaceObservation_ms,AcquisitionTime_ms,TrackingFailureProbability,SourceArtifact,Status
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
PBCH,DL,1,1,12,40,40,1.47460520298687e-14,40,40,1.47460520298687e-14,0,4384,0,0,0,11.1188031732717,NaN,NaN,NaN,4054.9257,10,10,0,air_interface/csv/pbch_trials.csv,PASS
