Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,TrialOrdinal,AbsoluteSlot,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,BeamGainGap_dB,BeamSelectionStrategy,ExecutionModel,Status,EventType,AcquisitionEventFlag,SwitchEventFlag,FirstHitEventFlag,BeamDetectedEventFlag,MisalignmentEventFlag,FailureEventFlag,SwitchLatencySlots,SwitchLatency_s,TrialsToFirstHit,StateBefore,StateAfter
"DL",12,7,7,1,1,1,147,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_REFINEMENT_CONVERGED|BEAM_DETECTED",1,0,1,1,0,0,NaN,NaN,1,"uninitialized","aligned"
"DL",12,8,8,1,1,2,168,1,28,0,0,32,0.0470181288977471,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,1,"aligned","misaligned"
"DL",12,9,9,1,1,3,189,2,14,0,0,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,1,"misaligned","misaligned"
"DL",12,7,7,2,2,1,147,2,8,0,0,32,0.214600053250678,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,2,2,2,168,1,32,0,1,32,0.00051606077599331,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,9,9,2,2,3,189,1,32,0,0,32,0.0135470301611065,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,3,3,1,147,2,7,0,0,32,0.143788213455039,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,3,3,2,168,2,9,0,0,32,0.564489966539355,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,9,9,3,3,3,189,2,6,0,0,32,0.0966260211948509,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,4,4,1,147,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_REFINEMENT_CONVERGED|BEAM_DETECTED",1,0,1,1,0,0,NaN,NaN,1,"uninitialized","aligned"
"DL",12,8,8,4,4,2,168,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_TRACK",0,0,0,0,0,0,NaN,NaN,1,"aligned","aligned"
"DL",12,9,9,4,4,3,189,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH",0,1,0,0,0,0,42,0.021,1,"aligned","aligned"
"DL",12,7,7,5,5,1,147,1,28,0,0,32,0.324145047420799,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,5,5,2,168,2,3,0,0,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,9,9,5,5,3,189,1,31,0,0,32,0.118992427274762,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,7,7,6,6,1,147,1,29,0,0,32,0.0547311325021695,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,2,"uninitialized","misaligned"
