Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,ReceiverHestSINR_dB,ChannelGain_dB,BeamSelectionStrategy,BeamIndexSet,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,PrecoderSource,PrecodingMode,PrecodingApplicationStage,PrecodingActive,ExplicitBeamWeightsApplied,TransformPrecodingApplied,BeamformingApplied,AppliedPrecoderPMI,AppliedPrecoderPMIType,AppliedPrecoderCodebookMode,PrecodingNumPorts,PrecodingNumLayers,PrecodingMatrixRows,PrecodingMatrixCols,ExecutionModel,Status,BeamSweepEnabled,BeamCountConfigured
"DL",12,7,7,3,3,2,7,0,0,32,-107.387357751445,-107.24356953799,0.143788213455039,39.4446903754184,-103.478021701588,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,5,5,1,28,0,0,32,-124.595282578942,-124.271137531522,0.324145047420799,20.8696184745171,-120.918174849271,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,7,7,2,3,0,0,32,-93.3097837412586,-93.2904856569331,0.0192980843255555,24.3222700113384,-89.7950298138592,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,9,9,2,5,0,0,32,-135.353624517446,-135.200092264898,0.153532252548018,12.610368303274,-132.020067116523,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,14,14,2,9,0,0,32,-108.773193751257,-108.399673477357,0.373520273899913,9.433347041507,-104.889176726269,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,19,19,1,19,0,0,32,-114.742187728543,-113.968863879669,0.773323848874256,30.6545767848233,-110.390876867699,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,26,26,1,1,1,1,32,-121.609517571585,-121.609517571585,0,28.3572433635823,-118.609224801477,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,27,27,1,1,1,1,32,-138.840043013652,-138.840043013652,0,7.40219237435299,-135.097029715007,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,43,43,1,1,1,1,32,-117.402748536685,-117.402748536685,0,29.4463451626909,-113.602879764642,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",12,7,7,47,47,2,7,0,0,32,-92.9927517829154,-92.722282544164,0.270469238751375,53.7321356145399,-89.2619192085244,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
