CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","per_scenario_summary_tables","per-scenario summary tables","report","summary_table","derived",1,NaN,"reports/csv/per_scenario_summary_tables.csv","","reports/csv/per_scenario_summary_tables.csv",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","per_sweep_comparison_tables","per-sweep comparison tables","report","comparison_table","derived",1,NaN,"reports/csv/per_sweep_comparison_tables.csv","","reports/csv/per_sweep_comparison_tables.csv",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","baseline_candidate_delta_tables","baseline vs candidate delta tables","report","delta_table","derived",1,NaN,"reports/csv/baseline_candidate_delta_tables.csv","","reports/csv/baseline_candidate_delta_tables.csv",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","waterfall_bar_charts_gains_losses","waterfall charts / bar charts of gains/losses","report","chart","derived",1,NaN,"reports/image/gains_losses_waterfall.png","","reports/image/gains_losses_waterfall.png",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","curves_bler_vs_snr","curves: BLER vs SNR","report","plot","derived",1,NaN,"reports/image/bler_vs_snr.png","","reports/image/bler_vs_snr.png",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","curves_throughput_vs_snr","curves: throughput vs SNR","report","plot","derived",1,NaN,"reports/image/throughput_vs_snr.png","","reports/image/throughput_vs_snr.png",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","curves_nmse_vs_snr","curves: NMSE vs SNR","report","plot","derived",1,NaN,"reports/image/nmse_vs_snr.png","","reports/image/nmse_vs_snr.png",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","curves_papr_ccdf","curves: PAPR CCDF","report","plot","derived",1,NaN,"reports/image/papr_ccdf.png","","reports/image/papr_ccdf.png",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","curves_latency_cdf","curves: latency semantics CDF","report","plot","derived",1,NaN,"reports/image/latency_cdf.png","","reports/image/latency_cdf.png",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","curves_access_delay_cdf","curves: access procedure-delay CDF","report","plot","not_available",0,NaN,"reports/image/access_delay_cdf.png","","reports/image/access_delay_cdf.png","No true initial-access procedure-delay samples are available in this LLS scope, so the plot is intentionally omitted in this production truth profile."
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","curves_energy_vs_throughput","curves: energy vs throughput","report","plot","derived",1,NaN,"reports/image/energy_vs_throughput.png","","reports/image/energy_vs_throughput.png",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","curves_complexity_vs_gain","curves: complexity vs gain","report","plot","derived",1,NaN,"reports/image/complexity_vs_gain.png","","reports/image/complexity_vs_gain.png",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","heatmaps_band_feature_kpi","heatmaps: band vs feature vs KPI","report","heatmap","derived",1,NaN,"reports/image/heatmap_band_feature_kpi.png","","reports/image/heatmap_band_feature_kpi.png","Single-run band/feature/KPI snapshot heatmap built from actual current-run KPIs."
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","heatmaps_impairment_kpi","heatmaps: impairment vs KPI","report","heatmap","derived",1,NaN,"reports/image/heatmap_impairment_kpi.png","","reports/image/heatmap_impairment_kpi.png","Single-run impairment/KPI snapshot heatmap built from actual current-run tracking, BLER, and energy measurements."
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","heatmaps_beam_rank_trp_kpi","heatmaps: beam/rank/TRP vs KPI","report","heatmap","derived",1,NaN,"reports/image/heatmap_beam_rank_trp_kpi.png","","reports/image/heatmap_beam_rank_trp_kpi.png","Single-run beam/rank/TRP snapshot heatmap built from actual beam-management and throughput measurements."
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","automatic_markdown_summary","automatic Markdown summary","report","markdown_summary","derived",1,NaN,"reports/automatic_markdown_summary.md","","reports/automatic_markdown_summary.md",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","executive_one_page_summary","executive one-page summary","report","executive_summary","derived",1,NaN,"reports/executive_summary.md","","reports/executive_summary.md",""
"Q","aggregated_reporting_outputs","Aggregated reporting outputs","detailed_technical_report","detailed technical report","report","technical_report","derived",1,NaN,"reports/technical_report.md","","reports/technical_report.md",""
