NodeType,NodeIndex,BaseStationID,UEIndex,ArrayType,ArrayClass,ElementClass,NumRows,NumCols,NumPolarizations,NumElements,SpacingH_lambda,SpacingV_lambda,Polarization,Azimuth_deg,Heading_deg,Tilt_deg,PositionX_m,PositionY_m,PositionZ_m,NumPorts,AntennaConfigSource,RuntimeObjectSource,HasPhasedArrayObject,SameFlowEvidenceSource
"BS",1,1,NaN,"ura","phased.URA","phased.IsotropicAntennaElement",8,8,1,64,0.5,0.5,"single",0,NaN,0,0,0,25,64,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"BS",2,2,NaN,"ura","phased.URA","phased.IsotropicAntennaElement",8,8,1,64,0.5,0.5,"single",0,NaN,0,600,0,25,64,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"BS",3,3,NaN,"ura","phased.URA","phased.IsotropicAntennaElement",8,8,1,64,0.5,0.5,"single",0,NaN,0,300,-519.615242270663,25,64,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"BS",4,4,NaN,"ura","phased.URA","phased.IsotropicAntennaElement",8,8,1,64,0.5,0.5,"single",0,NaN,0,-300,-519.615242270663,25,64,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"BS",5,5,NaN,"ura","phased.URA","phased.IsotropicAntennaElement",8,8,1,64,0.5,0.5,"single",0,NaN,0,-600,0,25,64,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"UE",1,NaN,1,"ula","phased.ULA","phased.IsotropicAntennaElement",1,4,1,4,0.5,0.5,"single",NaN,213.067233642633,0,-424.910350964489,-36.537568589878,1.5,4,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"UE",2,NaN,2,"ula","phased.ULA","phased.IsotropicAntennaElement",1,4,1,4,0.5,0.5,"single",NaN,155.161452612909,0,488.081771530041,-633.637436657169,1.5,4,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"UE",3,NaN,3,"ula","phased.ULA","phased.IsotropicAntennaElement",1,4,1,4,0.5,0.5,"single",NaN,203.215933105335,0,120.113768722335,26.2018187627523,1.5,4,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"UE",4,NaN,4,"ula","phased.ULA","phased.IsotropicAntennaElement",1,4,1,4,0.5,0.5,"single",NaN,148.356975847115,0,811.70239644757,-80.0737662069412,1.5,4,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"UE",5,NaN,5,"ula","phased.ULA","phased.IsotropicAntennaElement",1,4,1,4,0.5,0.5,"single",NaN,110.640585754809,0,192.001834162761,-133.698367391574,1.5,4,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
"UE",6,NaN,6,"ula","phased.ULA","phased.IsotropicAntennaElement",1,4,1,4,0.5,0.5,"single",NaN,238.680991671963,0,669.883939031853,105.579158451439,1.5,4,"browser_yaml_antenna_and_array","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"CoupledTruthRuntime.initialize:AntennaArrayFactory.build"
