RelativePath,Extension,Bytes,ModifiedUTC,ArtifactClass,SemanticState,CountsTowardCoverage,MachineReadable,HumanReadable
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/csi_rs_trials.csv",".csv",55006,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/dl_constellation_preview.csv",".csv",800667,"2026-04-17T18:39:27Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/dl_pdsch_trials.csv",".csv",696001,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/link_anchor_kpis.csv",".csv",979,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/link_kpis.csv",".csv",1147,"2026-04-17T18:39:27Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/live_link_snr_sweep.csv",".csv",1276,"2026-04-17T18:39:27Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/lls_kpi_summary.csv",".csv",1147,"2026-04-17T18:39:27Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/lls_snr_sweep.csv",".csv",1276,"2026-04-17T18:39:27Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/multiuser_user_summary.csv",".csv",22566,"2026-04-17T18:39:27Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/pbch_trials.csv",".csv",202224,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/pdcch_trials.csv",".csv",958871,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/prach_trials.csv",".csv",207997,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/pucch_trials.csv",".csv",2,"2026-04-17T18:39:27Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/srs_trials.csv",".csv",154606,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/trs_trials.csv",".csv",72311,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/ul_constellation_preview.csv",".csv",808495,"2026-04-17T18:39:27Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/csv/ul_pusch_trials.csv",".csv",467240,"2026-04-17T18:44:03Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/dl_constellation_scatter.png",".png",47785,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/dl_trial_channel_gain.png",".png",53106,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/dl_trial_sinr.png",".png",52917,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/link_truth_validation_ber.png",".png",18810,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/link_truth_validation_bler.png",".png",21177,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/link_truth_validation_papr.png",".png",24559,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/link_truth_validation_throughput.png",".png",18871,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/ul_constellation_scatter.png",".png",71387,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/ul_trial_channel_gain.png",".png",33830,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/image/ul_trial_sinr.png",".png",39502,"2026-04-17T18:39:27Z","other_image","observed",1,0,1
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/mat/link_results.mat",".mat",158097,"2026-04-17T18:39:27Z","other","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/air_interface/reports/csv/live_stage_status.csv",".csv",777,"2026-04-17T18:39:27Z","other_csv","derived",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/beam_analytics.csv",".csv",65879,"2026-04-18T20:24:24Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/change_impact_analytics.csv",".csv",299,"2026-04-18T20:24:25Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/channel_estimation_analytics.csv",".csv",2479,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/channel_quality_analytics.csv",".csv",43726,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/clipping_analytics.csv",".csv",12664,"2026-04-18T20:24:22Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/codeblock_analytics.csv",".csv",20048,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/compute_analytics.csv",".csv",25437,"2026-04-18T20:24:25Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/constellation_analytics.csv",".csv",1913841,"2026-04-18T20:24:22Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.csv",".csv",2765,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-hit-rate-top-k-hit-rate.csv",".csv",28060,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.csv",".csv",4850,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.csv",".csv",26824,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__calibration-reciprocity-diagnostics-if-modeled.csv",".csv",27937,"2026-04-18T20:24:24Z","other_csv","observed",1,1,0
