CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
"P","debug_trace_outputs","Debug / trace outputs","selected_waveforms","selected waveforms","waveform","dl_waveform","config_only",0,NaN,"CP-OFDM","","",""
"P","debug_trace_outputs","Debug / trace outputs","selected_waveforms","selected waveforms","waveform","ul_waveform","config_only",0,NaN,"CP-OFDM","","",""
"P","debug_trace_outputs","Debug / trace outputs","channel_snapshots","channel snapshots","trace","channel_snapshots_csv","derived",1,NaN,"reports/csv/channel_snapshots.csv","","reports/csv/channel_snapshots.csv","Combined per-trial channel-state snapshot derived from actual DL, UL, SRS, TRS, PBCH, and PRACH trial exports."
"P","debug_trace_outputs","Debug / trace outputs","channel_estimates","channel estimates","trace","srs_trials","observed",1,NaN,"air_interface/csv/srs_trials.csv","","air_interface/csv/srs_trials.csv",""
"P","debug_trace_outputs","Debug / trace outputs","channel_estimates","channel estimates","trace","trs_trials","observed",1,NaN,"air_interface/csv/trs_trials.csv","","air_interface/csv/trs_trials.csv",""
"P","debug_trace_outputs","Debug / trace outputs","equalized_constellations","equalized constellations","trace","equalized_constellations_csv","derived",1,NaN,"reports/csv/equalized_constellations.csv","","reports/csv/equalized_constellations.csv","Combined constellation sample table with reference, aligned-equalized, and hard-decision symbols from actual DL and UL runtime exports."
"P","debug_trace_outputs","Debug / trace outputs","equalized_constellations","equalized constellations","trace","equalized_constellations_image","derived",1,NaN,"reports/image/equalized_constellations.png","","reports/image/equalized_constellations.png","Combined aligned-equalized and hard-decision scatter image from actual DL and UL runtime exports."
"P","debug_trace_outputs","Debug / trace outputs","llr_histograms","LLR histograms","trace","llr_histograms_csv","derived",1,NaN,"reports/csv/llr_histograms.csv","","reports/csv/llr_histograms.csv","Histogram bins derived from actual LLR summary statistics emitted by the DL and UL trial tables."
"P","debug_trace_outputs","Debug / trace outputs","llr_histograms","LLR histograms","trace","llr_histograms_image","derived",1,NaN,"reports/image/llr_histograms.png","","reports/image/llr_histograms.png","Histogram plot derived from actual LLR summary statistics emitted by the DL and UL trial tables."
"P","debug_trace_outputs","Debug / trace outputs","cfo_to_tracking_traces","CFO/TO tracking traces","trace","tracking_traces_csv","derived",1,NaN,"reports/csv/cfo_to_tracking_traces.csv","","reports/csv/cfo_to_tracking_traces.csv","Per-trial CFO, TO, Doppler, and phase-tracking trace table from actual link and RS runtime exports."
"P","debug_trace_outputs","Debug / trace outputs","cfo_to_tracking_traces","CFO/TO tracking traces","trace","tracking_traces_image","derived",1,NaN,"reports/image/cfo_to_tracking_traces.png","","reports/image/cfo_to_tracking_traces.png","Per-trial CFO, TO, Doppler, and phase-tracking plot from actual link and RS runtime exports."
"P","debug_trace_outputs","Debug / trace outputs","harq_process_timelines","HARQ process timelines","trace","harq_timeline","observed",1,NaN,"harq/csv/harq_process_timeline.csv","","harq/csv/harq_process_timeline.csv",""
"P","debug_trace_outputs","Debug / trace outputs","dci_candidate_traces","DCI candidate traces","trace","pdcch_trials","observed",1,NaN,"air_interface/csv/pdcch_trials.csv","","air_interface/csv/pdcch_trials.csv",""
"P","debug_trace_outputs","Debug / trace outputs","prach_correlation_traces","PRACH correlation traces","trace","prach_correlation_csv","derived",1,NaN,"reports/csv/prach_correlation_traces.csv","","reports/csv/prach_correlation_traces.csv",""
"P","debug_trace_outputs","Debug / trace outputs","prach_correlation_traces","PRACH correlation traces","trace","prach_correlation_image","derived",1,NaN,"reports/image/prach_correlation_traces.png","","reports/image/prach_correlation_traces.png",""
"P","debug_trace_outputs","Debug / trace outputs","beam_score_traces","beam score traces","trace","beam_score_trace","observed",1,NaN,"beamforming/csv/beam_score_trace.csv","","beamforming/csv/beam_score_trace.csv",""
"P","debug_trace_outputs","Debug / trace outputs","beam_score_traces","beam score traces","trace","beam_management_state_trace","observed",1,NaN,"beamforming/csv/beam_management_state_trace.csv","","beamforming/csv/beam_management_state_trace.csv","Runtime beam state machine trace emitted from actual slot-ordered beam observations."
"P","debug_trace_outputs","Debug / trace outputs","beam_score_traces","beam score traces","trace","beam_management_event_trace","observed",1,NaN,"beamforming/csv/beam_management_event_trace.csv","","beamforming/csv/beam_management_event_trace.csv","Runtime beam event trace emitted from actual slot-ordered beam observations."
"P","debug_trace_outputs","Debug / trace outputs","ai_confidence_traces","AI confidence traces","trace","ai_confidence_csv","disabled",0,NaN,"reports/csv/ai_confidence_trace.csv","","reports/csv/ai_confidence_trace.csv","AI confidence trace is emitted from actual benchmark/runtime metadata when AI/ML is active. Production truth profiles may suppress disabled-AI audit artifacts instead of emitting empty traces."
"P","debug_trace_outputs","Debug / trace outputs","ai_confidence_traces","AI confidence traces","trace","ai_confidence_image","disabled",0,NaN,"reports/image/ai_confidence_trace.png","","reports/image/ai_confidence_trace.png","AI confidence trace is emitted from actual benchmark/runtime metadata when AI/ML is active. Production truth profiles may suppress disabled-AI audit artifacts instead of emitting empty traces."
"P","debug_trace_outputs","Debug / trace outputs","energy_timeline_traces","energy timeline traces","trace","energy_timeline","observed",1,NaN,"rf/csv/energy_timeline_trace.csv","","rf/csv/energy_timeline_trace.csv",""
