ScenarioID,ConfigHash,RunTag,RunnerProfile,File,Function,ParameterOrConstant,CurrentValue,Classification,AffectsRuntime,OwnerShouldBe,ActionTaken,StatusAfterPatch
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","simulator/configs/defaults/top_level_required_sections_01.yaml","global_radio_scope","numerology_mu","1","CONFIG_SHOULD_OWN_THIS",1,"yaml_runtime_derived","Derived from frame.scs_khz when the inherited top-level value is only the catalog default.","derived_from_frame_scs_khz"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","simulator/configs/defaults/top_level_required_sections_01.yaml","frame_timing","slot_duration_ms","0.5","CONFIG_SHOULD_OWN_THIS",1,"yaml_runtime_derived","Derived from frame.scs_khz when the inherited top-level value is only the catalog default.","derived_from_frame_scs_khz"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","simulator/configs/defaults/top_level_required_sections_01.yaml","frame_timing","slots_per_frame","20","CONFIG_SHOULD_OWN_THIS",1,"yaml_runtime_derived","Derived from frame.scs_khz when the inherited top-level value is only the catalog default.","derived_from_frame_scs_khz"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","simulator/configs/defaults/top_level_required_sections_01.yaml","resource_grid","num_rbs","51","CONFIG_SHOULD_OWN_THIS",1,"yaml_runtime_derived","Synchronized to frequency.n_size_grid for full-band runs when the inherited top-level value is only the catalog default.","derived_from_frequency_n_size_grid"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","run_control.num_workers -> 0 fallback","0","DANGEROUS_HIDDEN_FALLBACK",1,"browser_or_yaml","Removed hidden numeric fallback; resolved config must provide run_control.num_workers.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","UE noise figure -> 9 fallback","9","DANGEROUS_HIDDEN_FALLBACK",1,"browser_or_yaml","Removed hidden 9 dB fallback; runtime now resolves UE noise figure from explicit config fields only.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","mobility.update_period_s fallback","0.1","CONFIG_SHOULD_OWN_THIS",1,"yaml","Moved fallback into YAML defaults and removed code-owned numeric default.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","mobility.zigzag_segment_duration_s fallback","0.75","CONFIG_SHOULD_OWN_THIS",1,"yaml","Moved fallback into YAML defaults and removed code-owned numeric default.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","mobility.zigzag_turn_angle_deg fallback","35","CONFIG_SHOULD_OWN_THIS",1,"yaml","Moved fallback into YAML defaults and removed code-owned numeric default.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","localResolveNoiseOperatingMode","configured_snr_anchor_after_large_scale_gain","configured_snr_anchor_after_large_scale_gain","CONFIG_SHOULD_OWN_THIS",1,"yaml","Moved default noise operating mode into YAML and removed the hidden code fallback.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","localResolveDopplerSourceMode","configured","configured","CONFIG_SHOULD_OWN_THIS",1,"yaml","Moved default Doppler source mode into YAML and removed the hidden code fallback.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","harq.max_retx fallback","3","DANGEROUS_HIDDEN_FALLBACK",1,"yaml","Removed hidden HARQ max-retransmission fallback; resolved config must provide harq.max_retx.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","harq.validation_mode fallback","observation","DANGEROUS_HIDDEN_FALLBACK",1,"yaml","Moved HARQ validation-mode ownership into YAML defaults and removed the hidden code fallback.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","reference_signals.trs.num_ports fallback","1","CONFIG_SHOULD_OWN_THIS",1,"yaml","Removed hidden TRS port-count fallback; resolved config must provide reference_signals.trs.num_ports.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","reference_signals.trs.scrambling_id fallback","1","CONFIG_SHOULD_OWN_THIS",1,"yaml","Removed hidden TRS scrambling-ID fallback; resolved config must provide reference_signals.trs.scrambling_id.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","link_adaptation.* fallbacks","fixed/false/csi_feedback/none/baseline","DANGEROUS_HIDDEN_FALLBACK",1,"yaml","Removed code-owned link-adaptation fallbacks so the active policy now comes from resolved scenario config.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","csi_acquisition_and_reporting.* defaults","none/type1_su_mimo/true/false/compressed","DANGEROUS_HIDDEN_FALLBACK",1,"yaml","Moved CSI-reporting mode, policy, and payload defaults into explicit resolved config and removed buried runtime-policy literals.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","control_gating.* required/max-age defaults","signal_enable_inference/4_slots","DANGEROUS_HIDDEN_FALLBACK",1,"browser_or_yaml","Moved control-gating required/max-age behavior into explicit config/default catalogs and removed signal-derived runtime fallbacks.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","receiver.use_ideal_timing_sync fallback","false","DANGEROUS_HIDDEN_FALLBACK",1,"yaml","Moved receiver.use_ideal_timing_sync into explicit resolved config and removed the buried false fallback.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","localResolveCQITableToken","link_adaptation.cqi_table fallback","table1","DANGEROUS_HIDDEN_FALLBACK",1,"yaml","Moved CQI-table ownership into explicit resolved config/default catalogs and removed the hidden table1 fallback.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","localResolveInterferenceExecutionMode","interference.inter_cell_execution_mode inference","users.execution_model -> none/full_per_link_channel_waveform_sum","DANGEROUS_HIDDEN_FALLBACK",1,"yaml","Moved interference execution-mode ownership into explicit config/default catalogs and removed the runtime inference fallback.","config_owned"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","localApplyRuntimeAntennaConfig","antenna_and_array.* fallbacks","ura/ula/0.5/single/2","DANGEROUS_HIDDEN_FALLBACK",1,"yaml","Removed code-owned antenna geometry/spacing/polarization fallbacks so runtime arrays come from resolved config only.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+truth/runWaveformLinkBundle.m","localResolveMultiUserSpec","beam_selection_strategy -> fixed_first_beam fallback","fixed_first_beam","DANGEROUS_HIDDEN_FALLBACK",1,"browser_or_yaml","Removed hidden fixed_first_beam fallback from the active multi-user runtime path; missing config is now explicit.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/+runners/runSingle.m","localBuildManifest","beam_selection_strategy summary fallback","fixed_first_beam","MISLEADING_EXPORT_CONSTANT",0,"browser_or_yaml","Removed export-layer fixed_first_beam fallback so reports reflect resolved config or explicit absence.","removed"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","localResolveChannelDopplerHz","speed_of_light_mps","299792458","LEGITIMATE_PHYSICAL_CONSTANT",1,"keep_as_constant","Physical constant used for Doppler derivation.","kept_legitimate"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","+sixgr/+lls6g/buildInternalConfig.m","buildInternalConfig","phy.numerology.symbolsPerSlot","14","LEGITIMATE_STANDARD_CONSTANT",1,"keep_as_constant","Baseline NR normal-CP symbol count per slot.","kept_legitimate"
