CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
"L","harq_outputs","HARQ outputs","rtt_distribution","RTT distribution","DL@SNR=12dB","mean_ms","observed",1,4,"not_applicable","ms","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Measured packet RTT from HARQ feedback timing and actual attempt count."
"L","harq_outputs","HARQ outputs","rtt_distribution","RTT distribution","DL@SNR=12dB","p95_ms","observed",1,4,"not_applicable","ms","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Measured packet RTT from HARQ feedback timing and actual attempt count."
"L","harq_outputs","HARQ outputs","rtt_distribution","RTT distribution","UL@SNR=12dB","mean_ms","observed",1,4.5,"not_applicable","ms","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Measured packet RTT from HARQ feedback timing and actual attempt count."
"L","harq_outputs","HARQ outputs","rtt_distribution","RTT distribution","UL@SNR=12dB","p95_ms","observed",1,6,"not_applicable","ms","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Measured packet RTT from HARQ feedback timing and actual attempt count."
"L","harq_outputs","HARQ outputs","retransmission_count_distribution","retransmission count distribution","DL@SNR=12dB","mean_retx","observed",1,1,"not_applicable","count","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Average HARQ retransmissions per packet from real waveform decode outcomes."
"L","harq_outputs","HARQ outputs","retransmission_count_distribution","retransmission count distribution","DL@SNR=12dB","retx_packet_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Fraction of packets that required at least one HARQ retransmission."
"L","harq_outputs","HARQ outputs","retransmission_count_distribution","retransmission count distribution","DL@SNR=12dB","retx_packets_observed","observed",1,4,"not_applicable","count","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Count of packets that required at least one HARQ retransmission."
"L","harq_outputs","HARQ outputs","retransmission_count_distribution","retransmission count distribution","UL@SNR=12dB","mean_retx","observed",1,1.25,"not_applicable","count","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Average HARQ retransmissions per packet from real waveform decode outcomes."
"L","harq_outputs","HARQ outputs","retransmission_count_distribution","retransmission count distribution","UL@SNR=12dB","retx_packet_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Fraction of packets that required at least one HARQ retransmission."
"L","harq_outputs","HARQ outputs","retransmission_count_distribution","retransmission count distribution","UL@SNR=12dB","retx_packets_observed","observed",1,4,"not_applicable","count","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Count of packets that required at least one HARQ retransmission."
"L","harq_outputs","HARQ outputs","combining_gain","combining gain","DL@SNR=12dB","recovered_after_retx_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Fraction of packets only recovered after HARQ combining."
"L","harq_outputs","HARQ outputs","combining_gain","combining gain","UL@SNR=12dB","recovered_after_retx_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Fraction of packets only recovered after HARQ combining."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","DL@SNR=12dB","first_attempt_ack_rate","observed",1,0,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. First-attempt ACK rate before any HARQ retransmission opportunity."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","DL@SNR=12dB","first_attempt_nack_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. First-attempt NACK rate before any HARQ retransmission opportunity."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","DL@SNR=12dB","final_ack_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Final ACK rate after the HARQ process completes."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","DL@SNR=12dB","final_nack_rate","observed",1,0,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Final drop/NACK rate after the HARQ process completes."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","DL@SNR=12dB","dtx_rate","observed",1,0,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. DTX is not modeled in the current LLS HARQ probe."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","UL@SNR=12dB","first_attempt_ack_rate","observed",1,0,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. First-attempt ACK rate before any HARQ retransmission opportunity."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","UL@SNR=12dB","first_attempt_nack_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. First-attempt NACK rate before any HARQ retransmission opportunity."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","UL@SNR=12dB","final_ack_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Final ACK rate after the HARQ process completes."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","UL@SNR=12dB","final_nack_rate","observed",1,0,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Final drop/NACK rate after the HARQ process completes."
"L","harq_outputs","HARQ outputs","ack_nack_dtx_distribution","ACK/NACK/DTX distribution","UL@SNR=12dB","dtx_rate","observed",1,0,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. DTX is not modeled in the current LLS HARQ probe."
"L","harq_outputs","HARQ outputs","feedback_overhead","feedback overhead","DL@SNR=12dB","total_bits","observed",1,8,"not_applicable","bits","harq/csv/probe_harq_summary.csv","HARQ exercise mode. One ACK/NACK feedback bit per HARQ attempt."
"L","harq_outputs","HARQ outputs","feedback_overhead","feedback overhead","UL@SNR=12dB","total_bits","observed",1,9,"not_applicable","bits","harq/csv/probe_harq_summary.csv","HARQ exercise mode. One ACK/NACK feedback bit per HARQ attempt."
"L","harq_outputs","HARQ outputs","stop_condition_distribution","stop condition distribution","DL@SNR=12dB","ack_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Packets that terminated with ACK."
"L","harq_outputs","HARQ outputs","stop_condition_distribution","stop condition distribution","DL@SNR=12dB","drop_rate","observed",1,0,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Packets that exhausted retransmissions."
"L","harq_outputs","HARQ outputs","stop_condition_distribution","stop condition distribution","UL@SNR=12dB","ack_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Packets that terminated with ACK."
"L","harq_outputs","HARQ outputs","stop_condition_distribution","stop condition distribution","UL@SNR=12dB","drop_rate","observed",1,0,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Packets that exhausted retransmissions."
"L","harq_outputs","HARQ outputs","latency_percentile","latency percentile","DL@SNR=12dB","p95_ms","observed",1,4,"not_applicable","ms","harq/csv/probe_harq_summary.csv","HARQ exercise mode. HARQ RTT percentile."
"L","harq_outputs","HARQ outputs","latency_percentile","latency percentile","UL@SNR=12dB","p95_ms","observed",1,6,"not_applicable","ms","harq/csv/probe_harq_summary.csv","HARQ exercise mode. HARQ RTT percentile."
"L","harq_outputs","HARQ outputs","reliability_percentile","reliability percentile","DL@SNR=12dB","success_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Packet success rate after the HARQ process."
"L","harq_outputs","HARQ outputs","reliability_percentile","reliability percentile","UL@SNR=12dB","success_rate","observed",1,1,"not_applicable","fraction","harq/csv/probe_harq_summary.csv","HARQ exercise mode. Packet success rate after the HARQ process."
