CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
I,csi_outputs,CSI outputs,cqi_accuracy,CQI accuracy,DL,hit_rate,observed,1,0.753333333333333,0.753333333333333,fraction,air_interface/csv/dl_pdsch_trials.csv,CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial.
I,csi_outputs,CSI outputs,cqi_accuracy,CQI accuracy,DL,mean_abs_error,observed,1,0.246666666666667,0.246666666666667,cqi_steps,air_interface/csv/dl_pdsch_trials.csv,CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial.
I,csi_outputs,CSI outputs,cqi_accuracy,CQI accuracy,DL,rmse,observed,1,0.496655480858378,0.496655480858378,cqi_steps,air_interface/csv/dl_pdsch_trials.csv,CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial.
I,csi_outputs,CSI outputs,cqi_accuracy,CQI accuracy,DL,sample_count,observed,1,150,150,count,air_interface/csv/dl_pdsch_trials.csv,CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial.
I,csi_outputs,CSI outputs,cqi_accuracy,CQI accuracy,UL,hit_rate,observed,1,0.71875,0.71875,fraction,air_interface/csv/ul_pusch_trials.csv,CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial.
I,csi_outputs,CSI outputs,cqi_accuracy,CQI accuracy,UL,mean_abs_error,observed,1,0.302083333333333,0.302083333333333,cqi_steps,air_interface/csv/ul_pusch_trials.csv,CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial.
I,csi_outputs,CSI outputs,cqi_accuracy,CQI accuracy,UL,rmse,observed,1,0.586301969977929,0.586301969977929,cqi_steps,air_interface/csv/ul_pusch_trials.csv,CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial.
I,csi_outputs,CSI outputs,cqi_accuracy,CQI accuracy,UL,sample_count,observed,1,96,96,count,air_interface/csv/ul_pusch_trials.csv,CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial.
I,csi_outputs,CSI outputs,pmi_accuracy,PMI accuracy,DL,hit_rate,observed,1,0.753333333333333,0.753333333333333,fraction,air_interface/csv/dl_pdsch_trials.csv,"PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
I,csi_outputs,CSI outputs,pmi_accuracy,PMI accuracy,DL,mean_abs_error,observed,1,1.04666666666667,1.04666666666667,codebook_index,air_interface/csv/dl_pdsch_trials.csv,"PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
I,csi_outputs,CSI outputs,pmi_accuracy,PMI accuracy,DL,rmse,observed,1,5.08396170979549,5.08396170979549,codebook_index,air_interface/csv/dl_pdsch_trials.csv,"PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
I,csi_outputs,CSI outputs,pmi_accuracy,PMI accuracy,DL,sample_count,observed,1,150,150,count,air_interface/csv/dl_pdsch_trials.csv,"PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
I,csi_outputs,CSI outputs,pmi_accuracy,PMI accuracy,UL,hit_rate,observed,1,1,1,fraction,air_interface/csv/ul_pusch_trials.csv,"PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
I,csi_outputs,CSI outputs,pmi_accuracy,PMI accuracy,UL,mean_abs_error,observed,1,0,0,codebook_index,air_interface/csv/ul_pusch_trials.csv,"PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
I,csi_outputs,CSI outputs,pmi_accuracy,PMI accuracy,UL,rmse,observed,1,0,0,codebook_index,air_interface/csv/ul_pusch_trials.csv,"PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
I,csi_outputs,CSI outputs,pmi_accuracy,PMI accuracy,UL,sample_count,observed,1,96,96,count,air_interface/csv/ul_pusch_trials.csv,"PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
I,csi_outputs,CSI outputs,ri_accuracy,RI accuracy,DL,hit_rate,observed,1,0.56,0.56,fraction,air_interface/csv/dl_pdsch_trials.csv,"RI accuracy is computed against the runtime rank estimate, with configured layer count used as fallback when no separate rank estimate is available."
