CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
G,pdsch_outputs,PDSCH outputs,per_layer_bler,per-layer BLER,layer_1,rate,observed,1,0.266666666666667,0.266666666666667,fraction,air_interface/csv/dl_pdsch_trials.csv,Current LLS runtime exports one-codeword TB outcome; per-layer BLER is attributed to each active layer in the configured layer map.
G,pdsch_outputs,PDSCH outputs,per_layer_bler,per-layer BLER,layer_1,sample_count,observed,1,150,150,count,air_interface/csv/dl_pdsch_trials.csv,Current LLS runtime exports one-codeword TB outcome; per-layer BLER is attributed to each active layer in the configured layer map.
G,pdsch_outputs,PDSCH outputs,per_layer_bler,per-layer BLER,layer_2,rate,observed,1,0.263157894736842,0.263157894736842,fraction,air_interface/csv/dl_pdsch_trials.csv,Current LLS runtime exports one-codeword TB outcome; per-layer BLER is attributed to each active layer in the configured layer map.
G,pdsch_outputs,PDSCH outputs,per_layer_bler,per-layer BLER,layer_2,sample_count,observed,1,133,133,count,air_interface/csv/dl_pdsch_trials.csv,Current LLS runtime exports one-codeword TB outcome; per-layer BLER is attributed to each active layer in the configured layer map.
G,pdsch_outputs,PDSCH outputs,per_codeword_bler,per-codeword BLER,codeword_1,rate,observed,1,0.266666666666667,0.266666666666667,fraction,air_interface/csv/dl_pdsch_trials.csv,Current LLS runtime exports a single-codeword PDSCH path; codeword_1 BLER equals TB failure rate.
G,pdsch_outputs,PDSCH outputs,per_codeword_bler,per-codeword BLER,codeword_1,sample_count,observed,1,150,150,count,air_interface/csv/dl_pdsch_trials.csv,Current LLS runtime exports a single-codeword PDSCH path; codeword_1 BLER equals TB failure rate.
G,pdsch_outputs,PDSCH outputs,per_rank_throughput,per-rank throughput,rank_1,good_bits,observed,1,70520,70520,bits,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,per_rank_throughput,per-rank throughput,rank_2,good_bits,observed,1,170072,170072,bits,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,equalizer_output_sinr,equalizer output SINR,DL,mean,observed,1,20.3604736597367,20.3604736597367,dB,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,equalizer_output_sinr,equalizer output SINR,DL,p95,observed,1,48.7242436905469,48.7242436905469,dB,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,equalizer_output_sinr,equalizer output SINR,DL,max,observed,1,62.7096763861151,62.7096763861151,dB,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,residual_interference_power,residual interference power,DL,mean,observed,1,-6.11348020820335,-6.11348020820335,dB,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,residual_interference_power,residual interference power,DL,p95,observed,1,9.99610794507509,9.99610794507509,dB,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,residual_interference_power,residual interference power,DL,max,observed,1,31.0992324666746,31.0992324666746,dB,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,harq_gain_per_retransmission,HARQ gain per retransmission,DL@SNR=12dB,recovered_after_retx_rate,observed,1,1,not_applicable,fraction,harq/csv/probe_harq_summary.csv,HARQ exercise mode. Recovered packets attributable to HARQ retransmissions.
G,pdsch_outputs,PDSCH outputs,harq_gain_per_retransmission,HARQ gain per retransmission,UL@SNR=12dB,recovered_after_retx_rate,observed,1,1,not_applicable,fraction,harq/csv/probe_harq_summary.csv,HARQ exercise mode. Recovered packets attributable to HARQ retransmissions.
G,pdsch_outputs,PDSCH outputs,rate_matching_overhead,rate matching overhead,DL,mean_ratio,observed,1,0,0,fraction,air_interface/csv/dl_pdsch_trials.csv,Measured from actual rate-matching puncture and repetition bit counts.
G,pdsch_outputs,PDSCH outputs,rate_matching_overhead,rate matching overhead,DL,p95_ratio,observed,1,0,0,fraction,air_interface/csv/dl_pdsch_trials.csv,Measured from actual rate-matching puncture and repetition bit counts.
G,pdsch_outputs,PDSCH outputs,rs_overhead_contribution,RS overhead contribution,DL,mean,observed,1,0.056969696969697,0.056969696969697,fraction,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,rs_overhead_contribution,RS overhead contribution,DL,p95,observed,1,0.0909090909090909,0.0909090909090909,fraction,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,rs_overhead_contribution,RS overhead contribution,DL,max,observed,1,0.0909090909090909,0.0909090909090909,fraction,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,beam_precoder_gain,beam / precoder gain,beamforming,mean,observed,1,-128.181308934872,-128.181308934872,dB,beamforming/csv/probe_beam_mimo.csv,
G,pdsch_outputs,PDSCH outputs,beam_precoder_gain,beam / precoder gain,beamforming,p95,observed,1,-95.1254648693599,-95.1254648693599,dB,beamforming/csv/probe_beam_mimo.csv,
G,pdsch_outputs,PDSCH outputs,beam_precoder_gain,beam / precoder gain,beamforming,max,observed,1,-74.6457391060075,-74.6457391060075,dB,beamforming/csv/probe_beam_mimo.csv,
G,pdsch_outputs,PDSCH outputs,mtrp_gain,mTRP gain,DL,delta_dB,disabled,0,NaN,not_applicable,dB,beamforming/csv/probe_beam_management.csv,Single-TRP runtime; mTRP beam-selection gain is not enabled for this scenario.
G,pdsch_outputs,PDSCH outputs,mtrp_gain,mTRP gain,UL,delta_dB,disabled,0,NaN,not_applicable,dB,beamforming/csv/probe_beam_management.csv,Single-TRP runtime; mTRP beam-selection gain is not enabled for this scenario.
G,pdsch_outputs,PDSCH outputs,detector_complexity,detector complexity,DL,mean,observed,1,253646265.6,253646265.6,detector_ops,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,detector_complexity,detector complexity,DL,p95,observed,1,449100288,449100288,detector_ops,air_interface/csv/dl_pdsch_trials.csv,
G,pdsch_outputs,PDSCH outputs,detector_complexity,detector complexity,DL,max,observed,1,449100288,449100288,detector_ops,air_interface/csv/dl_pdsch_trials.csv,
