ServingCell,SourceSignal,TRSProcessed,TRSReceiverConsumerType,TRSReceiverIntegrationStatus,TRSReceiverIntegrationBlocker,TRSTrackingStateBefore,TRSTrackingStateAfter,TRSTrackingUpdateTime_s,TRSAssociatedCell,TRSUpdateOutcome,TRSChannelTrackingFreshnessState,TRSFrequencyTrackingState,TRSTimingTrackingState,TRSTimingEstimateAvailable,TRSTimingEstimate_samples,TRSCFOEstimateAvailable,TRSEstimatedCFO_Hz,TRSRuntimeEvidenceSource,Frame,Slot,MeasurementSFNSlot,EstimatedDopplerHz,NMSE_dB,PhaseError_deg,QCLAccuracy,DetectionMetric,SourceArtifact
5,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,not_initialized,valid,0,5,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,1,"frame=1,slot=1",15.7201524577402,25.5216930940858,-132.201256723214,0.0528819234103325,-25.5216930940858,air_interface/csv/trs_trials.csv
3,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,not_initialized,valid,0,3,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,1,"frame=1,slot=1",15.99738437869,25.3894945713384,-128.843498269536,0.0536906177571308,-25.3894945713384,air_interface/csv/trs_trials.csv
1,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,not_initialized,valid,0,1,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,1,"frame=1,slot=1",15.6481048976818,25.441261941032,-141.949978008767,0.0533724881805694,-25.441261941032,air_interface/csv/trs_trials.csv
2,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,not_initialized,valid,0,2,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,1,"frame=1,slot=1",16.0189737183711,25.3907208809607,-143.569684713891,0.0536830598753112,-25.3907208809607,air_interface/csv/trs_trials.csv
4,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,not_initialized,valid,0,4,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,1,"frame=1,slot=1",-21.2838974175167,22.4924350268102,-142.42653476829,0.0536951513923028,-22.4924350268102,air_interface/csv/trs_trials.csv
5,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,valid,valid,0.002,5,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,5,"frame=1,slot=5",15.9475571735251,25.5200258755858,-132.281549705586,0.0528920464417113,-25.5200258755858,air_interface/csv/trs_trials.csv
3,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,valid,valid,0.002,3,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,5,"frame=1,slot=5",16.3841927837143,25.3897890538404,-128.859661648375,0.0536888027323916,-25.3897890538404,air_interface/csv/trs_trials.csv
1,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,valid,valid,0.002,1,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,5,"frame=1,slot=5",16.1414471417116,25.4527559496924,-141.896332910466,0.0533021079167002,-25.4527559496924,air_interface/csv/trs_trials.csv
2,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,valid,valid,0.002,2,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,5,"frame=1,slot=5",15.6051014035432,25.3803899409298,-143.609149344116,0.0537467636948102,-25.3803899409298,air_interface/csv/trs_trials.csv
4,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,valid,valid,0.002,4,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,5,"frame=1,slot=5",22.0343045337699,25.5551395613948,-138.720804253559,0.0526792493894926,-25.5551395613948,air_interface/csv/trs_trials.csv
5,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,valid,valid,0.004,5,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,9,"frame=1,slot=9",20.1908701924213,25.5394000430445,-132.4495353423,0.0527745290253268,-25.5394000430445,air_interface/csv/trs_trials.csv
3,TRS,1,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,valid,valid,0.004,3,updated_from_trs_runtime_observation,fresh_trs_runtime_observation,doppler_estimate_updated_from_trs,not_updated_timing_estimate_unavailable,0,not_applicable,0,not_applicable,trs_reference_waveform_estimator,1,9,"frame=1,slot=9",26.3270212857789,25.3562904250218,-128.305483757436,0.0538956611777745,-25.3562904250218,air_interface/csv/trs_trials.csv
