Direction,MCSTable,MCSIndex,Modulation,TargetCodeRate,SpectralEfficiency
"DL","qam64_table1",0,"QPSK",0.1171875,0.2344
"DL","qam64_table1",1,"QPSK",0.1533203125,0.3066
"DL","qam64_table1",2,"QPSK",0.1884765625,0.377
"DL","qam64_table1",3,"QPSK",0.2451171875,0.4902
"DL","qam64_table1",4,"QPSK",0.30078125,0.6016
"DL","qam64_table1",5,"QPSK",0.3701171875,0.7402
"DL","qam64_table1",6,"QPSK",0.4384765625,0.877
"DL","qam64_table1",7,"QPSK",0.513671875,1.0273
"DL","qam64_table1",8,"QPSK",0.587890625,1.1758
"DL","qam64_table1",9,"QPSK",0.6630859375,1.3262
"DL","qam64_table1",10,"16QAM",0.33203125,1.3281
"DL","qam64_table1",11,"16QAM",0.369140625,1.4766
"DL","qam64_table1",12,"16QAM",0.423828125,1.6953
"DL","qam64_table1",13,"16QAM",0.478515625,1.9141
"DL","qam64_table1",14,"16QAM",0.5400390625,2.1602
"DL","qam64_table1",15,"16QAM",0.6015625,2.4063
"DL","qam64_table1",16,"16QAM",0.642578125,2.5703
"DL","qam64_table1",17,"64QAM",0.427734375,2.5664
"DL","qam64_table1",18,"64QAM",0.455078125,2.7305
"DL","qam64_table1",19,"64QAM",0.5048828125,3.0293
"DL","qam64_table1",20,"64QAM",0.5537109375,3.3223
"DL","qam64_table1",21,"64QAM",0.6015625,3.6094
"DL","qam64_table1",22,"64QAM",0.650390625,3.9023
"DL","qam64_table1",23,"64QAM",0.7021484375,4.2129
"DL","qam64_table1",24,"64QAM",0.75390625,4.5234
"DL","qam64_table1",25,"64QAM",0.802734375,4.8164
"DL","qam64_table1",26,"64QAM",0.8525390625,5.1152
"UL","qam64_table1",0,"QPSK",0.1171875,0.2344
"UL","qam64_table1",1,"QPSK",0.1533203125,0.3066
"UL","qam64_table1",2,"QPSK",0.1884765625,0.377
"UL","qam64_table1",3,"QPSK",0.2451171875,0.4902
"UL","qam64_table1",4,"QPSK",0.30078125,0.6016
"UL","qam64_table1",5,"QPSK",0.3701171875,0.7402
"UL","qam64_table1",6,"QPSK",0.4384765625,0.877
"UL","qam64_table1",7,"QPSK",0.513671875,1.0273
"UL","qam64_table1",8,"QPSK",0.587890625,1.1758
"UL","qam64_table1",9,"QPSK",0.6630859375,1.3262
"UL","qam64_table1",10,"16QAM",0.33203125,1.3281
"UL","qam64_table1",11,"16QAM",0.369140625,1.4766
"UL","qam64_table1",12,"16QAM",0.423828125,1.6953
"UL","qam64_table1",13,"16QAM",0.478515625,1.9141
"UL","qam64_table1",14,"16QAM",0.5400390625,2.1602
"UL","qam64_table1",15,"16QAM",0.6015625,2.4063
"UL","qam64_table1",16,"16QAM",0.642578125,2.5703
"UL","qam64_table1",17,"64QAM",0.427734375,2.5664
"UL","qam64_table1",18,"64QAM",0.455078125,2.7305
"UL","qam64_table1",19,"64QAM",0.5048828125,3.0293
"UL","qam64_table1",20,"64QAM",0.5537109375,3.3223
"UL","qam64_table1",21,"64QAM",0.6015625,3.6094
"UL","qam64_table1",22,"64QAM",0.650390625,3.9023
"UL","qam64_table1",23,"64QAM",0.7021484375,4.2129
"UL","qam64_table1",24,"64QAM",0.75390625,4.5234
"UL","qam64_table1",25,"64QAM",0.802734375,4.8164
"UL","qam64_table1",26,"64QAM",0.8525390625,5.1152
