CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
"D","modulation_shaping_outputs","Modulation / shaping outputs","constellation_scatter","constellation scatter","DL","scatter_plot","observed",1,NaN,"air_interface/image/dl_constellation_scatter.png","","air_interface/image/dl_constellation_scatter.png","Measured aligned-equalized, hard-decision, and reference DL constellation samples."
"D","modulation_shaping_outputs","Modulation / shaping outputs","constellation_scatter","constellation scatter","UL","scatter_plot","observed",1,NaN,"air_interface/image/ul_constellation_scatter.png","","air_interface/image/ul_constellation_scatter.png","Measured aligned-equalized, hard-decision, and reference UL constellation samples."
"D","modulation_shaping_outputs","Modulation / shaping outputs","evm","EVM","DL","mean","observed",1,1.28289414599376,"1.28289414599376","rms","air_interface/csv/dl_pdsch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","evm","EVM","DL","p95","observed",1,3.80795938084596,"3.80795938084596","rms","air_interface/csv/dl_pdsch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","evm","EVM","DL","max","observed",1,36.5911680994369,"36.5911680994369","rms","air_interface/csv/dl_pdsch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","evm","EVM","UL","mean","observed",1,1.78280096351575,"1.78280096351575","rms","air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","evm","EVM","UL","p95","observed",1,15.4704741186315,"15.4704741186315","rms","air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","evm","EVM","UL","max","observed",1,29.6055130613457,"29.6055130613457","rms","air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","symbol_error_rate","symbol error rate","DL","rate","observed",1,0.19990597425141,"0.19990597425141","fraction","air_interface/csv/dl_pdsch_trials.csv","Measured symbol decisions versus transmitted modulated symbols."
"D","modulation_shaping_outputs","Modulation / shaping outputs","symbol_error_rate","symbol error rate","DL","numerator_sum","observed",1,165834,"165834","count","air_interface/csv/dl_pdsch_trials.csv","Measured symbol decisions versus transmitted modulated symbols."
"D","modulation_shaping_outputs","Modulation / shaping outputs","symbol_error_rate","symbol error rate","DL","denominator_sum","observed",1,829560,"829560","count","air_interface/csv/dl_pdsch_trials.csv","Measured symbol decisions versus transmitted modulated symbols."
"D","modulation_shaping_outputs","Modulation / shaping outputs","symbol_error_rate","symbol error rate","UL","rate","observed",1,1,"1","fraction","air_interface/csv/ul_pusch_trials.csv","Measured symbol decisions versus transmitted modulated symbols."
"D","modulation_shaping_outputs","Modulation / shaping outputs","symbol_error_rate","symbol error rate","UL","numerator_sum","observed",1,516144,"516144","count","air_interface/csv/ul_pusch_trials.csv","Measured symbol decisions versus transmitted modulated symbols."
"D","modulation_shaping_outputs","Modulation / shaping outputs","symbol_error_rate","symbol error rate","UL","denominator_sum","observed",1,516144,"516144","count","air_interface/csv/ul_pusch_trials.csv","Measured symbol decisions versus transmitted modulated symbols."
"D","modulation_shaping_outputs","Modulation / shaping outputs","papr_ccdf","PAPR CCDF","DL_UL","ccdf_plot","derived",1,NaN,"reports/image/papr_ccdf.png","","reports/image/papr_ccdf.png",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","papr_ccdf","PAPR CCDF","DL","mean","observed",1,28.1888317892564,"28.1888317892564","dB","air_interface/csv/dl_pdsch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","papr_ccdf","PAPR CCDF","DL","p95","observed",1,32.6349965973867,"32.6349965973867","dB","air_interface/csv/dl_pdsch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","papr_ccdf","PAPR CCDF","DL","max","observed",1,33.6035091625654,"33.6035091625654","dB","air_interface/csv/dl_pdsch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","papr_ccdf","PAPR CCDF","UL","mean","observed",1,17.420086657093,"17.420086657093","dB","air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","papr_ccdf","PAPR CCDF","UL","p95","observed",1,19.47004909211,"19.47004909211","dB","air_interface/csv/ul_pusch_trials.csv",""
