Frame,Slot,SNR_dB,DetectionMetric,ComputeLatency_ms,AirInterfaceObservation_ms,TimingError_samples,Status,Notes,SourceArtifact
1,7,12,1,81.8814,0.5,0,"PASS","DetectedIdx=0; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,57.3313,0.5,0.0143884892086135,"PASS","DetectedIdx=1; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,29.7891,0.5,0.0287769784172269,"PASS","DetectedIdx=2; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,26.883,0.5,0.0431654676258404,"PASS","DetectedIdx=3; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,52.3872,0.5,0.0575539568344539,"PASS","DetectedIdx=4; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,22.4062,0.5,0.0719424460430673,"PASS","DetectedIdx=5; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,19.8385,0.5,0.0863309352516808,"PASS","DetectedIdx=6; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.7213,0.5,0.100719424460408,"PASS","DetectedIdx=7; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,21.4794,0.5,0.115107913669021,"PASS","DetectedIdx=8; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,21.6982,0.5,0,"PASS","DetectedIdx=9; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,22.2017,0.5,0.0143884892086135,"PASS","DetectedIdx=10; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.8145,0.5,0.0287769784172269,"PASS","DetectedIdx=11; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.6936,0.5,0.0431654676258404,"PASS","DetectedIdx=12; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.3812,0.5,0.0575539568344539,"PASS","DetectedIdx=13; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.6715,0.5,0.0719424460430673,"PASS","DetectedIdx=14; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.848,0.5,0.0863309352516808,"PASS","DetectedIdx=15; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.8547,0.5,0.100719424460408,"PASS","DetectedIdx=16; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.8779,0.5,0.115107913669021,"PASS","DetectedIdx=17; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,19.7328,0.5,0,"PASS","DetectedIdx=18; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,19.881,0.5,0.0143884892086135,"PASS","DetectedIdx=19; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.8026,0.5,0.0287769784172269,"PASS","DetectedIdx=20; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,22.0452,0.5,0.0431654676258404,"PASS","DetectedIdx=21; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,21.004,0.5,0.0575539568344539,"PASS","DetectedIdx=22; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.5456,0.5,0.0719424460430673,"PASS","DetectedIdx=23; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.4148,0.5,0.0863309352516808,"PASS","DetectedIdx=24; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.1679,0.5,0.100719424460408,"PASS","DetectedIdx=25; carrier_slot=6","air_interface/csv/prach_trials.csv"
