run_id,artifact_family,field_name,enum_value,observation_count
1,pdcch,Direction,DL,246
1,pdcch,Modulation,not_applicable,246
1,pdcch,ValueSource,runtime_control_reference_signal_observation,246
1,pdcch,ValueRole,control_reference_signal_runtime_evidence,246
1,pdcch,ValueStatus,available_runtime_observation,246
1,pdcch,SINRSource,not_applicable,246
1,pdcch,SINRValueRole,not_applicable,246
1,dl_pdsch,Direction,DL,150
1,dl_pdsch,SINRSource,receiver_hest_csi_feedback_wideband_effective_sinr,150
1,dl_pdsch,SINRValueRole,estimated,150
1,dl_pdsch,Modulation,QPSK,116
1,ul_pusch,Direction,UL,96
1,ul_pusch,SINRSource,receiver_hest_csi_feedback_wideband_effective_sinr,96
1,ul_pusch,SINRValueRole,estimated,96
1,ul_pusch,Modulation,16QAM,51
1,pbch,Direction,DL,50
1,pbch,Modulation,not_applicable,50
1,pbch,ValueSource,runtime_control_reference_signal_observation,50
1,pbch,ValueRole,control_reference_signal_runtime_evidence,50
1,pbch,ValueStatus,available_runtime_observation,50
1,pbch,SINRSource,not_applicable,50
1,pbch,SINRValueRole,not_applicable,50
1,prach,Direction,UL,50
1,prach,Modulation,not_applicable,50
1,prach,ValueSource,runtime_control_reference_signal_observation,50
1,prach,ValueRole,control_reference_signal_runtime_evidence,50
1,prach,ValueStatus,available_runtime_observation,50
1,prach,SINRSource,not_applicable,50
1,prach,SINRValueRole,not_applicable,50
1,ul_pusch,Modulation,64QAM,45
1,srs,Direction,UL,37
1,srs,Modulation,not_applicable,37
1,srs,ValueSource,runtime_control_reference_signal_observation,37
1,srs,ValueRole,control_reference_signal_runtime_evidence,37
1,srs,ValueStatus,available_runtime_observation,37
1,srs,SINRSource,not_applicable,37
1,srs,SINRValueRole,not_applicable,37
1,dl_pdsch,Modulation,64QAM,30
1,trs,Direction,DL,15
1,trs,Modulation,not_applicable,15
1,trs,ValueSource,runtime_control_reference_signal_observation,15
1,trs,ValueRole,control_reference_signal_runtime_evidence,15
1,trs,ValueStatus,available_runtime_observation,15
1,trs,SINRSource,not_applicable,15
1,trs,SINRValueRole,not_applicable,15
1,dl_pdsch,Modulation,16QAM,4
