ScenarioID,ConfigHash,RunTag,RunnerProfile,FieldName,ValueSource,ValueRole,ValueStatus,ValueDefinition,FinalizedFlag,PlaceholderFlag,FallbackFlag,NAReason,CanonicalArtifacts
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","ConfiguredSNR_dB","configured_reference_metadata","configured","OK","Configured operating-point SNR, not a measured SINR.",0,0,0,"","air_interface/csv/*_trials.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","AppliedAWGNSNR_dB","noise_model_replay","applied","OK","AWGN-equivalent SNR actually applied by the active channel/noise replay path.",1,0,0,"","air_interface/csv/*_trials.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","ReceiverHestSINR_dB","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","OK","Wideband effective SINR estimated from receiver Hest and CSI feedback. This is not decoder-truth SINR.",1,0,0,"","air_interface/csv/*_trials.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","DecoderTruthProxySINR_dB","post_equalization_evm_proxy","derived","OK","Post-equalization decode-side SINR proxy derived as 10log10(1/EVM_rms^2) from equalized-vs-reference symbol mismatch.",1,0,0,"","air_interface/csv/*_trials.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","MeasuredTrialSINR_dB","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","OK","Deprecated compatibility alias for ReceiverHestSINR_dB.",1,0,0,"","air_interface/csv/*_trials.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","LargeScaleSINR_dB","large_scale_interference_preview","preview","PARTIAL","Large-scale preview SINR that may remain unavailable until finalized.",0,0,0,"preview_source_present_value_not_finalized","air_interface/csv/*_trials.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","MobilitySpeed_kmh","resolved_scenario_mobility_speed","configured","OK","Resolved UE mobility speed carried into runtime operating mode. This is speed, not Doppler.",1,0,0,"","reports/csv/runtime_operating_mode.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","ResolvedDopplerHz","carrier_frequency_and_mobility_speed_derivation","derived","OK","Runtime Doppler derived from mobility speed and carrier frequency when derive_from_ue_speed is active, or passed through from configured Doppler otherwise.",1,0,0,"","reports/csv/runtime_operating_mode.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","DopplerSourceMode","resolved_channel_doppler_mode","resolved","OK","Resolved runtime Doppler authority token indicating whether Doppler came from configuration or speed-based derivation.",1,0,0,"","reports/csv/runtime_operating_mode.csv"
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","SCS_kHz","resolved_carrier_subcarrier_spacing","resolved","OK","Resolved runtime subcarrier spacing in kHz.",1,0,0,"","reports/csv/runtime_operating_mode.csv"
