Direction,UEIndex,RNTI,BaseStationID,Frame,Slot,GrantContextId,PropagationDistance_m,GeometricPropagationDelay_s,DominantPathDelay_s,ChannelFilterDelay_s,PropagationDelay_s,ToD_s,ToA_s,ToAEstimate_s,TimingEstimateUsed,ChannelArrayModel,ChannelUsesCountOnlyAntennaModel,ToDSource,ToASource,ToAEstimateSource,ChannelDelaySource,AntennaGeometrySource,RuntimeTraceSource,SameFlowEvidenceSource,ToAEstimateError_s
"DL",3,3,1,7,7,"dir=DL;frame=1;slot=7;ue=3;rnti=3;cell=1;harq=0",125.162819828502,4.17498227485436e-07,0,5.69661458333333e-08,4.17498227485436e-07,0.003,0.00300041749822749,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-4.17498227485262e-07
"DL",5,5,1,7,7,"dir=DL;frame=1;slot=7;ue=5;rnti=5;cell=1;harq=0",235.140518024584,7.8434434139295e-07,0,5.69661458333333e-08,7.8434434139295e-07,0.003,0.00300078434434139,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-7.8434434139284e-07
"DL",7,7,1,7,7,"dir=DL;frame=1;slot=7;ue=7;rnti=7;cell=1;harq=0",107.155022035996,3.57430679713751e-07,0,5.69661458333333e-08,3.57430679713751e-07,0.003,0.00300035743067971,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-3.57430679713555e-07
"DL",9,9,1,7,7,"dir=DL;frame=1;slot=7;ue=9;rnti=9;cell=1;harq=0",459.748988147103,1.53355755249554e-06,0,5.69661458333333e-08,1.53355755249554e-06,0.003,0.0030015335575525,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-1.53355755249567e-06
"DL",14,14,1,7,7,"dir=DL;frame=1;slot=7;ue=14;rnti=14;cell=1;harq=0",89.5977673768501,2.98865982068335e-07,0,5.69661458333333e-08,2.98865982068335e-07,0.003,0.00300029886598207,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-2.98865982068311e-07
"DL",19,19,1,7,7,"dir=DL;frame=1;slot=7;ue=19;rnti=19;cell=1;harq=0",123.642185074703,4.12425935927657e-07,0,5.69661458333333e-08,4.12425935927657e-07,0.003,0.00300041242593593,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-4.12425935927569e-07
"DL",26,26,1,7,7,"dir=DL;frame=1;slot=7;ue=26;rnti=26;cell=1;harq=0",182.717582709782,6.09480251533819e-07,0,5.69661458333333e-08,6.09480251533819e-07,0.003,0.00300060948025153,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-6.09480251533793e-07
"DL",27,27,1,7,7,"dir=DL;frame=1;slot=7;ue=27;rnti=27;cell=1;harq=0",647.022471210461,2.1582346518219e-06,0,5.69661458333333e-08,2.1582346518219e-06,0.003,0.00300215823465182,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-2.15823465182178e-06
"DL",43,43,1,7,7,"dir=DL;frame=1;slot=7;ue=43;rnti=43;cell=1;harq=0",145.645177419574,4.85820018259346e-07,0,5.69661458333333e-08,4.85820018259346e-07,0.003,0.00300048582001826,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-4.8582001825918e-07
"DL",47,47,1,7,7,"dir=DL;frame=1;slot=7;ue=47;rnti=47;cell=1;harq=0",80.1949008985036,2.67501395577148e-07,0,5.69661458333333e-08,2.67501395577148e-07,0.003,0.00300026750139558,0.003,1,"nrcdl_runtime_array_geometry_channel",0,"runtime_slot_start_reference","runtime_geometry_plus_channel_path_delay","receiver_timing_estimate_pre_correction","nrCDLChannel.PathDelays","CoupledTruthRuntime.applyUserContextImpl","runDLPDSCHThroughput_active_trial","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput",-2.67501395576943e-07
